id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1388644080800915458,1388644080800915458,2021-05-02 05:28:43 India Standard Time,2021-05-02,05:28:43,+0530,1350029403191996416,khilzi_yousuf,Yousuf Khan,,Sayad wo v corona marij ho,und,[],[],[],1,0,0,[],[],https://twitter.com/khilzi_yousuf/status/1388644080800915458,False,https://twitter.com/zaimhaider24/status/1388540151652093952,0,,India,,,,,,[],,,,
1388643808187850753,1388643808187850753,2021-05-02 05:27:38 India Standard Time,2021-05-02,05:27:38,+0530,1127970310769135616,mikailazam,Mikail Azam,,"@MamataOfficial Please take a look at us.Many of us are dying in Corona as Corona is growing day by day.Please don't be so ruthless.Please be kind tous, many of myclassmates are Corona positive.They can't read yet,we can't read either.Please be kind tous #cancel12thboardexams2021",en,[],[],[],0,1,2,['cancel12thboardexams2021'],[],https://twitter.com/MikailAzam/status/1388643808187850753,False,,0,,India,,,,,,[],,,,
1388643473343930370,1388643473343930370,2021-05-02 05:26:18 India Standard Time,2021-05-02,05:26:18,+0530,1127970310769135616,mikailazam,Mikail Azam,,"@FirhadHakim Please take a look at us.Many of us are dying in Corona as Corona is growing day by day.Please don't be so ruthless.Please be kind to us, many of my classmates are Corona positive.They can't read yet,we can't read either.Please be kind to us #cancel12thboardexams2021",en,[],[],[],0,1,4,['cancel12thboardexams2021'],[],https://twitter.com/MikailAzam/status/1388643473343930370,False,,0,,India,,,,,,[],,,,
1388642991548497925,1388642991548497925,2021-05-02 05:24:23 India Standard Time,2021-05-02,05:24:23,+0530,1127970310769135616,mikailazam,Mikail Azam,,"@TMC_Supporters Please take a look at us.Many of us are dying in Corona as Corona is growing day by day.Please don'tbe so ruthless.Please be kind tous, many of my classmates are Corona positive.They can't read yet,we can't read either.Please be kind tous #cancel12thboardexams2021",en,[],[],[],0,1,2,['cancel12thboardexams2021'],[],https://twitter.com/MikailAzam/status/1388642991548497925,False,,0,,India,,,,,,[],,,,
1388642005455032320,1388642005455032320,2021-05-02 05:20:28 India Standard Time,2021-05-02,05:20:28,+0530,1272548302462914565,azmalha63459458,Azmal Haque,,@AMISHDEVGAN #corona spreaded by PM MODI 👇👇👇👇👇👇👇👇  https://t.co/kBmxz6G9HR,en,[],['https://youtu.be/fOrmA91V7-s'],[],0,0,0,['corona'],[],https://twitter.com/AzmalHa63459458/status/1388642005455032320,False,,0,,India,,,,,,[],,,,
1388641747291365376,1388641747291365376,2021-05-02 05:19:26 India Standard Time,2021-05-02,05:19:26,+0530,1127970310769135616,mikailazam,Mikail Azam,,"@abplivenews Please take a look at us.Many of us are dying in Corona as Corona is growing day by day.Please don't be so ruthless.Please be kind to us, many of my classmates are Corona positive.They can't read yet,we can't read either.Please be kind to us #cancel12thboardexams2021",en,[],[],[],0,2,4,['cancel12thboardexams2021'],[],https://twitter.com/MikailAzam/status/1388641747291365376,False,,0,,India,,,,,,[],,,,
1388640268392407041,1388640268392407041,2021-05-02 05:13:34 India Standard Time,2021-05-02,05:13:34,+0530,64355361,uccahisrava,Worm Hood,,Locodown's world..  #corona contestant day..  #we used time like that... Who ever represents the day.. Get looser life... Judged by Christ #thats how we gamed and won  https://t.co/7Y4Tl1D1QI,en,[],['https://youtu.be/vFZZF39fgWM'],[],0,0,0,"['corona', 'we', 'thats']",[],https://twitter.com/Uccahisrava/status/1388640268392407041,False,,0,,India,,,,,,[],,,,
1388640239598505985,1388640239598505985,2021-05-02 05:13:27 India Standard Time,2021-05-02,05:13:27,+0530,1127970310769135616,mikailazam,Mikail Azam,,"@IamSumanDe Please take a look at us.Many of us are dying in Corona as Corona is growing day by day.Please don't be so ruthless.Please be kind to us, many of my classmates are Corona positive.They can't read yet, we can't read either.Please be kind to us #cancel12thboardexams2021",en,[],[],[],0,2,3,['cancel12thboardexams2021'],[],https://twitter.com/MikailAzam/status/1388640239598505985,False,,0,,India,,,,,,[],,,,
1388639991727755266,1388639991727755266,2021-05-02 05:12:28 India Standard Time,2021-05-02,05:12:28,+0530,1127970310769135616,mikailazam,Mikail Azam,,"@MyAnandaBazar Please take a look at usMany of us are dying in Corona is growing day by day.Please don't be so ruthless,look at us.Please bekind to us, many of my classmates are Coronapositive.They can'tread yet, we can'tread either.Please be kind to us #cancel12thboardexams2021",en,[],[],[],0,1,2,['cancel12thboardexams2021'],[],https://twitter.com/MikailAzam/status/1388639991727755266,False,,0,,India,,,,,,[],,,,
1388639266780053506,1388639266780053506,2021-05-02 05:09:35 India Standard Time,2021-05-02,05:09:35,+0530,1127970310769135616,mikailazam,Mikail Azam,,"@htTweets Please take a look at us.Many of us are dying in Corona as Corona is growing day by day.Please don't be so ruthless.Please be kind to us, many of my classmates are Corona positive.They can't read yet, we can't read either.Please be kind to us #cancel12thboardexams2021",en,[],[],[],0,1,2,['cancel12thboardexams2021'],[],https://twitter.com/MikailAzam/status/1388639266780053506,False,,0,,India,,,,,,[],,,,
