id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1400963821477396485,1400963821477396485,2021-06-05 05:22:58 India Standard Time,2021-06-05,05:22:58,+0530,2854451401,steferdbrelly,Steferd Rynjah,,In Meghalaya People more distressed with NPP led MDA Govt. than #Covid19: @INCIndia @airnewsalerts @INCMeghalaya,en,"[{'screen_name': 'incindia', 'name': 'congress', 'id': '1153045459'}, {'screen_name': 'airnewsalerts', 'name': 'all india radio news', 'id': '1056850669'}, {'screen_name': 'incmeghalaya', 'name': 'meghalaya congress', 'id': '872400126802669568'}]",[],[],0,0,0,['covid19'],[],https://twitter.com/SteferdBrelly/status/1400963821477396485,False,,0,,India,,,,,,[],,,,
1400962595872407557,1400962595872407557,2021-06-05 05:18:06 India Standard Time,2021-06-05,05:18:06,+0530,110472594,soso888,🇯🇵九龍城明星 Tony🇹🇭🎌,,"チョンブリ県COVID19 新規感染者40人 2021年6月5日06:30  ムアンチョンブリ26人、シーラチャ2人、バンラムン（パタヤ）5人 第3波の4月から現在迄、累積感染者4,932人 3,752人が治癒、950人が治療中 死者+1人、累積死者30人  https://t.co/NnGPBm81m3",ja,[],[],['https://pbs.twimg.com/media/E3E4C3sVoAAecvs.jpg'],0,0,3,[],[],https://twitter.com/soso888/status/1400962595872407557,False,,1,https://pbs.twimg.com/media/E3E4C3sVoAAecvs.jpg,India,,,,,,[],,,,
1400960859749289986,1400960859749289986,2021-06-05 05:11:12 India Standard Time,2021-06-05,05:11:12,+0530,793883443,roseazdilla,dorangeperlis,,Sebelum covid 19 melanda Malaysia...january 2020  https://t.co/dynnXLtcQv,in,[],[],[],0,0,0,[],[],https://twitter.com/roseazdilla/status/1400960859749289986,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1400960779893952513/pu/img/EMJrqb67CPJmQnoR.jpg,India,,,,,,[],,,,
1400958042447880195,1400958042447880195,2021-06-05 05:00:00 India Standard Time,2021-06-05,05:00:00,+0530,1124210767929077763,anjalisachdeva9,anjali sachdeva,,Plantation drive in memory of those who lost their battle to COVID-19 on 5th June...  @Dkumarchandel @AmarUjalaNews @tricitytoday @HTNoidaGzb @TOINoida @DainikHint @JagranNews  https://t.co/tjv8wAInc4,en,"[{'screen_name': 'dkumarchandel', 'name': 'dharmendra kumar', 'id': '1296758606768087042'}, {'screen_name': 'amarujalanews', 'name': 'amar ujala', 'id': '169018518'}, {'screen_name': 'tricitytoday', 'name': 'tricity today', 'id': '759457656889311232'}, {'screen_name': 'htnoidagzb', 'name': 'ht noida & ghaziabad', 'id': '725552650985545728'}, {'screen_name': 'toinoida', 'name': 'toi noida', 'id': '2590878146'}, {'screen_name': 'dainikhint', 'name': 'dainik hint news', 'id': '4753544659'}, {'screen_name': 'jagrannews', 'name': 'dainik jagran', 'id': '64639742'}]",[],['https://pbs.twimg.com/media/E3Ez6g1UYAER3xO.jpg'],0,0,7,[],[],https://twitter.com/anjalisachdeva9/status/1400958042447880195,False,,1,https://pbs.twimg.com/media/E3Ez6g1UYAER3xO.jpg,India,,,,,,[],,,,
1400954806202617861,1400742900640542720,2021-06-05 04:47:08 India Standard Time,2021-06-05,04:47:08,+0530,586317708,basisomega,rosman @,,@rafidah72 diundangkan ole Tuan Semesta Alam keatas setiap makhluk itu AliImran:83 yg menjadi fitranya masing masing.Mana mungkin Covid19 berjln sesukanya dia melainkan utk menggenapi wahyu dari Rabb bukan la yg perlu diperangi seolahnya ada Tuan lain pulak yg mengutusnya.,in,[],[],[],1,0,1,[],[],https://twitter.com/BasisOmega/status/1400954806202617861,False,,0,,India,,,,,,"[{'screen_name': 'rafidah72', 'name': 'Rafidah Abdullah', 'id': '101966101'}]",,,,
1400949910409646080,1400949910409646080,2021-06-05 04:27:41 India Standard Time,2021-06-05,04:27:41,+0530,1228556619786534913,drbasavarajmod6,Dr. Basavaraj Modi,,ನೀವೂ ಪ್ರಾರಂಭ ಮಾಡಿರಲ್ಲ! ಹೇಗೂ ನಿಮ್ಮ ಹತ್ತಿರ ಕೋಟಿ ಕೋಟಿ ಹಣ ಇದೆ. ಸ್ವಲ್ಪ ತಿದ್ದು ಪಡಿ. ಎಲ್ಲಾ ರಾಜಕಾರಣಿಗಳೂ ಕೊಟ್ಯಧೀಶರಿದ್ದಾರೆ. ನೀವೆಲ್ಲರೂ ಕೂಡಿ Covid-19 ಸೋಂಕು ತಗುಲಿದವರ ಖರ್ಚು ವೆಚ್ಚ ನೋಡಿಕೊಳ್ಹ ಬಹುದಲ್ಲ!  ದೇವರು ನಿಮಗೆ ಒಳ್ಳೆಯದು ಮಾಡಲಿ.,kn,[],[],[],0,0,0,[],[],https://twitter.com/DrBasavarajMod6/status/1400949910409646080,False,https://twitter.com/DKShivakumar/status/1400810503543287810,0,,India,,,,,,[],,,,
1400937336385462272,1400937336385462272,2021-06-05 03:37:43 India Standard Time,2021-06-05,03:37:43,+0530,557979807,raheemaamir,Aamir Raheem,,"And I totally agree with Dr in demand that current COVID-19 Pandemic Doctors are suffering! It’s already been stressful and this NLE will make it more worse, at least an online module and exam like @NBRC_tweets and documenting CME will solve the problem 3/3.",en,"[{'screen_name': 'nbrc_tweets', 'name': 'the national board for respiratory care - nbrc', 'id': '949379490442022912'}]",[],[],0,0,1,[],[],https://twitter.com/RaheemAamir/status/1400937336385462272,False,,0,,India,,,,,,[],,,,
1400936663690321922,1400936663690321922,2021-06-05 03:35:03 India Standard Time,2021-06-05,03:35:03,+0530,836549573048848384,sipgrab,SipGrab,"{'type': 'Point', 'coordinates': [19.00117717, 72.9097582]}",Airlines press U.S. on refusal to lift COVID-19 travel restrictions  https://t.co/jBoPHUEiBA #Sipgrab #UnitingPeopleWithThePossibilities,en,[],['http://dlvr.it/S15VYv'],[],0,0,0,"['sipgrab', 'unitingpeoplewiththepossibilities']",[],https://twitter.com/sipgrab/status/1400936663690321922,False,,0,,India,,,,,,[],,,,
1400932225164607489,1400932225164607489,2021-06-05 03:17:25 India Standard Time,2021-06-05,03:17:25,+0530,68608458,anurag876,anurag,,":(  Lioness dies of Covid-19 at Chennai zoo, eight other lions test positive  https://t.co/RoGOuy4zQN via @IndianExpress",en,"[{'screen_name': 'indianexpress', 'name': 'the indian express', 'id': '38647512'}]",['https://indianexpress.com/article/cities/chennai/chennai-zoo-lion-covid-19-7344466/'],[],0,0,0,[],[],https://twitter.com/anurag876/status/1400932225164607489,False,,0,,India,,,,,,[],,,,
1400932094503653378,1400932094503653378,2021-06-05 03:16:54 India Standard Time,2021-06-05,03:16:54,+0530,68608458,anurag876,anurag,,":(    Lioness dies of Covid-19 at Chennai zoo, eight other lions test positive  https://t.co/RoGOuy4zQN via @IndianExpress",en,"[{'screen_name': 'indianexpress', 'name': 'the indian express', 'id': '38647512'}]",['https://indianexpress.com/article/cities/chennai/chennai-zoo-lion-covid-19-7344466/'],[],0,0,0,[],[],https://twitter.com/anurag876/status/1400932094503653378,False,,0,,India,,,,,,[],,,,
