,created_at,username,tweet,language,replies_count,retweets_count,likes_count
0,2021-04-02 05:16:16 India Standard Time,fisal1001,وقت اخذ اللقاح (@ COVID-19 Vaccine Center - @saudimoh in الرياض)  https://t.co/rlajyD0qBw,und,0.0,0.0,0.0
1,2021-04-02 05:15:18 India Standard Time,aguseko72,@tempodotco Tambah lagi dengan cuti bersama... Sebentar lagi ada berita cluster paskah covid-19 🤦,in,0.0,1.0,0.0
2,2021-04-02 05:04:29 India Standard Time,ynanthaka,หมด COVID แล้วเจอกันนนน = ),th,0.0,0.0,0.0
3,2021-04-02 05:01:20 India Standard Time,sarab1907,COVID infection leads to clousure of two Jamshedpur schools : DBMS English School's Std.9 student &amp; Andhra Association School's Teacher was found corona positive on Thursday. Administration should close all the offline classes. @HemantSorenJMM @DCEastSinghbhum @BannaGupta76,en,0.0,0.0,0.0
4,2021-04-02 04:48:05 India Standard Time,sipgrab,"UK's Glastonbury Festival, cinemas, museums get government cash to survive COVID  https://t.co/zsvvfaO49b #Sipgrab #UnitingPeopleWithThePossibilities",en,0.0,0.0,0.0
5,2021-04-02 04:35:40 India Standard Time,brrownfaggot,"These covid lockdowns make me desperate than ever.   Watch my #sissyclit leak cum like a true #ExposedSissySlut while getting brutally fucked.  Please expose me, Varun is a pathetic #sissy #faggot.  https://t.co/RB7Dse2yYF",en,5.0,31.0,169.0
6,2021-04-02 04:18:58 India Standard Time,nadia_zawawi,"@Dublin_Called @NFitzPsychology Thanks, Orla! The pandemic has made it tougher. My sis (in Canada) &amp; hubster can't even fly over to help out. Under normal conditions (we'll need to redefine ""normal"" post-Covid) we could take turns. However tough, I have no regrets caring for my mum ❤️ (really miss Dublin tho🍀)",en,0.0,0.0,1.0
7,2021-04-02 04:18:45 India Standard Time,jpdhar13,Aaj so raha hun main covid-19 ka tikakaran lagane ka 45 varsh se upar aayu Ke Logon Ka Abhiyan chalaya Gaya mujhe bhi tikakaran lagane ka saubhagya prapt hua Har Har Mahadev @drharshvardhan @MoHFW_INDIA  https://t.co/rlnX2L5s9k,hi,0.0,0.0,0.0
8,2021-04-02 03:47:54 India Standard Time,ihsan_advocate,Please take strict action against the DPS &amp;C Premier Campus Faisalabad for opening and calling of the staff endangering their lives as already more than 10 teachers are diagnosed with Covid. @DCFaisalabad @ImranKhanPTI @OfficialNcoc @HealthPunjabGov @nhsrcofficial @DrMuradPTI,en,0.0,0.0,0.0
9,2021-04-02 03:15:36 India Standard Time,sipgrab,"Personal Finance Daily: Compass CEO Robert Reffkin: COVID created a ‘permanent shift’ in real-estate demand, and don’t post your COVID-19 vaccination card on social media — here’s why  https://t.co/dOpO6WT55b #Nifty #Sipgrab #UnitingPeopleWithThePossibilities",en,0.0,0.0,0.0
10,2021-04-02 03:15:34 India Standard Time,sipgrab,"Personal Finance Daily: Compass CEO Robert Reffkin: COVID created a ‘permanent shift’ in real-estate demand, and don’t post your COVID-19 vaccination card on social media — here’s why  https://t.co/03E3Pc5mf4 #Nifty #Sipgrab #UnitingPeopleWithThePossibilities",en,0.0,0.0,0.0
11,2021-04-02 02:54:05 India Standard Time,sipgrab,Here's how you can be forced to get the Covid vaccine in the U.S.  https://t.co/eEJUm8GqOB #Nifty #Sipgrab #UnitingPeopleWithThePossibilities,en,0.0,0.0,0.0
12,2021-04-02 02:49:44 India Standard Time,mudithastir,@GabbbarSingh Their PM for Covid 2 days after he was vaccinated.  But aapne Ghabrana nahi hai !,en,1.0,0.0,0.0
13,2021-04-02 02:39:56 India Standard Time,its_srinu,@RKTwts Avunandi baabu . Daarunanga undi situation.  Eellu bayita maatram panikimaalina publicity. Covid vaccine kharchulaki memu reimbursement isthaam Ani . Sollu maatalu . Manasshanthi ivvaleru kaani ee panikimaalina reimbursement publicity 🤦.,et,0.0,0.0,0.0
14,2021-04-02 02:34:00 India Standard Time,knumesh6,@BBMPCOMM @BBMPAdmn Congratulations Sir. A challenging task amidst Covid 19 second wave. My best wishes.,en,0.0,0.0,1.0
15,2021-04-02 02:17:36 India Standard Time,moosahmed03,There's a less chance for Hasan Ali to play tomorrow because he's not fully fit after Covid-19!! 😢 #PAKvSA #SAvPAK,en,0.0,0.0,1.0
16,2021-04-02 02:13:33 India Standard Time,sipgrab,: Compass CEO Robert Reffkin: COVID created a ‘permanent shift’ in real-estate demand  https://t.co/6jRoyLe93D #Nifty #Sipgrab #UnitingPeopleWithThePossibilities,en,0.0,0.0,0.0
17,2021-04-02 01:52:52 India Standard Time,hajeralad,صحيح، انا استمر التعب وياي شهرين عقب Covid.. وطولت على ماردت لي العافية ورد أدائي بالنادي والمشاوير اليومية. + لاحظت ان صدري يتعب ويتحسس اكثر من قبل لا يحوشني المرض وهالشيء مستمر وانا خلصت ٩٠ يوم من الاصابة. والله اعلم🥺,ar,0.0,0.0,0.0
18,2021-04-02 01:34:16 India Standard Time,rajendr96359405,Modi has sufficient time to blame others but not for his audience to be save from covid   by using mask and distance.,en,0.0,0.0,0.0
19,2021-04-02 01:32:30 India Standard Time,anushreedeshmu7,"Respected education Minister, This message is in regard of the students of MNIT Jaipur.  When all other NITs are functioning online then why MNIT jaipur is putting the students life at risk amidst the rising number of covid cases.  @PrakashJavdekar @AmitShah  @narendramodi",en,0.0,2.0,1.0
20,2021-04-02 01:32:29 India Standard Time,mahek108,@EssexPR Those who got admitted in hospital with other reasons and caught covid there in hospitals.,en,0.0,0.0,0.0
21,2021-04-02 01:30:40 India Standard Time,majidab32544555,"Alhamdollilah, Allah gave them complete health wich are effected with Covid-19. And stay blessed",en,0.0,0.0,0.0
22,2021-04-02 01:14:54 India Standard Time,mahek108,"@abhymurarka @dakuwithchaku Hinduja Hospital - 9969201003. They'll register details &amp; allocate bed as soon as its available.   But If patient is not having any breathing issue, then covid center at Nesco, Parasdham Ghatkopar or BKC is anytime better options to opt immediately. Take care.",en,0.0,1.0,5.0
23,2021-04-02 01:11:05 India Standard Time,taaafffzzz,People with disabilities should be prioritized &amp; get vaccinated soon. I teach at a special school &amp; I know that immune system of our kids is weak.The new British variant of Covid is dangerous &amp; hard on kids.Government should  make vaccine available and accessible for PWD #COVID,en,0.0,0.0,1.0
