,tweet,language,hastags,attherate,urls,tokenized_Tweet
0,COVID infection leads to clousure of two Jamshedpur schools : DBMS English School's Std.9 student &amp; Andhra Association School's Teacher was found corona positive on Thursday. Administration should close all the offline classes. @HemantSorenJMM @DCEastSinghbhum @BannaGupta76,en,[],"['@HemantSorenJMM', '@DCEastSinghbhum', '@BannaGupta76']",[],"['COVID', 'infection', 'leads', 'to', 'clousure', 'of', 'two', 'Jamshedpur', 'schools', 'DBMS', 'English', 'School', ""'s"", 'Std.9', 'student', 'amp', 'Andhra', 'Association', 'School', ""'s"", 'Teacher', 'was', 'found', 'corona', 'positive', 'on', 'Thursday', 'Administration', 'should', 'close', 'all', 'the', 'offline', 'classes', 'HemantSorenJMM', 'DCEastSinghbhum', 'BannaGupta76']"
1,"UK's Glastonbury Festival, cinemas, museums get government cash to survive COVID  https://t.co/zsvvfaO49b #Sipgrab #UnitingPeopleWithThePossibilities",en,"['#Sipgrab', '#UnitingPeopleWithThePossibilities']",[],['https://t.co/zsvvfaO49b'],"['UK', ""'s"", 'Glastonbury', 'Festival', 'cinemas', 'museums', 'get', 'government', 'cash', 'to', 'survive', 'COVID', 'https', 't.co/zsvvfaO49b', 'Sipgrab', 'UnitingPeopleWithThePossibilities']"
2,"These covid lockdowns make me desperate than ever.   Watch my #sissyclit leak cum like a true #ExposedSissySlut while getting brutally fucked.  Please expose me, Varun is a pathetic #sissy #faggot.  https://t.co/RB7Dse2yYF",en,"['#sissyclit', '#ExposedSissySlut', '#sissy', '#faggot.']",[],['https://t.co/RB7Dse2yYF'],"['These', 'covid', 'lockdowns', 'make', 'me', 'desperate', 'than', 'ever', 'Watch', 'my', 'sissyclit', 'leak', 'cum', 'like', 'a', 'true', 'ExposedSissySlut', 'while', 'getting', 'brutally', 'fucked', 'Please', 'expose', 'me', 'Varun', 'is', 'a', 'pathetic', 'sissy', 'faggot', 'https', 't.co/RB7Dse2yYF']"
3,"@Dublin_Called @NFitzPsychology Thanks, Orla! The pandemic has made it tougher. My sis (in Canada) &amp; hubster can't even fly over to help out. Under normal conditions (we'll need to redefine ""normal"" post-Covid) we could take turns. However tough, I have no regrets caring for my mum ❤️ (really miss Dublin tho🍀)",en,[],"['@Dublin_Called', '@NFitzPsychology']",[],"['Dublin_Called', 'NFitzPsychology', 'Thanks', 'Orla', 'The', 'pandemic', 'has', 'made', 'it', 'tougher', 'My', 'sis', 'in', 'Canada', 'amp', 'hubster', 'ca', ""n't"", 'even', 'fly', 'over', 'to', 'help', 'out', 'Under', 'normal', 'conditions', 'we', ""'ll"", 'need', 'to', 'redefine', 'normal', 'post-Covid', 'we', 'could', 'take', 'turns', 'However', 'tough', 'I', 'have', 'no', 'regrets', 'caring', 'for', 'my', 'mum', '❤️', 'really', 'miss', 'Dublin', 'tho🍀']"
4,Please take strict action against the DPS &amp;C Premier Campus Faisalabad for opening and calling of the staff endangering their lives as already more than 10 teachers are diagnosed with Covid. @DCFaisalabad @ImranKhanPTI @OfficialNcoc @HealthPunjabGov @nhsrcofficial @DrMuradPTI,en,[],"['@DCFaisalabad', '@ImranKhanPTI', '@OfficialNcoc', '@HealthPunjabGov', '@nhsrcofficial', '@DrMuradPTI']",[],"['Please', 'take', 'strict', 'action', 'against', 'the', 'DPS', 'amp', 'C', 'Premier', 'Campus', 'Faisalabad', 'for', 'opening', 'and', 'calling', 'of', 'the', 'staff', 'endangering', 'their', 'lives', 'as', 'already', 'more', 'than', '10', 'teachers', 'are', 'diagnosed', 'with', 'Covid', 'DCFaisalabad', 'ImranKhanPTI', 'OfficialNcoc', 'HealthPunjabGov', 'nhsrcofficial', 'DrMuradPTI']"
5,"Personal Finance Daily: Compass CEO Robert Reffkin: COVID created a ‘permanent shift’ in real-estate demand, and don’t post your COVID-19 vaccination card on social media — here’s why  https://t.co/dOpO6WT55b #Nifty #Sipgrab #UnitingPeopleWithThePossibilities",en,"['#Nifty', '#Sipgrab', '#UnitingPeopleWithThePossibilities']",[],['https://t.co/dOpO6WT55b'],"['Personal', 'Finance', 'Daily', 'Compass', 'CEO', 'Robert', 'Reffkin', 'COVID', 'created', 'a', '‘', 'permanent', 'shift', '’', 'in', 'real-estate', 'demand', 'and', 'don', '’', 't', 'post', 'your', 'COVID-19', 'vaccination', 'card', 'on', 'social', 'media', '—', 'here', '’', 's', 'why', 'https', 't.co/dOpO6WT55b', 'Nifty', 'Sipgrab', 'UnitingPeopleWithThePossibilities']"
6,"Personal Finance Daily: Compass CEO Robert Reffkin: COVID created a ‘permanent shift’ in real-estate demand, and don’t post your COVID-19 vaccination card on social media — here’s why  https://t.co/03E3Pc5mf4 #Nifty #Sipgrab #UnitingPeopleWithThePossibilities",en,"['#Nifty', '#Sipgrab', '#UnitingPeopleWithThePossibilities']",[],['https://t.co/03E3Pc5mf4'],"['Personal', 'Finance', 'Daily', 'Compass', 'CEO', 'Robert', 'Reffkin', 'COVID', 'created', 'a', '‘', 'permanent', 'shift', '’', 'in', 'real-estate', 'demand', 'and', 'don', '’', 't', 'post', 'your', 'COVID-19', 'vaccination', 'card', 'on', 'social', 'media', '—', 'here', '’', 's', 'why', 'https', 't.co/03E3Pc5mf4', 'Nifty', 'Sipgrab', 'UnitingPeopleWithThePossibilities']"
7,Here's how you can be forced to get the Covid vaccine in the U.S.  https://t.co/eEJUm8GqOB #Nifty #Sipgrab #UnitingPeopleWithThePossibilities,en,"['#Nifty', '#Sipgrab', '#UnitingPeopleWithThePossibilities']",[],['https://t.co/eEJUm8GqOB'],"['Here', ""'s"", 'how', 'you', 'can', 'be', 'forced', 'to', 'get', 'the', 'Covid', 'vaccine', 'in', 'the', 'U.S', 'https', 't.co/eEJUm8GqOB', 'Nifty', 'Sipgrab', 'UnitingPeopleWithThePossibilities']"
8,@GabbbarSingh Their PM for Covid 2 days after he was vaccinated.  But aapne Ghabrana nahi hai !,en,[],['@GabbbarSingh'],[],"['GabbbarSingh', 'Their', 'PM', 'for', 'Covid', '2', 'days', 'after', 'he', 'was', 'vaccinated', 'But', 'aapne', 'Ghabrana', 'nahi', 'hai']"
9,@BBMPCOMM @BBMPAdmn Congratulations Sir. A challenging task amidst Covid 19 second wave. My best wishes.,en,[],"['@BBMPCOMM', '@BBMPAdmn']",[],"['BBMPCOMM', 'BBMPAdmn', 'Congratulations', 'Sir', 'A', 'challenging', 'task', 'amidst', 'Covid', '19', 'second', 'wave', 'My', 'best', 'wishes']"
