id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1.3785E+18,1.3785E+18,2021-04-04 05:25:05 India Standard Time,04-04-21,05:25:05,530,1.32111E+18,rengat_barat,POLSEK RENGAT BARAT,,"*Polsek Rengat Barat Bersama TNI Dan Sat Pol PP Melaksanakan Pembagian Masker Dalam Rangka 100 Hari Kerja Kapolri , Di Wilkum Polsek Rengat Barat , Guna Cegah Penyebaran Virus Covid 19*  https://t.co/L3NO63jAdV",in,[],[],['https://pbs.twimg.com/media/EyFnFFpUUAA_3-n.jpg'],0,0,0,[],[],https://twitter.com/rengat_barat/status/1378496308181266434,FALSE,,1,https://pbs.twimg.com/media/EyFnFFpUUAA_3-n.jpg,India,,,,,,[],,,,
1.37849E+18,1.37849E+18,2021-04-04 05:12:12 India Standard Time,04-04-21,05:12:12,530,8.17692E+17,iammohamadkhan,MKYousafzai,,"Shocking 2 learn about the sad demise of @KamranArif due 2 Covid. He was a resilient HR activist, a prominent lawyer &amp; a sympathetic personality. May almighty Allah shower mercy on  his soul, grant him eternal peace &amp; give patience/courage 2 his family/friends 2 bear this loss.",en,"[{'screen_name': 'kamranarif', 'name': 'kamran arif', 'id': '109168455'}]",[],[],0,1,4,[],[],https://twitter.com/IamMohamadKhan/status/1378493063069364226,FALSE,,0,,India,,,,,,[],,,,
1.37849E+18,1.37849E+18,2021-04-04 05:06:21 India Standard Time,04-04-21,05:06:21,530,9.39449E+17,xbe119,1912,"{'type': 'Point', 'coordinates': [24.75061175, 46.72618389]}",I'm at COVID-19 Vaccine Center - @saudimoh in الرياض  https://t.co/rxGijLKgul,ca,"[{'screen_name': 'saudimoh', 'name': 'وزارة الصحة السعودية', 'id': '280172306'}]",['https://www.swarmapp.com/c/laFpavpNn7x'],[],0,0,0,[],[],https://twitter.com/xBe119/status/1378491591413919748,FALSE,,0,,India,,,,,,[],,,,
1.37849E+18,1.37774E+18,2021-04-04 04:57:47 India Standard Time,04-04-21,04:57:47,530,2482294286,tweetwika,Ritwika,,@mayurtheboi Sending covid hugs 👍,en,[],[],[],0,0,2,[],[],https://twitter.com/tweetwika/status/1378489435352797184,FALSE,,0,,India,,,,,,[],,,,
1.37848E+18,1.37839E+18,2021-04-04 04:37:43 India Standard Time,04-04-21,04:37:43,530,87385342,iiirdi,sanjay bajaj,,@Trendulkar @hvgoenka True and the best or worst part is no #COVID cases are surging in this places wondering how is that managed,en,[],[],[],0,0,0,['covid'],[],https://twitter.com/iiirdi/status/1378484387788976128,FALSE,,0,,India,,,,,,"[{'screen_name': 'Trendulkar', 'name': 'Trendulkar', 'id': '65851020'}, {'screen_name': 'hvgoenka', 'name': 'Harsh Goenka', 'id': '39488770'}]",,,,
1.37848E+18,1.37848E+18,2021-04-04 04:35:11 India Standard Time,04-04-21,04:35:11,530,2420001550,airas1234,Airas Sultan,,"Government prioritise taking exams over the student's health. these students are the future of Pakistan. 682,888 total confirmed cases of COVID in Pakistan #CancelCiesOrLoseOurVote #novoteforPTI #cancelboards2021  @Shafqat_Mahmood @ImranKhanPTI @ZakaWaqar  https://t.co/JsGYOLi8uE",en,"[{'screen_name': 'shafqat_mahmood', 'name': 'shafqat mahmood', 'id': '440662588'}, {'screen_name': 'imrankhanpti', 'name': 'imran khan', 'id': '122453931'}, {'screen_name': 'zakawaqar', 'name': 'waqar zaka', 'id': '1144885988'}]",[],"['https://pbs.twimg.com/media/EyFbqRjWUAAC3xp.jpg', 'https://pbs.twimg.com/media/EyFbqRZWgAIrftR.jpg']",0,3,2,"['cancelciesorloseourvote', 'novoteforpti', 'cancelboards2021']",[],https://twitter.com/airas1234/status/1378483750334521345,FALSE,,1,https://pbs.twimg.com/media/EyFbqRjWUAAC3xp.jpg,India,,,,,,[],,,,
1.37848E+18,1.37848E+18,2021-04-04 04:00:27 India Standard Time,04-04-21,04:00:27,530,9.50423E+17,subhash08103026,Subhash Bhagat,,Bihar issues new COVID-19 guidelines as cases surge | via @indiatvnews  https://t.co/ifPi3ZuctP,en,"[{'screen_name': 'indiatvnews', 'name': 'india tv', 'id': '34245009'}]",['https://www.indiatvnews.com/news/india/bihar-new-covid-guidelines-restrictions-schools-colleges-exams-social-gathering-latest-news-695299'],[],0,0,0,[],[],https://twitter.com/Subhash08103026/status/1378475007249018882,FALSE,,0,,India,,,,,,[],,,,
1.37847E+18,1.37847E+18,2021-04-04 03:59:47 India Standard Time,04-04-21,03:59:47,530,309494450,missshimacma,Shimmmaa,,"Punca? Masa tu aku gatal p baca history org covid. Kenapa aku triggered sgt dgn covid ni? Sebab mak aku, dia ada ckd. I love her damn much and i m trying my very best to protect her from any infection.",in,[],[],[],1,0,0,[],[],https://twitter.com/missshimacma/status/1378474840294760450,FALSE,,0,,India,,,,,,[],,,,
1.37847E+18,1.37847E+18,2021-04-04 03:23:34 India Standard Time,04-04-21,03:23:34,530,8.3655E+17,sipgrab,SipGrab,"{'type': 'Point', 'coordinates': [13.0808304, 80.28288778]}","Covid vaccinations hit another record, average now above 3 million daily  https://t.co/1VQYh40sxt #Nifty #Sipgrab #UnitingPeopleWithThePossibilities",en,[],['http://dlvr.it/Rwy3B0'],[],0,0,0,"['nifty', 'sipgrab', 'unitingpeoplewiththepossibilities']",[],https://twitter.com/sipgrab/status/1378465725413609472,FALSE,,0,,India,,,,,,[],,,,
1.37846E+18,1.3784E+18,2021-04-04 03:17:57 India Standard Time,04-04-21,03:17:57,530,146450030,chitkarapuneet,Puneet chitkara urf PC,,"@CricCrazyJohns The way covid cases r multiplying here,I m afraid we might hear the dreaded news soon of ipl getting postponed",en,[],[],[],0,0,0,[],[],https://twitter.com/chitkarapuneet/status/1378464313191456768,FALSE,,0,,India,,,,,,"[{'screen_name': 'CricCrazyJohns', 'name': 'Johns.', 'id': '743735095308099585'}]",,,,
