id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1.3783E+18,1.3783E+18,2021-04-03 16:36:50 India Standard Time,03-04-21,16:36:50,530,109852495,ishaniparikh,Ishani Parikh,,Here is the list of #Remdesivir injection's price of different companies. Price starts from Rs. 899 and goes upto 5400 and not more than that. #COVIDSecondWave #COVID19India #GujaratCoronaUpdate  https://t.co/O3hed0X1tQ,en,[],[],['https://pbs.twimg.com/media/EyC3Oj6VIAQmHiI.jpg'],2,18,34,"['remdesivir', 'covidsecondwave', 'covid19india', 'gujaratcoronaupdate']",[],https://twitter.com/ishaniparikh/status/1378302971415420930,FALSE,,1,https://pbs.twimg.com/media/EyC3Oj6VIAQmHiI.jpg,India,,,,,,[],,,,
1.37826E+18,1.37826E+18,2021-04-03 13:47:28 India Standard Time,03-04-21,13:47:28,530,1.21585E+18,malikta10127725,Malik Tariq,,اگر کسی کو کرونا جیسا محلق مرض لاحق ہو جائے اور ھسپتال میں داخلہ کی صورت میں  جسکا صرف فارمولا لکھا جا رہا ہے.(Remdesivir)  اور یہ مارکیٹ میں فارمیسی وغیرہ پر   Injection / Rs. 4000  فروخت ہو رہا ہے.  ھمارے پاس یہی دوا صرف  2720/   میں دستیاب ہے.۔۔ ملک طارق 03081051000  https://t.co/qILj1RSfNv,ur,[],[],['https://pbs.twimg.com/media/EyCQe6dW8AEtAs6.jpg'],0,0,0,[],[],https://twitter.com/MalikTa10127725/status/1378260349942521856,FALSE,,1,https://pbs.twimg.com/media/EyCQe6dW8AEtAs6.jpg,India,,,,,,[],,,,
1.37826E+18,1.37826E+18,2021-04-03 13:35:29 India Standard Time,03-04-21,13:35:29,530,2917743168,nutanpress,nutanpress,,#Rajkot #coronavirus #Remdesivir #CoronaVaccine #rajkot #remyamohan   https://t.co/AVPyfUn6UZ #rajkotnews #gujaratinews #શ્રીનૂતનસૌરાષ્ટ્ર #નૂતનસૌરાષ્ટ્ર #Nutansaurashtra #todaysnews #ગુજરાતીસમાચાર #તાજાસમાચાર #03એપ્રિલ2021નાસમાચાર  https://t.co/DNEsBtAF85,und,[],['http://www.nutansaurashtra.com'],['https://pbs.twimg.com/media/EyCNvUZVEAMJMn9.jpg'],0,0,0,"['rajkot', 'coronavirus', 'remdesivir', 'coronavaccine', 'rajkot', 'remyamohan', 'rajkotnews', 'gujaratinews', 'શ્રીનૂતનસૌરાષ્ટ્ર', 'નૂતનસૌરાષ્ટ્ર', 'nutansaurashtra', 'todaysnews', 'ગુજરાતીસમાચાર', 'તાજાસમાચાર', '03એપ્રિલ2021નાસમાચાર']",[],https://twitter.com/nutanpress/status/1378257333516558336,FALSE,,1,https://pbs.twimg.com/media/EyCNvUZVEAMJMn9.jpg,India,,,,,,[],,,,
1.37826E+18,1.37826E+18,2021-04-03 13:26:54 India Standard Time,03-04-21,13:26:54,530,3329775433,modivanibharat,Sanyam Jain,,My Dada ji is battling corona infection in an ICU in Indore.  Doses of Remdesivir and Tocilizumab administered but the condition is not improving.  Please pray for my Dada ji 🙏,en,[],[],[],211,73,1035,[],[],https://twitter.com/modivanibharat/status/1378255171524919296,FALSE,,0,,India,,,,,,[],,,,
1.37825E+18,1.37824E+18,2021-04-03 12:47:52 India Standard Time,03-04-21,12:47:52,530,114128355,rnlathi,Rahul Lathi,,"@InfoJalgaon @JalgaonDM @DrShingnespeaks @AmitV_Deshmukh @rajeshtope11 @InfoDivNashik @KHANDESHI_TADKA @MarathiDivya @MiLOKMAT @Tarunbharatjal_ You should publish list of all medicals where Remdesivir is available, and if possible daily stock.",en,[],[],[],0,0,3,[],[],https://twitter.com/rnlathi/status/1378245348838141953,FALSE,,0,,India,,,,,,"[{'screen_name': 'InfoJalgaon', 'name': 'DISTRICT INFORMATION OFFICE, JALGAON', 'id': '3039014065'}, {'screen_name': 'JalgaonDM', 'name': 'Collectorate Jalgaon/जिल्हाधिकारी कार्यालय जळगाव', 'id': '1274645168918900737'}, {'screen_name': 'DrShingnespeaks', 'name': 'Dr.Rajendra Shingne', 'id': '881877680970510336'}, {'screen_name': 'AmitV_Deshmukh', 'name': 'Amit V. Deshmukh', 'id': '2555024322'}, {'screen_name': 'rajeshtope11', 'name': 'Rajesh Tope', 'id': '183145504'}, {'screen_name': 'InfoDivNashik', 'name': 'DIVISIONAL INFORMATION OFFICE, NASHIK', 'id': '748530224002904064'}, {'screen_name': 'KHANDESHI_TADKA', 'name': 'आम्ही खान्देशी', 'id': '1015293809683456000'}, {'screen_name': 'MarathiDivya', 'name': 'Divya Marathi', 'id': '3003352620'}, {'screen_name': 'milokmat', 'name': 'Online Lokmat', 'id': '1396778846041481218'}, {'screen_name': 'Tarunbharatjal_', 'name': 'जळगाव तरुण भारत Jalgaon Tarun Bharat', 'id': '961588168796418048'}]",,,,
1.37803E+18,1.37803E+18,2021-04-02 22:26:59 India Standard Time,02-04-21,22:26:59,530,9.29376E+17,manishmantri41,Manish Mantri,,"वाशिम मध्ये रुग्णांना #remdesivir इंजेक्शन मिळत नाहीत..  #महाराष्ट्र सरकार म्हणते इंजेक्शन अगदी कमी दरात उपलब्ध आहेत, उपलब्ध आहेत तर ते इंजेक्शन जातात तरी कुठे..?  @Dev_Fadnavis  @Avadhutwaghbjp  @rajeshtope11  @OfficeofUT  @drharshvardhan @InfoWashim @spwashim @MahaDGIPR",mr,"[{'screen_name': 'dev_fadnavis', 'name': 'devendra fadnavis', 'id': '137780376'}, {'screen_name': 'avadhutwaghbjp', 'name': 'avadhut wagh अवधूत वाघ', 'id': '979795484'}, {'screen_name': 'rajeshtope11', 'name': 'rajesh tope', 'id': '183145504'}, {'screen_name': 'officeofut', 'name': 'office of uddhav thackeray', 'id': '1144169755672113155'}, {'screen_name': 'drharshvardhan', 'name': 'dr harsh vardhan', 'id': '77732185'}, {'screen_name': 'infowashim', 'name': 'district information office, washim', 'id': '3524325259'}, {'screen_name': 'mahadgipr', 'name': 'maharashtra dgipr', 'id': '2862278167'}]",[],[],0,2,4,"['remdesivir', 'महाराष्ट्र']",[],https://twitter.com/manishmantri41/status/1378028702475317250,FALSE,,0,,India,,,,,,[],,,,
1.37801E+18,1.37801E+18,2021-04-02 20:55:25 India Standard Time,02-04-21,20:55:25,530,1329155990,kapilagrawal_ca,CA Kapil Agrawal 🇮🇳,,Yesterday Bought Remdesivir Injection @Rs3800 with Gst Bill from Pvt Hospital. Today Bought same Remdesivir Injection @Rs720 from Govt Hospital Medical Store. Mrp Rs 4800 Price Control Needed !! @narendramodi @PMOIndia @DrJagdishSurat @vijayrup @CRPaatil @DarshanaJardosh @MySurat,en,"[{'screen_name': 'rs3800', 'name': 'alexander b.', 'id': '23748522'}, {'screen_name': 'rs720', 'name': 'russ sesto', 'id': '41833554'}, {'screen_name': 'narendramodi', 'name': 'narendra modi', 'id': '18839785'}, {'screen_name': 'pmoindia', 'name': 'pmo india', 'id': '471741741'}, {'screen_name': 'drjagdishsurat', 'name': 'dr. jagdish patel', 'id': '844236921735995394'}, {'screen_name': 'vijayrup', 'name': 'vijay ruparelia', 'id': '606303331'}, {'screen_name': 'crpaatil', 'name': 'c r paatil', 'id': '305603067'}, {'screen_name': 'darshanajardosh', 'name': 'darshana jardosh', 'id': '143388401'}, {'screen_name': 'mysurat', 'name': 'kang surat', 'id': '243588773'}]",[],[],0,1,6,[],[],https://twitter.com/kapilagrawal_ca/status/1378005655399788545,FALSE,,0,,India,,,,,,[],,,,
1.37795E+18,1.37789E+18,2021-04-02 17:09:24 India Standard Time,02-04-21,17:09:24,530,114128355,rnlathi,Rahul Lathi,,@DipeshPande Just received a message from some1. Remdesivir is available at Goldcity hospital.,en,[],[],[],1,0,1,[],[],https://twitter.com/rnlathi/status/1377948780482289670,FALSE,,0,,India,,,,,,"[{'screen_name': 'DipeshPande', 'name': 'Dipesh Pande', 'id': '1237440576620048386'}]",,,,
1.37791E+18,1.37782E+18,2021-04-02 14:21:21 India Standard Time,02-04-21,14:21:21,530,56026433,jemin_p,JeM!N Panchal,,@Si_lv_er @Deveshvari Not sure some remdesivir... They using it to treat,en,[],[],[],1,0,2,[],[],https://twitter.com/jemin_p/status/1377906486345486337,FALSE,,0,,India,,,,,,"[{'screen_name': 'Si_lv_er', 'name': 'Ahdaruna 🇮🇳', 'id': '361981991'}, {'screen_name': 'Deveshvari', 'name': 'Esha Agerwala', 'id': '91748215'}]",,,,
1.37789E+18,1.37789E+18,2021-04-02 13:08:04 India Standard Time,02-04-21,13:08:04,530,1.23744E+18,dipeshpande,Dipesh Pande,,Looking for Remdesivir Injection for a friend plz help if anyone have contact or something  injection is needed in Jalgaon,en,[],[],[],2,4,0,[],[],https://twitter.com/DipeshPande/status/1377888043126779904,FALSE,,0,,India,,,,,,[],,,,
