id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1378069740489482242,1378069740489482242,2021-04-03 01:10:04 India Standard Time,2021-04-03,01:10:04,+0530,96352085,naeemq,Naeem Qureshi,,Be careful. Check covid situation in Pakistan #CoronaVirusUpdates #COVID #MustFollowCovidSops #کرونا_سے_نجات_صرف_احتیاط Coronavirus #coronavirus #COVID19  https://t.co/qpWPcmmq4s,en,[],[],['https://pbs.twimg.com/media/Ex_jH6IWEAsPrqo.jpg'],0,0,1,"['coronavirusupdates', 'covid', 'mustfollowcovidsops', 'کرونا_سے_نجات_صرف_احتیاط', 'coronavirus', 'covid19']",[],https://twitter.com/naeemq/status/1378069740489482242,False,,1,https://pbs.twimg.com/media/Ex_jH6IWEAsPrqo.jpg,India,,,,,,[],,,,
1378047583893983233,1375442027408543746,2021-04-02 23:42:01 India Standard Time,2021-04-02,23:42:01,+0530,952187173477822464,dhawan_group,Harshil.Samir.Shah🇮🇳,,@KankichiRyotsu2 @MurliMenon6 @minaldoshi CCP try lot to hide Corona virus research center in Wuhan still it is out and UN OFFICER VISITED TOO,en,[],[],[],1,0,0,[],[],https://twitter.com/Dhawan_Group/status/1378047583893983233,False,,0,,India,,,,,,"[{'screen_name': 'KankichiRyotsu2', 'name': 'Kankichi Ryotsu', 'id': '1306112811727228928'}, {'screen_name': 'MurliMenon6', 'name': 'Murli Menon', 'id': '1309742278445993985'}, {'screen_name': 'minaldoshi', 'name': 'PÈGASŮS.. Wo Wala Nahi😎 🇮🇳', 'id': '85905231'}]",,,,
1378041541722308611,1378041541722308611,2021-04-02 23:18:00 India Standard Time,2021-04-02,23:18:00,+0530,306168820,iattishx,Attique Chaudhry,,"UK variant is more killing one here in third wave of coronavirus, in Pakistan.",en,[],[],[],0,0,0,[],[],https://twitter.com/iattishx/status/1378041541722308611,False,,0,,India,,,,,,[],,,,
1378038600315498502,1378038600315498502,2021-04-02 23:06:19 India Standard Time,2021-04-02,23:06:19,+0530,2998397970,ashutoshalive,Ashutosh Pathak,,"दोस्तों #coronavirus  अपने बूम-बूम अस्तर पर आ गया है,मुंबई की हालत बद से बदतर होती जा रही है। सरकार के भरोसे ना रहें सरकार चुनाव में व्यस्त हैं अपनी जान की हिफाजत खुद करो,जिम्मेदार बनो 👍#CoronavirusIndia #CoronaUpdate",hi,[],[],[],3,4,19,"['coronavirus', 'coronavirusindia', 'coronaupdate']",[],https://twitter.com/ashutoshaLive/status/1378038600315498502,False,,0,,India,,,,,,[],,,,
1378038506514223105,1378038506514223105,2021-04-02 23:05:57 India Standard Time,2021-04-02,23:05:57,+0530,2470350379,balaprakash20,Balaprakash Subramaniyan,,#WearAMask #Elecciones2021 #IndiaFightsCorona #coronavirus #COVID19 #TamilNaduElections2021 #MaskUp,und,[],[],[],0,0,0,"['wearamask', 'elecciones2021', 'indiafightscorona', 'coronavirus', 'covid19', 'tamilnaduelections2021', 'maskup']",[],https://twitter.com/balaprakash20/status/1378038506514223105,False,,0,,India,,,,,,[],,,,
1378036558226329600,1378036558226329600,2021-04-02 22:58:12 India Standard Time,2021-04-02,22:58:12,+0530,914315655427481600,potholewarriors,@PotholeWarriors Foundation #RoadSafety🇮🇳🚙🛵🛣,,#PollTime #LockDown2  #coronavirus #pandemic #lockdown2021   With the growing no. Of cases on daily basis &amp; no any other alternative  left  Should there be any lockdown to curb spreading of Corona ?  Do poll &amp; RT,en,[],[],[],3,5,2,"['polltime', 'lockdown2', 'coronavirus', 'pandemic', 'lockdown2021']",[],https://twitter.com/PotholeWarriors/status/1378036558226329600,False,,0,,India,,,,,,[],,,,
1378035846356475906,1378035846356475906,2021-04-02 22:55:23 India Standard Time,2021-04-02,22:55:23,+0530,1148591611779174400,parutamu,Parutamu,,#pokhara #kingslounge #nightlife #COVID19 #nepal #coronavirus #anamika  https://t.co/CXbuPeQ7TS,und,[],[],[],0,0,0,"['pokhara', 'kingslounge', 'nightlife', 'covid19', 'nepal', 'coronavirus', 'anamika']",[],https://twitter.com/parutamu/status/1378035846356475906,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1378035594920566790/pu/img/UVCkDUaODjheAUKe.jpg,India,,,,,,[],,,,
1378035828941713409,1378035828941713409,2021-04-02 22:55:18 India Standard Time,2021-04-02,22:55:18,+0530,2318656698,shafique_08,Mohd Shafique | محمد شفيق,,"Today, the way CM @OfficeofUT ji has addressed the state and has sincerely raised the issue faced by the state due to #COVID19 whether shortage of blood, increasing nos of patients in the hospital or the lack of awareness of the people against the #coronavirus  Salute you Sir 🙏🏻",en,"[{'screen_name': 'officeofut', 'name': 'office of uddhav thackeray', 'id': '1144169755672113155'}]",[],[],0,1,1,"['covid19', 'coronavirus']",[],https://twitter.com/shafique_08/status/1378035828941713409,False,,0,,India,,,,,,[],,,,
1378035768501837828,1378035768501837828,2021-04-02 22:55:04 India Standard Time,2021-04-02,22:55:04,+0530,929376321947320320,manishmantri41,Manish Mantri,,"अब नहीं कोई बात ख़तरे की,  अब सभी को सभी से ख़तरा है   #SecondWave #coronavirus #Corona",hi,[],[],[],0,0,0,"['secondwave', 'coronavirus', 'corona']",[],https://twitter.com/manishmantri41/status/1378035768501837828,False,,0,,India,,,,,,[],,,,
1378028482022703104,1378028482022703104,2021-04-02 22:26:07 India Standard Time,2021-04-02,22:26:07,+0530,1644434150,mkeshran007,manoj Ishran,,"जहाँ चुनाव है , क्या वहाँ #coronavirus छुट्टी पर है??",hi,[],[],[],0,0,1,['coronavirus'],[],https://twitter.com/mkeshran007/status/1378028482022703104,False,,0,,India,,,,,,[],,,,
1378028400871317512,1378028400871317512,2021-04-02 22:25:47 India Standard Time,2021-04-02,22:25:47,+0530,1329353670069108738,jehlamtimes,Jehlam Times,,"JK reports 517 new positive cases, 126720 recovered so far  #JAMMU: The Government on Friday informed that 517 new positive cases of novel Corona virus (COVID-19), 96 from Jammu division and 421 from Kashmir division.  https://t.co/FBJDvuFuZ7",en,[],[],['https://pbs.twimg.com/media/Ex-9hs6VoAQ1Zo9.jpg'],0,1,0,['jammu'],[],https://twitter.com/JehlamTimes/status/1378028400871317512,False,,1,https://pbs.twimg.com/media/Ex-9hs6VoAQ1Zo9.jpg,India,,,,,,[],,,,
1378027592616267784,1378027592616267784,2021-04-02 22:22:35 India Standard Time,2021-04-02,22:22:35,+0530,999611991881695232,bardoliguide,Bardoli Guide,,Today's Corona News Statistics of Surat and Bardoli ..  #bardoli #bardolinagar #surat #suratcity  #covid_19 #sardarnagribardoli #CoronaVirus #COVID19 #stayhomestaysafe #coronaupdates #coronapositive #bardoliguide  https://t.co/dWrZ6ky1LA,en,[],[],['https://pbs.twimg.com/media/Ex-8vR5VEAAjTP5.jpg'],0,0,0,"['bardoli', 'bardolinagar', 'surat', 'suratcity', 'covid_19', 'sardarnagribardoli', 'coronavirus', 'covid19', 'stayhomestaysafe', 'coronaupdates', 'coronapositive', 'bardoliguide']",[],https://twitter.com/bardoliguide/status/1378027592616267784,False,,1,https://pbs.twimg.com/media/Ex-8vR5VEAAjTP5.jpg,India,,,,,,[],,,,
1378026879047720969,1378026879047720969,2021-04-02 22:19:45 India Standard Time,2021-04-02,22:19:45,+0530,1221575557,chintan_2109,𝑹𝒊𝒔𝒉𝒕𝒂𝒂𝒏 🤩,,કોરોના ની સ્ટોરી પણ ઓલા વાઘ આવ્યો વાઘ આવ્યો જેવી થઈ ગઈ છે... હવે સાચે મા ડરવાની જરૂર છે ત્યારે કોઈ ડરવા તૈયાર નથી....કોરોના સાચે પાછો આવ્યો છે થોડું ડરજો કોઈ નો સગો નહિ થાય આ વખતે.....😌😌😔🙏🏻🙏🏻 #CoronavirusIndia  #coronavirus  #Corona,gu,[],[],[],0,0,0,"['coronavirusindia', 'coronavirus', 'corona']",[],https://twitter.com/chintan_2109/status/1378026879047720969,False,,0,,India,,,,,,[],,,,
