id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1.38E+18,1.38E+18,2021-04-02 05:24:39 India Standard Time,02-04-21,05:24:39,530,135536918,ei_sun_oh,Ei Sun OH 胡逸山,,Oh: “Malaysians recognise the importance of political stability in enabling the combat against [#COVID19] and the economic recovery. But they are increasingly unsure as to which coalition is best equipped to foster such goals.”  - @raevathi @msianinsight    https://t.co/lIRoRH7iav,en,"[{'screen_name': 'raevathi', 'name': 'raevathi supramaniam', 'id': '1518246469'}, {'screen_name': 'msianinsight', 'name': 'the malaysian insight', 'id': '828978119138701312'}]",['https://www.themalaysianinsight.com/s/308261'],[],0,0,0,['covid19'],[],https://twitter.com/ei_sun_oh/status/1377771420726386691,FALSE,,0,,India,,,,,,[],,,,
1.38E+18,1.38E+18,2021-04-02 05:24:26 India Standard Time,02-04-21,05:24:26,530,1.38E+18,czjshfvrz5v6roa,रतन पाटील,,महाराष्ट्र मराठवाडा एसटी बंद नाही दिवस आज सत्य COVID19 कोरोना रुग्णालयात दिनांक ३-४-२०२१शनिवार‌ बंद नाही दिवस आज सत्य दिनांक 1-1-2022 चालू सुरू दिवस सत्य पोलीस पुलिस पोलिस नरेंद्र मोदी प्रधानमंत्री सत्य,mr,[],[],[],0,0,0,[],[],https://twitter.com/czjsHfvrz5V6rOA/status/1377771367483932673,FALSE,,0,,India,,,,,,[],,,,
1.38E+18,1.38E+18,2021-04-02 05:16:16 India Standard Time,02-04-21,05:16:16,530,14229584,fisal1001,F i s a l A l - s h e b l ,"{'type': 'Point', 'coordinates': [24.75061175, 46.72618389]}",وقت اخذ اللقاح (@ COVID-19 Vaccine Center - @saudimoh in الرياض)  https://t.co/rlajyD0qBw,und,"[{'screen_name': 'saudimoh', 'name': 'وزارة الصحة السعودية', 'id': '280172306'}]",['https://www.swarmapp.com/c/cwUtGP5Qd6P'],[],0,0,0,[],[],https://twitter.com/Fisal1001/status/1377769310962253826,FALSE,,0,,India,,,,,,[],,,,
1.38E+18,1.38E+18,2021-04-02 05:15:18 India Standard Time,02-04-21,05:15:18,530,389766666,aguseko72,Agus Eko JB.,,@tempodotco Tambah lagi dengan cuti bersama... Sebentar lagi ada berita cluster paskah covid-19 🤦,in,[],[],[],0,1,0,[],[],https://twitter.com/aguseko72/status/1377769067503742977,FALSE,,0,,India,,,,,,"[{'screen_name': 'tempodotco', 'name': 'TEMPO.CO', 'id': '18129942'}]",,,,
1.38E+18,1.38E+18,2021-04-02 04:51:03 India Standard Time,02-04-21,04:51:03,530,1.09E+18,malikmaxwellro1,Malik Mohamed,,Dekat ghumah cheq saja ni ... musim Covid19 depa kata tak boleh rentaih negeri #bukangangkayangan  https://t.co/Uv1kD10zHb,in,[],[],['https://pbs.twimg.com/media/Ex7MHicU8AotT08.jpg'],0,0,0,['bukangangkayangan'],[],https://twitter.com/MalikMaxwellRo1/status/1377762968121708544,FALSE,,1,https://pbs.twimg.com/media/Ex7MHicU8AotT08.jpg,India,,,,,,[],,,,
1.38E+18,1.38E+18,2021-04-02 04:47:01 India Standard Time,02-04-21,04:47:01,530,1170697088,drgauravluthra,Dr Gaurav Luthra,,Restaurant dining associated with spikes in #Covid19 cases.,en,[],[],[],0,0,1,['covid19'],[],https://twitter.com/drgauravluthra/status/1377761953603407873,FALSE,https://twitter.com/JAMA_current/status/1377651998791720964,0,,India,,,,,,[],,,,
1.38E+18,1.38E+18,2021-04-02 04:33:16 India Standard Time,02-04-21,04:33:16,530,1170697088,drgauravluthra,Dr Gaurav Luthra,,Not a great record to make with so many better ways to fight Covid19 in 2021.   https://t.co/G3ckYXhIyr,en,[],['https://twitter.com/i/events/1377562750851842050'],[],0,0,0,[],[],https://twitter.com/drgauravluthra/status/1377758492845428739,FALSE,,0,,India,,,,,,[],,,,
1.38E+18,1.38E+18,2021-04-02 04:23:25 India Standard Time,02-04-21,04:23:25,530,1.24E+18,penkampar,Penerangan Kampar,,#JabatanPenerangan  #PeneranganPerak  #PeneranganKampar #Covid19 #KomunikasiKita,und,[],[],[],0,0,0,"['jabatanpenerangan', 'peneranganperak', 'penerangankampar', 'covid19', 'komunikasikita']",[],https://twitter.com/Penkampar/status/1377756012409593856,FALSE,https://twitter.com/bernamadotcom/status/1377561695162265603,0,,India,,,,,,[],,,,
1.38E+18,1.38E+18,2021-04-02 04:23:09 India Standard Time,02-04-21,04:23:09,530,1.24E+18,penkampar,Penerangan Kampar,,#JabatanPenerangan  #PeneranganPerak  #PeneranganKampar #Covid19 #KomunikasiKita,und,[],[],[],0,0,0,"['jabatanpenerangan', 'peneranganperak', 'penerangankampar', 'covid19', 'komunikasikita']",[],https://twitter.com/Penkampar/status/1377755943899832321,FALSE,https://twitter.com/mynadma/status/1377537491595501569,0,,India,,,,,,[],,,,
1.38E+18,1.38E+18,2021-04-02 04:18:45 India Standard Time,02-04-21,04:18:45,530,9.73E+17,jpdhar13,jai parkash dhar,,Aaj so raha hun main covid-19 ka tikakaran lagane ka 45 varsh se upar aayu Ke Logon Ka Abhiyan chalaya Gaya mujhe bhi tikakaran lagane ka saubhagya prapt hua Har Har Mahadev @drharshvardhan @MoHFW_INDIA  https://t.co/rlnX2L5s9k,hi,"[{'screen_name': 'drharshvardhan', 'name': 'dr harsh vardhan', 'id': '77732185'}, {'screen_name': 'mohfw_india', 'name': 'ministry of health', 'id': '2596143056'}]",[],"['https://pbs.twimg.com/media/Ex7Eq15UcAE9lDp.jpg', 'https://pbs.twimg.com/media/Ex7Er7UU4AEIY6y.jpg', 'https://pbs.twimg.com/media/Ex7EszCU8AAS49h.jpg', 'https://pbs.twimg.com/media/Ex7Et3XUcAQxfhZ.jpg']",0,0,0,[],[],https://twitter.com/jpdhar13/status/1377754838495203329,FALSE,,1,https://pbs.twimg.com/media/Ex7Eq15UcAE9lDp.jpg,India,,,,,,[],,,,
1.38E+18,1.38E+18,2021-04-02 03:47:56 India Standard Time,02-04-21,03:47:56,530,2602344810,fammedpurcsi,Dept of Family Medicine,,An important account of surviving #COVID19 following hospitalisation including weeks in ITU &amp; developing #LongCovid by English author Michael Rosen ( https://t.co/emGlyqipYV)  https://t.co/V1yr2bhJlL,en,[],['http://www.michaelrosen.co.uk'],['https://pbs.twimg.com/media/Ex69qrVUUAIGPlB.jpg'],1,0,0,"['covid19', 'longcovid']",[],https://twitter.com/FamMedPURCSI/status/1377747081251549184,FALSE,,1,https://pbs.twimg.com/media/Ex69qrVUUAIGPlB.jpg,India,,,,,,[],,,,
1.38E+18,1.38E+18,2021-04-02 03:15:36 India Standard Time,02-04-21,03:15:36,530,8.37E+17,sipgrab,SipGrab,"{'type': 'Point', 'coordinates': [12.8898216, 77.65212771]}","Personal Finance Daily: Compass CEO Robert Reffkin: COVID created a ‘permanent shift’ in real-estate demand, and don’t post your COVID-19 vaccination card on social media — here’s why  https://t.co/dOpO6WT55b #Nifty #Sipgrab #UnitingPeopleWithThePossibilities",en,[],['http://dlvr.it/Rwr4SN'],[],0,0,0,"['nifty', 'sipgrab', 'unitingpeoplewiththepossibilities']",[],https://twitter.com/sipgrab/status/1377738945593704451,FALSE,,0,,India,,,,,,[],,,,
1.38E+18,1.38E+18,2021-04-02 03:15:34 India Standard Time,02-04-21,03:15:34,530,8.37E+17,sipgrab,SipGrab,"{'type': 'Point', 'coordinates': [12.8898216, 77.65212771]}","Personal Finance Daily: Compass CEO Robert Reffkin: COVID created a ‘permanent shift’ in real-estate demand, and don’t post your COVID-19 vaccination card on social media — here’s why  https://t.co/03E3Pc5mf4 #Nifty #Sipgrab #UnitingPeopleWithThePossibilities",en,[],['http://dlvr.it/Rwr4S4'],[],0,0,0,"['nifty', 'sipgrab', 'unitingpeoplewiththepossibilities']",[],https://twitter.com/sipgrab/status/1377738938668838912,FALSE,,0,,India,,,,,,[],,,,
1.38E+18,1.38E+18,2021-04-02 03:13:38 India Standard Time,02-04-21,03:13:38,530,8.74E+17,_trains_lover,😘शिवम झा❣️💙 पंडित जी❣️💙🔥,,#Tejas_Express (#Mumbai_Ahmedabad) services has been temporarily #suspended again due to rising cases of #COVID19.  https://t.co/pFGWKZS7fM,en,[],[],['https://pbs.twimg.com/media/Ex610JWUUAArRDu.jpg'],0,0,1,"['tejas_express', 'mumbai_ahmedabad', 'suspended', 'covid19']",[],https://twitter.com/_trains_lover/status/1377738451592744963,FALSE,,1,https://pbs.twimg.com/media/Ex610JWUUAArRDu.jpg,India,,,,,,[],,,,
