id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1.37777E+18,1.37777E+18,2021-04-02 05:23:41 India Standard Time,02-04-21,05:23:41,530,1.02693E+18,m_qasim__,Qasim Malik,,@Shafqat_Mahmood #cancelcieexams2021 #corona #polio,und,[],[],[],0,0,2,"['cancelcieexams2021', 'corona', 'polio']",[],https://twitter.com/m_qasim__/status/1377771177326735361,FALSE,https://twitter.com/iz_ibrahimm/status/1377767330332225538,0,,India,,,,,,[],,,,
1.37777E+18,1.37777E+18,2021-04-02 05:01:20 India Standard Time,02-04-21,05:01:20,530,349679675,sarab1907,🇮🇳 ☬ Sarabjeet Daljit Singh ☬ 🇮🇳,,COVID infection leads to clousure of two Jamshedpur schools : DBMS English School's Std.9 student &amp; Andhra Association School's Teacher was found corona positive on Thursday. Administration should close all the offline classes. @HemantSorenJMM @DCEastSinghbhum @BannaGupta76,en,"[{'screen_name': 'hemantsorenjmm', 'name': 'hemant soren', 'id': '951457762835337217'}, {'screen_name': 'dceastsinghbhum', 'name': 'dc east singhbhum', 'id': '986963412692414466'}, {'screen_name': 'bannagupta76', 'name': 'banna gupta', 'id': '2239220617'}]",[],[],0,0,0,[],[],https://twitter.com/sarab1907/status/1377765552832180225,FALSE,,0,,India,,,,,,[],,,,
1.37776E+18,1.37776E+18,2021-04-02 04:44:23 India Standard Time,02-04-21,04:44:23,530,1.3535E+18,r0qtou5cgvvlnjb,علي غالب,,Imam Nasser Mohammad Al-Yemeni  10 - Rajab - 1441 AH  05 - 03 - 2020 AD  https://t.co/cNpa2Xa6FT  ..Corona-virus is from the minor chastisement before the major chastisement so they may turn (to Allah),en,[],['https://www.mahdialumma.com/showthread.php?p=324273'],[],0,0,0,[],[],https://twitter.com/R0qTOu5cGvVlNjB/status/1377761286855987200,FALSE,,0,,India,,,,,,[],,,,
1.37776E+18,1.37776E+18,2021-04-02 04:21:58 India Standard Time,02-04-21,04:21:58,530,1.15247E+18,kamlakarpiyush,piyush kamlakar,,Corona only in madhya Pradesh and Maharashtra sahi Modi Ji aap logo ka  https://t.co/LFTuMxRfDt,hi,[],[],['https://pbs.twimg.com/media/Ex7Fc_YVEAMfMN9.jpg'],1,0,2,[],[],https://twitter.com/KamlakarPiyush/status/1377755647639384064,FALSE,,1,https://pbs.twimg.com/media/Ex7Fc_YVEAMfMN9.jpg,India,,,,,,[],,,,
1.37776E+18,1.37749E+18,2021-04-02 04:21:18 India Standard Time,02-04-21,04:21:18,530,1.15247E+18,kamlakarpiyush,piyush kamlakar,,@narendramodi @rajinikanth Where is the mask sir........ Corona only in madhya Pradesh and Maharashtra 😀😀😀😀😀sahi hai sir aap logo ka  https://t.co/sTItHHWfOg,hi,[],[],['https://pbs.twimg.com/media/Ex7FTVaU8AMItN7.jpg'],0,0,0,[],[],https://twitter.com/KamlakarPiyush/status/1377755480731217920,FALSE,,1,https://pbs.twimg.com/media/Ex7FTVaU8AMItN7.jpg,India,,,,,,"[{'screen_name': 'narendramodi', 'name': 'Narendra Modi', 'id': '18839785'}, {'screen_name': 'rajinikanth', 'name': 'Rajinikanth', 'id': '1176135546'}]",,,,
1.37774E+18,1.37774E+18,2021-04-02 03:34:47 India Standard Time,02-04-21,03:34:47,530,8.50192E+17,iarmansrk,ارمان,,@SunainaAyushi Ohh dhyan rakhna . Corona to bdh hi raha h .,in,[],[],[],0,0,0,[],[],https://twitter.com/iArmanSRK/status/1377743775334756353,FALSE,,0,,India,,,,,,"[{'screen_name': 'SunainaAyushi', 'name': 'Sunaina', 'id': '1876057753'}]",,,,
1.37774E+18,1.37774E+18,2021-04-02 03:25:36 India Standard Time,02-04-21,03:25:36,530,416198441,isachdevasahil,Sahil  Sachdeva,,What corona ?,en,[],[],[],0,0,0,[],[],https://twitter.com/isachdevasahil/status/1377741461039448066,FALSE,https://twitter.com/ndtv/status/1377274916098084864,0,,India,,,,,,[],,,,
1.37774E+18,1.37331E+18,2021-04-02 03:03:00 India Standard Time,02-04-21,03:03:00,530,9.1169E+17,rajayasiraslam7,Raja Yasir Aslam7,,@maryam_MIQ @ImranKhanPTI @Mohsan_Official Q sub ko Corona lgana,es,[],[],[],0,0,0,[],[],https://twitter.com/RajaYasirAslam7/status/1377735776348352518,FALSE,,0,,India,,,,,,"[{'screen_name': 'maryam_MIQ', 'name': 'Maryam Iqbal', 'id': '1290155177459277825'}, {'screen_name': 'ImranKhanPTI', 'name': 'Imran Khan', 'id': '122453931'}, {'screen_name': 'mohsan_official', 'name': 'TheMohsanOfficial', 'id': '1391542979115032578'}]",,,,
1.37773E+18,1.37771E+18,2021-04-02 02:51:26 India Standard Time,02-04-21,02:51:26,530,1.09514E+18,hu94638097,lol,,@ndtvvideos @ndtvindia Baba... Ramdan aaane do... Phir dekhne corona.... Asmaan chooyegaa..... Uske baad phir.... Chala jayega.... Sala... Bht samjhdaar... Bimaari h baba🤣🤣🤣🤣,hi,[],[],[],0,0,2,[],[],https://twitter.com/hu94638097/status/1377732865102770176,FALSE,,0,,India,,,,,,"[{'screen_name': 'ndtvvideos', 'name': 'NDTV Videos', 'id': '249643872'}, {'screen_name': 'ndtvindia', 'name': 'NDTV India', 'id': '321271735'}]",,,,
1.37773E+18,1.37773E+18,2021-04-02 02:26:37 India Standard Time,02-04-21,02:26:37,530,522319790,manas1390,Manas Kumar,,@ndtv @republic  @ZeeNews  @IndiaToday  @BJP4India  @pushpampc13  @narendramodi  Kindly help us to get our job. #IRCTC HOSPITALITY SUPERVISOR# # Corona Warriors# #SAVE US#  https://t.co/xIElJbGzhS,en,"[{'screen_name': 'republic', 'name': 'republic', 'id': '811972460560019456'}, {'screen_name': 'zeenews', 'name': 'zee news', 'id': '461841349'}, {'screen_name': 'indiatoday', 'name': 'indiatoday', 'id': '19897138'}, {'screen_name': 'bjp4india', 'name': 'bjp', 'id': '207809313'}, {'screen_name': 'pushpampc13', 'name': 'pushpam priya choudhary', 'id': '475728783'}, {'screen_name': 'narendramodi', 'name': 'narendra modi', 'id': '18839785'}]",[],[],0,1,2,"['irctc', 'save']",[],https://twitter.com/manas1390/status/1377726618441904128,FALSE,https://twitter.com/manas1390/status/1377720625666666498,1,https://pbs.twimg.com/ext_tw_video_thumb/1377725431034511362/pu/img/wFdgjDTpHXRzIck_.jpg,India,,,,,,[],,,,
