UserName,userhandle,Time,comments,retweets,likes,Tweet
Sumant Kumar,@SumantKumar2019,2021-04-29T20:16:34.000Z,,,,"@MamataOfficial


@narendramodi
 
@DrHVoffice
 
@drharshvardhan
 
@PMOIndia
 Please consider scheduling of  seperate second shot of COVID-19 vaccination slots (Covishield or Covaxin) for above 60 years (senior citizens ) to avoid ongoing hardships and rush in the Vaccination centres."
MEHEDI HASSAN MONDAL,@MEHEDIH59739306,2021-04-29T18:22:50.000Z,1,2,3,"Where is our India'n GOVERNMENT.lack of people are dying every day in road ,home ,hospital due to crisis of oxygen. #ALLHA please save us from this COVID-19. Pandemic."
Janta Power,@Power_Janta,2021-04-29T15:57:31.000Z,,,,"The media has turned a blind eye to the ongoing crisis. Channels are busy predicting the election results rather than focusing on the 18.4 million Covid Cases. This proves that the media cares about nothing but TRP! 

#Covid #coronavirusindia #IndianMedia #TRP2021 #JANTAPOWER"
Chakradharparhi,@Chakradharparhi,2021-04-29T12:47:25.000Z,,,,"My dear all twiter friends & My siniour person,In covid 19 we all knows what is happening in our india , so my specially request to all of u plz obey our government rules and social distance must be need for kill/destroy corona virus, and always wear mask on ur face.JayJagannath."
Janta Power,@Power_Janta,2021-04-29T11:55:41.000Z,2,,,"@KareenaKapoor
 reveals chat with Taimur about Covid-19 vaccines, explains their importance with Tom and Jerry video.

#COVID19 #CoronaVaccine #coronavirus #pandemic #COVID19India #JantaPower"
Nishit Shaw,@NishitShawHere,2021-04-29T11:25:11.000Z,,,,"Replying to 
@rohitjswl01
 
@BJP4Bengal
 and 
@AITCofficial"
Anabil Bhattacharya,@ianabil,2021-04-29T11:24:27.000Z,,,,"Do 
@HospitalsApollo
 / 
@MedicaEasternIn
 / Peerless / RN Tagore / Woodlands, and other renowned private hospitals in Kolkata have tele-medicine package for #Covid infected patients? If yes, then how one can book it?


@KunalCardiac
 #COVIDEmergency #Kolkata #IndiaFightsCorona"
Md Sk Shahnawaz(মোঃ শেখ শাহনাওয়াজ),@ShahnawazSocial,2021-04-29T08:22:14.000Z,,1,3,Done! These Thanks giving me power day by day.. #Kolkata #Covid #SOSQabilah
Md Sk Shahnawaz(মোঃ শেখ শাহনাওয়াজ),@ShahnawazSocial,2021-04-29T06:55:23.000Z,,,,May Allah Bless you a lot! From a non-Muslim..very sweet gesture..This type of things Giving me more power day by day! #Kolkata #Pandemic #Covid #SOSQabilah
Nishit Shaw,@NishitShawHere,2021-04-29T06:47:39.000Z,,,,"Contd. Cases are bound to go down if people start distancing themselves and start wearing masks.
#Covid19 can be defeated. I could see that in polling stations amid #WestBengalElections2021 so I urge everyone in #Mumbai, #Delhi & other parts to help us defeat #Corona. #WestBenha"
AMIT MAJUMDER,@AMITMAJ42568317,2021-04-29T05:16:47.000Z,,6,6,Modi is busy holding rallies rather than handling the tough COVID-19 crisis. Think and Vote. #TMC200Paar
Pratik B,@trailsoftravel,2021-04-29T04:03:25.000Z,,1,,Seems like the biggest source of #covid spread will soon be the long queues for vaccination where people are exposed to each other for hours waiting to get a token. And we were supposed to register through #CoWin which is now redundant #digitalindia or #indiaqueuesupforvaccine
Brain_explorer,@rajansgpgi,2021-04-29T02:52:31.000Z,2,1,1,"Hospital beds available at Janakpuri super speciality hospital at Janakpuri New Delhi.
This has been converted into COVID-19 hospital just now ( started admitting patients from 5:00pm 28th April 2021)

Janakpuri Superspeciality Hospital 

Contact no- 01128504100 #Covid19IndiaHelp"
Ishani Duttagupta,@IshaniDg,2021-04-29T01:31:20.000Z,,,,United States Airlifts Emergency Supplies to Help India Address Deadly Second Wave of COVID-19 Pandemic | Press Release | U.S. Agency for International Development
Md Sk Shahnawaz(মোঃ শেখ শাহনাওয়াজ),@ShahnawazSocial,2021-04-28T22:36:09.000Z,,,,"Replying to 
@Aniruddha1994B"
Saaket Sharma,@saaketsharmax,2021-04-28T20:26:32.000Z,,,,"Source : JHU CSSE COVID 19 shows as of 6th april New Cases Lodged were : 1,15,736. 

@gopalkagarwal
 
@BBCWorld
 

Lies"
Vivek Saha,@VivekSaha,2021-04-28T20:09:08.000Z,,,,"Covid-19 in India: A country struggling to breathe 
@BBC
 News live  BBC https://youtu.be/Gm_4CD0zWB4 via 
@YouTube
 
@narendramodi
 pls save us do something fast sir"
Pooja Mehta,@pooja_news,2021-04-28T15:42:42.000Z,4,6,64,#JUST IN| BJP’s Englishbazar candidate Sreerupa Mitra Chaudhury tests positive for Covid-19. Admitted to a hospital in Kolkata. Englishbazar Assembly Constituency in Malda district of Bengal goes to polls tomorrow.
RAJ BOSE,@rajnbose,2021-04-28T14:57:16.000Z,1,,,"My friend's wife is in critical condition in #Covid_19, need Remdesvir 6 vial
if any one can help to get it in Kolkata please inform

@wbdhfw
 
@MahuaMoitra
 
@KPSouthDiv
 
@CPKolkata
 
@MamataOfficial
 
Please Help "
ইন্দ্রজিৎ | INDRAJIT,@iindrojit,2021-04-28T14:44:11.000Z,,7,29,"#Bengal #Covid Update: 17,207 new cases recorded in past 24 hrs, 77 deaths

3821 cases in #Kolkata"
JESAL DOSHI,@jesalvdoshi,2021-04-28T14:23:29.000Z,1,,,"Though Covid 19 spread every where but efforts mad by your government is outstanding. We are proud of you & your team.
@narendramodi
 
@AmitShah
 
@PiyushGoyal
 
@BJP4India"
SAYAN KUNDU (WRITER),@KunduWriter,2021-04-28T14:09:49.000Z,,4,6,"#LargestVaccineDrive #Unite2FightCorona 

Registration for the newly eligible category for COVID-19 vaccination opens today at 4PM on http://CoWIN.gov.in and Aarogya Setu app."
ইন্দ্রজিৎ | INDRAJIT,@iindrojit,2021-04-28T14:02:37.000Z,2,53,121,No beds for #Covid patients in UP: Solicitor General Tushar Mehta tells SC in #SiddiqueKappan case
Srinjoy Roychowdhury,@srinjoyrik,2021-04-28T10:56:26.000Z,,,1,"""COVID 19 RESOURCES IN WESTBENGAL.""

 SCAN THE QR CODE TO VISIT THE SITE OR TAP ON THE LINK .Sourcelink:https://covidresourceswestbengal.carrd.co

A share can save someone's life... u never know. 

Please share as much as possible ,so that it reaches as many people as possible."
Arghyadip Datta,@KhubPetuk1,2021-04-28T10:19:34.000Z,,,,"Replying to 
@narendramodi"
বানীব্রত দাশগুপ্ত,@Bunibroto,2021-04-28T08:19:02.000Z,1,,2,"But CM of Bihar Government not infected by #Covid
Communist CM of Kerala found #Covid positive
4 candidates of #Modi hating parties died in West Bengal, no #BJP candidate though

@YashwantSinha
 will ask 
@ndtv
 to give some negative news from BJP, he is failing to find some."
Anindita Bhadra,@Abhadra7,2021-04-28T08:09:29.000Z,2,,30,"#crochet after ages, during the long wait at the hospital. Finished something I had started before #covid hit me. The pace was much slower, I had to rest every now and then, but it was relaxing."
Nitesh Rajak,@NiteshR55534527,2021-04-28T07:52:03.000Z,,,,"We want exam cancellation of class 10 due to increasing of covid 19....

@BanglarGorboMB
 
@abhishekaitc
 
@parthodasgupta"
Vibhuti Singh,@VibhutiSinghIND,2021-04-28T06:33:41.000Z,1,5,16,"BJYM karyakartas have been working day & night on the ground as well as online to support India's fight against COVID 19. With #BJYMDoctorHelpline the organization takes a step further in bringing relief to the citizens in these trying times. 
@Tejasvi_Surya
 
@CharuPragya"
IMI Kolkata,@IMIKOnline,2021-04-28T05:42:09.000Z,,,,"All superheroes don't wear a cape. Some wear a white coat and a stethoscope around their neck. 
IMI Kolkata celebrates the International Superhero Day by recognizing the selfless efforts of all medical professionals and front line Covid-19 warriors across the whole world. 

#IMIK"
Sneha Saha,@sahas1301,2021-04-28T05:05:52.000Z,1,,3,"There’s no #CowinApp. You need to login to the portal for #covid #VaccineRegistration. 

#CoWin #COVID19India"
rise~and~fall,@riseandfall11,2021-04-28T04:49:28.000Z,,,,"Times of India: Covaxin found to neutralise 617 variant of Covid-19: Dr Fauci.
https://timesofindia.indiatimes.com/india/covaxin-found-to-neutralise-617-variant-of-covid-19-dr-fauci/articleshow/82284139.cms?UTM_Source=Google_Newsstand&UTM_Campaign=RSS_Feed&UTM_Medium=Referral…

via 
@GoogleNews"
Md Sk Shahnawaz(মোঃ শেখ শাহনাওয়াজ),@ShahnawazSocial,2021-04-27T22:25:04.000Z,,,2,"In the mddle of night,after mking numrs clls if u r able to get beds for needy,oxygn for some ppl n save few lives,I swear .it's milln times more satisfying thn being a part of any biggest event.We can't sleep when people are infrnt of hospitals waiting for a bed. #Kolkata #Covid"
Ankur Datta,@AnkurDatta19,2021-04-27T22:13:57.000Z,,,1,"@elonmusk
 Hey Mr Musk can you please donate some oxygen to India or some medical equipment or funding, we here in India are really struggling with the second covid-19 wave. Hundreds of thousands are dying everyday and there is a shortage or oxygen supply. Medical equipment. Pls."
Tuneer Mukherjee,@mutuneer,2021-04-27T19:43:13.000Z,,,1,"The World Health Organization (WHO) has said India’s deadly Covid-19 second wave was caused by a “perfect storm” of mass gatherings, low vaccination rates and more contagious variants."
ইন্দ্রজিৎ | INDRAJIT,@iindrojit,2021-04-27T17:13:36.000Z,1,2,8,"#Bengal #Covid Update: 16,403 new cases recorded in past 24 hrs 

3708 cases in #Kolkata"
Rajesh,@ePandu,2021-04-27T13:38:28.000Z,2,12,6,"If you are in #Kolkata and need to refill an oxygen cylinder, let me know. Can help. #COVIDEmergency #COVID #Covid19"
