,Unnamed: 0,tweet,language,hastags,attherate,urls,tokenized_Tweet,filteredToken,clean_tweet,emojis
0,0,COVID infection leads to clousure of two Jamshedpur schools : DBMS English School's Std.9 student &amp; Andhra Association School's Teacher was found corona positive on Thursday. Administration should close all the offline classes. @HemantSorenJMM @DCEastSinghbhum @BannaGupta76,en,[],"['@HemantSorenJMM', '@DCEastSinghbhum', '@BannaGupta76']",[],"['COVID', 'infection', 'leads', 'to', 'clousure', 'of', 'two', 'Jamshedpur', 'schools', 'DBMS', 'English', 'School', ""'s"", 'Std.9', 'student', 'amp', 'Andhra', 'Association', 'School', ""'s"", 'Teacher', 'was', 'found', 'corona', 'positive', 'on', 'Thursday', 'Administration', 'should', 'close', 'all', 'the', 'offline', 'classes', 'HemantSorenJMM', 'DCEastSinghbhum', 'BannaGupta76']","['School', 'offline', 'infection', ""'s"", 'English', 'schools', 'amp', 'COVID', 'Std.9', 'Andhra', 'leads', 'Association', 'corona', 'classes', 'clousure', 'HemantSorenJMM', 'BannaGupta76', 'found', 'Administration', 'close', 'DBMS', 'two', 'positive', 'Teacher', 'Thursday', 'student', 'Jamshedpur', 'DCEastSinghbhum']",COVID infection leads to clousure of two Jamshedpur schools : DBMS English Schools Std9 student amp Andhra Association Schools Teacher was found corona positive on Thursday Administration should close all the offline classes ,[]
1,1,"UK's Glastonbury Festival, cinemas, museums get government cash to survive COVID  https://t.co/zsvvfaO49b #Sipgrab #UnitingPeopleWithThePossibilities",en,"['#Sipgrab', '#UnitingPeopleWithThePossibilities']",[],['https://t.co/zsvvfaO49b'],"['UK', ""'s"", 'Glastonbury', 'Festival', 'cinemas', 'museums', 'get', 'government', 'cash', 'to', 'survive', 'COVID', 'https', 't.co/zsvvfaO49b', 'Sipgrab', 'UnitingPeopleWithThePossibilities']","['Glastonbury', 'UnitingPeopleWithThePossibilities', 'museums', 'https', 'UK', ""'s"", 'COVID', 't.co/zsvvfaO49b', 'cinemas', 'Festival', 'government', 'Sipgrab', 'cash', 'survive', 'get']",UKs Glastonbury Festival cinemas museums get government cash to survive COVID  ,[]
2,2,"These covid lockdowns make me desperate than ever.   Watch my #sissyclit leak cum like a true #ExposedSissySlut while getting brutally fucked.  Please expose me, Varun is a pathetic #sissy #faggot.  https://t.co/RB7Dse2yYF",en,"['#sissyclit', '#ExposedSissySlut', '#sissy', '#faggot.']",[],['https://t.co/RB7Dse2yYF'],"['These', 'covid', 'lockdowns', 'make', 'me', 'desperate', 'than', 'ever', 'Watch', 'my', 'sissyclit', 'leak', 'cum', 'like', 'a', 'true', 'ExposedSissySlut', 'while', 'getting', 'brutally', 'fucked', 'Please', 'expose', 'me', 'Varun', 'is', 'a', 'pathetic', 'sissy', 'faggot', 'https', 't.co/RB7Dse2yYF']","['pathetic', 'brutally', 'true', 'https', 'getting', 'fucked', 'desperate', 'ExposedSissySlut', 'ever', 'sissyclit', 'expose', 'sissy', 'Please', 't.co/RB7Dse2yYF', 'like', 'covid', 'leak', 'cum', 'faggot', 'These', 'Varun', 'Watch', 'lockdowns', 'make']",These covid lockdowns make me desperate than ever Watch my leak cum like a true while getting brutally fucked Please expose me Varun is a pathetic ,[]
3,3,"@Dublin_Called @NFitzPsychology Thanks, Orla! The pandemic has made it tougher. My sis (in Canada) &amp; hubster can't even fly over to help out. Under normal conditions (we'll need to redefine ""normal"" post-Covid) we could take turns. However tough, I have no regrets caring for my mum ❤️ (really miss Dublin tho🍀)",en,[],"['@Dublin_Called', '@NFitzPsychology']",[],"['Dublin_Called', 'NFitzPsychology', 'Thanks', 'Orla', 'The', 'pandemic', 'has', 'made', 'it', 'tougher', 'My', 'sis', 'in', 'Canada', 'amp', 'hubster', 'ca', ""n't"", 'even', 'fly', 'over', 'to', 'help', 'out', 'Under', 'normal', 'conditions', 'we', ""'ll"", 'need', 'to', 'redefine', 'normal', 'post-Covid', 'we', 'could', 'take', 'turns', 'However', 'tough', 'I', 'have', 'no', 'regrets', 'caring', 'for', 'my', 'mum', '❤️', 'really', 'miss', 'Dublin', 'tho🍀']","['redefine', 'tho🍀', 'Canada', '❤️', 'mum', 'tough', 'hubster', 'really', 'Dublin', 'NFitzPsychology', 'take', 'even', 'post-Covid', 'amp', 'Thanks', 'Under', 'However', 'tougher', ""n't"", 'help', 'need', 'caring', 'regrets', 'The', 'I', 'My', 'sis', ""'ll"", 'conditions', 'made', 'turns', 'miss', 'ca', 'fly', 'Orla', 'pandemic', 'could', 'normal', 'Dublin_Called']", Thanks Orla The pandemic has made it tougher My sis (in Canada) amp hubster cant even fly over to help out Under normal conditions (well need to redefine normal postCovid) we could take turns However tough I have no regrets caring for my mum ❤️ (really miss Dublin tho🍀),"['❤️', '🍀']"
4,4,Please take strict action against the DPS &amp;C Premier Campus Faisalabad for opening and calling of the staff endangering their lives as already more than 10 teachers are diagnosed with Covid. @DCFaisalabad @ImranKhanPTI @OfficialNcoc @HealthPunjabGov @nhsrcofficial @DrMuradPTI,en,[],"['@DCFaisalabad', '@ImranKhanPTI', '@OfficialNcoc', '@HealthPunjabGov', '@nhsrcofficial', '@DrMuradPTI']",[],"['Please', 'take', 'strict', 'action', 'against', 'the', 'DPS', 'amp', 'C', 'Premier', 'Campus', 'Faisalabad', 'for', 'opening', 'and', 'calling', 'of', 'the', 'staff', 'endangering', 'their', 'lives', 'as', 'already', 'more', 'than', '10', 'teachers', 'are', 'diagnosed', 'with', 'Covid', 'DCFaisalabad', 'ImranKhanPTI', 'OfficialNcoc', 'HealthPunjabGov', 'nhsrcofficial', 'DrMuradPTI']","['Premier', 'HealthPunjabGov', 'Campus', 'Covid', 'C', 'Faisalabad', 'teachers', 'staff', 'lives', 'take', '10', 'nhsrcofficial', 'Please', 'amp', 'strict', 'DrMuradPTI', 'action', 'already', 'DCFaisalabad', 'OfficialNcoc', 'opening', 'DPS', 'calling', 'diagnosed', 'endangering', 'ImranKhanPTI']",Please take strict action against the DPS ampC Premier Campus Faisalabad for opening and calling of the staff endangering their lives as already more than 10 teachers are diagnosed with Covid ,[]
5,5,"Personal Finance Daily: Compass CEO Robert Reffkin: COVID created a ‘permanent shift’ in real-estate demand, and don’t post your COVID-19 vaccination card on social media — here’s why  https://t.co/dOpO6WT55b #Nifty #Sipgrab #UnitingPeopleWithThePossibilities",en,"['#Nifty', '#Sipgrab', '#UnitingPeopleWithThePossibilities']",[],['https://t.co/dOpO6WT55b'],"['Personal', 'Finance', 'Daily', 'Compass', 'CEO', 'Robert', 'Reffkin', 'COVID', 'created', 'a', '‘', 'permanent', 'shift', '’', 'in', 'real-estate', 'demand', 'and', 'don', '’', 't', 'post', 'your', 'COVID-19', 'vaccination', 'card', 'on', 'social', 'media', '—', 'here', '’', 's', 'why', 'https', 't.co/dOpO6WT55b', 'Nifty', 'Sipgrab', 'UnitingPeopleWithThePossibilities']","['Personal', 'https', 'Finance', 'Sipgrab', 'permanent', 'real-estate', 'social', 'Daily', 'shift', 'media', 'UnitingPeopleWithThePossibilities', 'COVID', 'vaccination', '’', 'created', 't.co/dOpO6WT55b', '‘', 'COVID-19', '—', 'Reffkin', 'demand', 'Compass', 'CEO', 'post', 'card', 'Nifty', 'Robert']",Personal Finance Daily: Compass CEO Robert Reffkin: COVID created a ‘permanent shift’ in realestate demand and don’t post your COVID19 vaccination card on social media — here’s why  ,[]
6,6,"Personal Finance Daily: Compass CEO Robert Reffkin: COVID created a ‘permanent shift’ in real-estate demand, and don’t post your COVID-19 vaccination card on social media — here’s why  https://t.co/03E3Pc5mf4 #Nifty #Sipgrab #UnitingPeopleWithThePossibilities",en,"['#Nifty', '#Sipgrab', '#UnitingPeopleWithThePossibilities']",[],['https://t.co/03E3Pc5mf4'],"['Personal', 'Finance', 'Daily', 'Compass', 'CEO', 'Robert', 'Reffkin', 'COVID', 'created', 'a', '‘', 'permanent', 'shift', '’', 'in', 'real-estate', 'demand', 'and', 'don', '’', 't', 'post', 'your', 'COVID-19', 'vaccination', 'card', 'on', 'social', 'media', '—', 'here', '’', 's', 'why', 'https', 't.co/03E3Pc5mf4', 'Nifty', 'Sipgrab', 'UnitingPeopleWithThePossibilities']","['Personal', 'https', 'Finance', 'Sipgrab', 'permanent', 'real-estate', 'social', 'Daily', 'shift', 'media', 'UnitingPeopleWithThePossibilities', 'COVID', 'vaccination', '’', 'created', '‘', 't.co/03E3Pc5mf4', 'COVID-19', '—', 'Reffkin', 'demand', 'Compass', 'CEO', 'post', 'card', 'Nifty', 'Robert']",Personal Finance Daily: Compass CEO Robert Reffkin: COVID created a ‘permanent shift’ in realestate demand and don’t post your COVID19 vaccination card on social media — here’s why  ,[]
7,7,Here's how you can be forced to get the Covid vaccine in the U.S.  https://t.co/eEJUm8GqOB #Nifty #Sipgrab #UnitingPeopleWithThePossibilities,en,"['#Nifty', '#Sipgrab', '#UnitingPeopleWithThePossibilities']",[],['https://t.co/eEJUm8GqOB'],"['Here', ""'s"", 'how', 'you', 'can', 'be', 'forced', 'to', 'get', 'the', 'Covid', 'vaccine', 'in', 'the', 'U.S', 'https', 't.co/eEJUm8GqOB', 'Nifty', 'Sipgrab', 'UnitingPeopleWithThePossibilities']","['UnitingPeopleWithThePossibilities', 'vaccine', 't.co/eEJUm8GqOB', 'https', 'Covid', ""'s"", 'Nifty', 'Sipgrab', 'U.S', 'forced', 'Here', 'get']",Heres how you can be forced to get the Covid vaccine in the US  ,[]
8,8,@GabbbarSingh Their PM for Covid 2 days after he was vaccinated.  But aapne Ghabrana nahi hai !,en,[],['@GabbbarSingh'],[],"['GabbbarSingh', 'Their', 'PM', 'for', 'Covid', '2', 'days', 'after', 'he', 'was', 'vaccinated', 'But', 'aapne', 'Ghabrana', 'nahi', 'hai']","['nahi', 'Their', 'GabbbarSingh', 'aapne', 'But', '2', 'Ghabrana', 'Covid', 'days', 'PM', 'vaccinated', 'hai']", Their PM for Covid 2 days after he was vaccinated But aapne Ghabrana nahi hai ,[]
9,9,@BBMPCOMM @BBMPAdmn Congratulations Sir. A challenging task amidst Covid 19 second wave. My best wishes.,en,[],"['@BBMPCOMM', '@BBMPAdmn']",[],"['BBMPCOMM', 'BBMPAdmn', 'Congratulations', 'Sir', 'A', 'challenging', 'task', 'amidst', 'Covid', '19', 'second', 'wave', 'My', 'best', 'wishes']","['Sir', 'challenging', 'wishes', 'wave', 'Covid', 'BBMPCOMM', '19', 'A', 'second', 'My', 'Congratulations', 'BBMPAdmn', 'amidst', 'task', 'best']", Congratulations Sir A challenging task amidst Covid 19 second wave My best wishes,[]
