created_at,username,tweet,language,replies_count,retweets_count,likes_count
2021-08-01 08:56:28 India Standard Time,ravi4354,"Line of Treatment for Covid-19 Hydroquinone  Ivermectin  Zincovit  Celine (Vit.C)  Paracetamol Doxy  Antibody cocktail  Dexamethasone Azithromycin  Remdesivir Frapivir  Oxygen  Get vaccinated,  prevent all above",en,0,1,2
2021-08-09 06:29:13 India Standard Time,aditidasnigam,"Yes, it's Oxygen and Remdesivir Versus Hindu-Muslim Agenda this time. It's Hospital beds versus temple politics, it's feeding peacocks versus hungry migrants....the list is long....very long.",en,1,11,22
2021-08-07 11:46:13 India Standard Time,drpriyankavija1,"@KDMCOfficial one of my pts needs remdesivir and tociluzimab urgently ,wid icu bed if available , kindly help kdmc ...plz contact 9987579186",en,0,0,0
2021-08-06 13:54:00 India Standard Time,adityanag2002,So many citizens across India requested you for oxygen &amp; Remdesivir too remember.,en,0,0,1
2021-08-05 16:39:11 India Standard Time,sanhchaupham,Remdesivir “made in India” just reached #HoChiMinhCity to help flight Covid 19.  https://t.co/nbaFUWscbw,en,6,17,110
2021-08-05 15:20:15 India Standard Time,akashsinghinc,"Instead of managing Covid tactfully, BJP leaders and PM got involved with various scams related to covid relief.  - PM care fund scam - ventilator scam - Remdesivir scam - PPE scam - oxygen cylinder scam - ambulance scam - Vaccination scam - 4lakh compensation scam  #SansadGherao",en,0,3,4
2021-08-04 13:49:12 India Standard Time,praveenskapoor,India's Remdesivir production capacity increased to 122.49 lakh vials per month in June: Government   https://t.co/6HVzYZbwBx  via NaMo App  https://t.co/nasMWFZVrJ,en,0,1,1
2021-08-04 11:10:15 India Standard Time,shankardutta117,नमस्कार दोस्तों गुरुजनों देश वासियों । देश ने आपनी सुरक्षा की लक्ष्मण रेखा खींच ली । सावधानी ही समाधान । उज्जाउल भविष्य ओह वर्तमान ।  India's Remdesivir production capacity increased to 122.49 lakh vials per month in June: Government   https://t.co/jQwh8qMHei via NaMo App  https://t.co/bVD0IydkK3,und,0,0,0
2021-08-11 17:10:00 India Standard Time,abrarmehjoor,"Report: India preparing for a possible Covid 3rd Wave: Currently 50 lakh Remdesivir medicines in stock, 293 O2 Plants for hospitals, 20 Lakh beds.  India plans to restart Vaccine exports from November.",en,0,0,1
2021-08-11 15:15:23 India Standard Time,biorahul,I thought AIIMS has removed Remdesivir from the line of treatment. Kya karoge 50L stock ka?,en,0,1,4
2021-08-11 14:46:07 India Standard Time,jayanta13998620,"Oxygen Plants, ICU Beds and 50 Lakh Vials of Remdesivir: How Govt is Preparing for the 3rd Wave  https://t.co/PNpvC13wpP",en,0,0,0
2021-08-21 17:19:16 India Standard Time,btmnewsmarathi, https://t.co/4Rt972LjeX Remdesivir चा निकृष्ट दर्जा आणि काळाबाजाराने घेतला का ? हजारो करोनाबाधीतांचा बळी. Cipla Ltd. चे रेमडिसीवीर तारापूर येथे उत्पादित इंजेक्शन चोरी काळाबाजारी बरोबरच निकृष्ट दर्जाचे असल्याचे Drug control Department of Delhi अहवाल  संपूर्ण बातमीवाचा वरिल लिंकवर,mr,0,0,1
2021-08-20 09:50:33 India Standard Time,salafi_rakibul,সকলোতে কেৱল গুজৰাটী যে কিয়? Why only Gujarati in all types of scams ?  #Covishield #remdesivir #Gujarat  @narendramodi_in  https://t.co/BtC3BBQ2xj,und,0,0,0
2021-08-31 04:23:40 India Standard Time,raahat25236487,@63d235a2bfac484 @KiritSomaiya @BJP4Maharashtra Yes nothing will happen to Fadnavis in remdesivir matter.Anil deshmukh is vasuli matter. And others is other scams. Bjp signed in favour of scamster Ajit pawar to form govt. why Kirit is not questioning Fadnavis too,en,0,0,0
2021-08-04 05:27:04 India Standard Time,nazuriyamada1,"We COOL people always fill your lungs, clear your mind. To breathe, we do not only need air and lungs, we need freedom. #COVID19 #kitajagakita #kementeriankesihatanmalaysi  https://t.co/cv0zzuiiXe",en,0,0,0
2021-08-04 05:07:32 India Standard Time,soso888,"チョンブリ県COVID19 新規感染者1,678人 2021年8月4日06:30  ムアンチョンブリ438人、シラチャ433人、 バンラムン（パタヤ）320人  施設,市場、建設現場、家族間、知り合い間でのクラスター  累積感染者30,807人 15,608人が治癒、15,051人が治療中 死者+10人累積死者148人  https://t.co/odfi8omd7S",ja,0,0,2
2021-08-04 04:54:30 India Standard Time,salmanlawakmega,Terasa kehangatan MERDEKA dalam puisi artistik. MERDEKAKANLAH DIRI ANDA DARI COVID-19. #salmanjkk #salmanjkktv #salmanalfarisiseniman #pemuisi #dbp #DekadBahasaKebangsaan #BahasaJiwaBangsa  https://t.co/2MJ05X3i0V,in,0,0,0
2021-08-04 04:27:03 India Standard Time,engtbag,عدم الحضور الى المدرسه وقت التطعيم المحدد وإبلاغ المدرسه والسلطات رسميا بعدم الرغبه بالتطعيم لنفي أي موافقه ضمنيه.  4⃣ #الحرية_الطبية #COVID19 #متضرري_اللقاح #ساحة_الإرادة #لا_للتطعيم_الاجباري  https://t.co/klA6XuRnmI,ar,4,25,55
2021-08-04 04:21:02 India Standard Time,engtbag,لتكون الموافقه صالحه يجب أن يتم: 1-الإبلاغ عنها 2-أن تكون مفهومه 3-أن تكون طواعيه 3⃣ #الحرية_الطبية #COVID19 #متضرري_اللقاح #ساحة_الإرادة #لا_للتطعيم_الاجباري  https://t.co/aWuGvsEGik,ar,0,3,4
2021-08-04 04:10:47 India Standard Time,polsek_badau,vaksin Covid-19 diatas..,et,0,0,1
2021-08-04 04:10:47 India Standard Time,polsek_badau,"#infopolsekbadau #untuknegeriuntukindonesia #indonesiatangguhindonesiatumbuh . . .  Sobat Polri, pengembangan vaksin Covid-19 yang aman dan efektif adalah langkah penting dalam upaya global untuk segera mengakhiri pandemi, untuk itu yuk kita simak fakta-fakta penting seputar  https://t.co/SOHAC64M5C",in,1,0,1
2021-08-04 04:09:36 India Standard Time,polsek_badau,"#infopolsekbadau #untuknegeriuntukindonesia #indonesiatangguhindonesiatumbuh . . .  Waspada! Covid-19 ada di Sekelilingmu Jangan Kendor Prokesnya!  Guys, tetaplah waspada karena jumlah penularan covid-19 saat ini masih belum menunjukkan angka yang menurun. Selalu patuhi protokol  https://t.co/iJnlCB9A26",in,1,0,1
2021-08-04 04:08:05 India Standard Time,polsek_badau,"#infopolsekbadau #untuknegeriuntukindonesia #indonesiatangguhindonesiatumbuh . . . Laksanakan vaksinasi ntuk mencegah gejala berat ketika terpapar virus Covid-19, sehingga bila terpapar tubuh kita sudah punya tameng untuk melawan virusnya.  https://t.co/3g671wIe1D",in,1,0,1
2021-08-04 04:07:26 India Standard Time,polsek_badau,#infopolsekbadau  #untuknegeriuntukindonesia  #indonesiatangguhindonesiatumbuh . . .  Vaksinasi Covid-19 merupakan “senjata” yang ampuh untuk melawan wabah penyakit akibat virus corona. #VaksinasiTaatProkes5M Baksos Akpol91 Mengabdi  https://t.co/FacwxqIWnZ,in,0,0,1
