,Unnamed: 0,tweet,language,hastags,attherate,urls,tokenized_Tweet,filteredToken,clean_tweet,emojis
0,0,"Line of Treatment for Covid-19 Hydroquinone  Ivermectin  Zincovit  Celine (Vit.C)  Paracetamol Doxy  Antibody cocktail  Dexamethasone Azithromycin  Remdesivir Frapivir  Oxygen  Get vaccinated,  prevent all above",en,[],[],[],"['Line', 'of', 'Treatment', 'for', 'Covid-19', 'Hydroquinone', 'Ivermectin', 'Zincovit', 'Celine', 'Vit.C', 'Paracetamol', 'Doxy', 'Antibody', 'cocktail', 'Dexamethasone', 'Azithromycin', 'Remdesivir', 'Frapivir', 'Oxygen', 'Get', 'vaccinated', 'prevent', 'all', 'above']","['Treatment', 'Oxygen', 'Get', 'vaccinated', 'Antibody', 'prevent', 'Ivermectin', 'Line', 'Vit.C', 'cocktail', 'Hydroquinone', 'Zincovit', 'Frapivir', 'Dexamethasone', 'Azithromycin', 'Covid-19', 'Celine', 'Doxy', 'Paracetamol', 'Remdesivir']",Line of Treatment for Covid19 Hydroquinone Ivermectin Zincovit Celine (VitC) Paracetamol Doxy Antibody cocktail Dexamethasone Azithromycin Remdesivir Frapivir Oxygen Get vaccinated prevent all above,[]
1,1,"Yes, it's Oxygen and Remdesivir Versus Hindu-Muslim Agenda this time. It's Hospital beds versus temple politics, it's feeding peacocks versus hungry migrants....the list is long....very long.",en,[],[],[],"['Yes', 'it', ""'s"", 'Oxygen', 'and', 'Remdesivir', 'Versus', 'Hindu-Muslim', 'Agenda', 'this', 'time', 'It', ""'s"", 'Hospital', 'beds', 'versus', 'temple', 'politics', 'it', ""'s"", 'feeding', 'peacocks', 'versus', 'hungry', 'migrants', 'the', 'list', 'is', 'long', 'very', 'long']","['Oxygen', ""'s"", 'long', 'Hindu-Muslim', 'Hospital', 'migrants', 'versus', 'temple', 'peacocks', 'politics', 'Agenda', 'beds', 'feeding', 'hungry', 'list', 'Versus', 'Yes', 'time', 'Remdesivir', 'It']",Yes its Oxygen and Remdesivir Versus HinduMuslim Agenda this time Its Hospital beds versus temple politics its feeding peacocks versus hungry migrantsthe list is longvery long,[]
2,2,"@KDMCOfficial one of my pts needs remdesivir and tociluzimab urgently ,wid icu bed if available , kindly help kdmc ...plz contact 9987579186",en,[],['@KDMCOfficial'],[],"['KDMCOfficial', 'one', 'of', 'my', 'pts', 'needs', 'remdesivir', 'and', 'tociluzimab', 'urgently', 'wid', 'icu', 'bed', 'if', 'available', 'kindly', 'help', 'kdmc', 'plz', 'contact', '9987579186']","['contact', 'urgently', 'kdmc', 'one', 'remdesivir', 'plz', 'KDMCOfficial', 'kindly', 'wid', 'tociluzimab', '9987579186', 'help', 'icu', 'bed', 'available', 'needs', 'pts']", one of my pts needs remdesivir and tociluzimab urgently wid icu bed if available  kindly help kdmc plz contact 9987579186,[]
3,3,So many citizens across India requested you for oxygen &amp; Remdesivir too remember.,en,[],[],[],"['So', 'many', 'citizens', 'across', 'India', 'requested', 'you', 'for', 'oxygen', 'amp', 'Remdesivir', 'too', 'remember']","['across', 'oxygen', 'India', 'So', 'remember', 'amp', 'many', 'Remdesivir', 'citizens', 'requested']",So many citizens across India requested you for oxygen amp Remdesivir too remember,[]
4,4,Remdesivir “made in India” just reached #HoChiMinhCity to help flight Covid 19.  https://t.co/nbaFUWscbw,en,['#HoChiMinhCity'],[],['https://t.co/nbaFUWscbw'],"['Remdesivir', '“', 'made', 'in', 'India', '”', 'just', 'reached', 'HoChiMinhCity', 'to', 'help', 'flight', 'Covid', '19', 'https', 't.co/nbaFUWscbw']","['t.co/nbaFUWscbw', 'India', 'reached', '“', '”', 'flight', 'made', 'HoChiMinhCity', 'help', 'https', 'Covid', 'Remdesivir', '19']",Remdesivir “made in India” just reached to help flight Covid 19 ,[]
5,5,"Instead of managing Covid tactfully, BJP leaders and PM got involved with various scams related to covid relief.  - PM care fund scam - ventilator scam - Remdesivir scam - PPE scam - oxygen cylinder scam - ambulance scam - Vaccination scam - 4lakh compensation scam  #SansadGherao",en,['#SansadGherao'],[],[],"['Instead', 'of', 'managing', 'Covid', 'tactfully', 'BJP', 'leaders', 'and', 'PM', 'got', 'involved', 'with', 'various', 'scams', 'related', 'to', 'covid', 'relief', 'PM', 'care', 'fund', 'scam', 'ventilator', 'scam', 'Remdesivir', 'scam', 'PPE', 'scam', 'oxygen', 'cylinder', 'scam', 'ambulance', 'scam', 'Vaccination', 'scam', '4lakh', 'compensation', 'scam', 'SansadGherao']","['care', 'compensation', 'scam', 'Covid', 'PM', 'got', 'oxygen', '4lakh', 'BJP', 'fund', 'Instead', 'Vaccination', 'cylinder', 'leaders', 'scams', 'tactfully', 'various', 'involved', 'related', 'PPE', 'managing', 'SansadGherao', 'covid', 'ventilator', 'ambulance', 'relief', 'Remdesivir']",Instead of managing Covid tactfully BJP leaders and PM got involved with various scams related to covid relief  PM care fund scam  ventilator scam  Remdesivir scam  PPE scam  oxygen cylinder scam  ambulance scam  Vaccination scam  4lakh compensation scam ,[]
6,6,India's Remdesivir production capacity increased to 122.49 lakh vials per month in June: Government   https://t.co/6HVzYZbwBx  via NaMo App  https://t.co/nasMWFZVrJ,en,[],[],"['https://t.co/6HVzYZbwBx', 'https://t.co/nasMWFZVrJ']","['India', ""'s"", 'Remdesivir', 'production', 'capacity', 'increased', 'to', '122.49', 'lakh', 'vials', 'per', 'month', 'in', 'June', 'Government', 'https', 't.co/6HVzYZbwBx', 'via', 'NaMo', 'App', 'https', 't.co/nasMWFZVrJ']","['India', 'per', 't.co/nasMWFZVrJ', ""'s"", 'vials', 't.co/6HVzYZbwBx', 'June', 'via', 'month', 'https', 'lakh', 'increased', 'App', 'production', 'capacity', 'Government', 'NaMo', '122.49', 'Remdesivir']",Indias Remdesivir production capacity increased to 12249 lakh vials per month in June: Government  via NaMo App ,[]
7,7,"Report: India preparing for a possible Covid 3rd Wave: Currently 50 lakh Remdesivir medicines in stock, 293 O2 Plants for hospitals, 20 Lakh beds.  India plans to restart Vaccine exports from November.",en,[],[],[],"['Report', 'India', 'preparing', 'for', 'a', 'possible', 'Covid', '3rd', 'Wave', 'Currently', '50', 'lakh', 'Remdesivir', 'medicines', 'in', 'stock', '293', 'O2', 'Plants', 'for', 'hospitals', '20', 'Lakh', 'beds', 'India', 'plans', 'to', 'restart', 'Vaccine', 'exports', 'from', 'November']","['plans', 'Lakh', 'India', 'medicines', 'hospitals', 'Plants', 'Covid', 'exports', 'Vaccine', 'restart', 'stock', 'preparing', 'possible', 'Report', 'Currently', '20', 'lakh', '293', 'beds', '3rd', 'Wave', 'O2', 'November', '50', 'Remdesivir']",Report: India preparing for a possible Covid 3rd Wave: Currently 50 lakh Remdesivir medicines in stock 293 O2 Plants for hospitals 20 Lakh beds India plans to restart Vaccine exports from November,[]
8,8,I thought AIIMS has removed Remdesivir from the line of treatment. Kya karoge 50L stock ka?,en,[],[],[],"['I', 'thought', 'AIIMS', 'has', 'removed', 'Remdesivir', 'from', 'the', 'line', 'of', 'treatment', 'Kya', 'karoge', '50L', 'stock', 'ka']","['I', 'ka', 'stock', '50L', 'thought', 'removed', 'Kya', 'line', 'treatment', 'karoge', 'AIIMS', 'Remdesivir']",I thought AIIMS has removed Remdesivir from the line of treatment Kya karoge 50L stock ka,[]
9,9,"Oxygen Plants, ICU Beds and 50 Lakh Vials of Remdesivir: How Govt is Preparing for the 3rd Wave  https://t.co/PNpvC13wpP",en,[],[],['https://t.co/PNpvC13wpP'],"['Oxygen', 'Plants', 'ICU', 'Beds', 'and', '50', 'Lakh', 'Vials', 'of', 'Remdesivir', 'How', 'Govt', 'is', 'Preparing', 'for', 'the', '3rd', 'Wave', 'https', 't.co/PNpvC13wpP']","['Oxygen', 'Lakh', 'Beds', '3rd', 'Plants', 'ICU', 'Govt', 't.co/PNpvC13wpP', 'How', 'https', 'Wave', '50', 'Remdesivir', 'Preparing', 'Vials']",Oxygen Plants ICU Beds and 50 Lakh Vials of Remdesivir: How Govt is Preparing for the 3rd Wave ,[]
10,10,@63d235a2bfac484 @KiritSomaiya @BJP4Maharashtra Yes nothing will happen to Fadnavis in remdesivir matter.Anil deshmukh is vasuli matter. And others is other scams. Bjp signed in favour of scamster Ajit pawar to form govt. why Kirit is not questioning Fadnavis too,en,[],"['@63d235a2bfac484', '@KiritSomaiya', '@BJP4Maharashtra']",[],"['63d235a2bfac484', 'KiritSomaiya', 'BJP4Maharashtra', 'Yes', 'nothing', 'will', 'happen', 'to', 'Fadnavis', 'in', 'remdesivir', 'matter.Anil', 'deshmukh', 'is', 'vasuli', 'matter', 'And', 'others', 'is', 'other', 'scams', 'Bjp', 'signed', 'in', 'favour', 'of', 'scamster', 'Ajit', 'pawar', 'to', 'form', 'govt', 'why', 'Kirit', 'is', 'not', 'questioning', 'Fadnavis', 'too']","['happen', 'remdesivir', 'matter.Anil', 'signed', 'deshmukh', 'favour', 'Ajit', 'form', 'Kirit', 'others', 'BJP4Maharashtra', 'Fadnavis', '63d235a2bfac484', 'And', 'scamster', 'scams', 'Bjp', 'questioning', 'matter', 'govt', 'pawar', 'Yes', 'nothing', 'vasuli', 'KiritSomaiya']", Yes nothing will happen to Fadnavis in remdesivir matterAnil deshmukh is vasuli matter And others is other scams Bjp signed in favour of scamster Ajit pawar to form govt why Kirit is not questioning Fadnavis too,[]
