,created_at,username,tweet,language,replies_count,retweets_count,likes_count
0,2021-07-03 05:27:47 India Standard Time,abdulrahimwahab,"@NajwanHalimi Memang sgt mudah untuk mengatakan yg buruk kpd org lain.  Tp ingat S'lgr penyumbang tertinggi carta Covid-19.  Apa langkah yg blh membuahkan hasil olh ""Kerajaan hebat"" Slgr @AmirudinShari @anwaribrahim dll untuk menjadi penyumbang TERCOROT ??",in,0.0,0.0,0
1,2021-07-03 05:27:45 India Standard Time,mluthfiramli,Hahahahaha denggi vs covid.   Dia kena paham2 lah sendiri 🤣,in,0.0,0.0,0
2,2021-07-03 05:21:08 India Standard Time,dholhy1,@FerdinandHaean3 @aniesbaswedan Nampak sdh kekandrunannya itulah kalau jadi gubernur dengan modal jual ayat dan jual mayat sekarang di JKT sdh banyak mayat kuburan penuh bahkan RS pun semua penuh karena covid 19 belum lagi oksigen mulai menipis,in,0.0,0.0,0
3,2021-07-03 05:19:03 India Standard Time,norizzuedin,tapi saya ada kawan still tak percaya covid. Saya pon hairan,in,0.0,0.0,0
4,2021-07-03 05:00:57 India Standard Time,dholhy1,@Arie_Kriting Bukan hanya bansos tapi setiap pejabat yang menghamburkan uang negara yang tidak jelas hasil harus ditangkap lihat di DKI berepa uang negara habis tapi hasil proyeknya tidak ada harus ditangkap demi menopang pendanaan masa pandemi covid 19 ini,in,0.0,0.0,0
5,2021-07-03 04:46:08 India Standard Time,scchabba,@anileshmahajan @tsrawatbjp @TIRATHSRAWAT @BJP4India It is showing complete mess in power hierarchy of BJP which is seemingly rattled by inappropriate handling of covid 2nd wave .,en,0.0,0.0,0
6,2021-07-03 04:29:52 India Standard Time,_firdausdaniel,"@afiqahnasuhaaa den doplotiga joho, tolak covid gak",in,0.0,0.0,0
7,2021-07-03 04:27:12 India Standard Time,andrydwipurwoko,Kalo ada yg covid modar ini mah,in,0.0,0.0,0
8,2021-07-03 04:12:47 India Standard Time,chungakabasil,Uggah: Sarawak still free of Covid-19 Delta variant    https://t.co/BtjONCXGgI,en,0.0,0.0,1
9,2021-07-05 05:21:27 India Standard Time,badzgirl_pop,เหมือนจะตาย นั่งเขียนadmit Covid 10 เคส และก็มีป้ามาให้ตีshockขำๆ กรีสสสส,th,0.0,0.0,0
10,2021-07-05 04:54:09 India Standard Time,ombutolia,@RomainSandro Following Covid 19 guidelines.,en,0.0,0.0,0
11,2021-07-05 04:49:20 India Standard Time,anuj_dce,"My parents, senior citizens and vaccinated are on the way to Port Blair from Delhi Airport to meet my brother who is in critical cond in GB Pant Hospital, Port Blair, are being denied to take the flight due to absence of Covid report. Please help @PMOIndia @AiFlywith @airindiain",en,1.0,0.0,0
12,2021-07-05 04:04:09 India Standard Time,mimirrrrrr,"Astaga mirrr, dalam banyak banyak mimpi asal kau mimpi kau kena covid. Mintak dijauhkannn",in,0.0,0.0,0
13,2021-07-05 03:07:15 India Standard Time,dr_afzalhaqasif,"Fast-spreading Delta Variant, Vaccination Rates, Reintroduction of Indoor Masks: COVID-19 Global Weekly Highlights  https://t.co/Aia0dGOybP via @medscape",en,0.0,0.0,0
14,2021-07-05 02:59:59 India Standard Time,drwaheedmiraj,"COVID Vaccines: Mixing different vaccines for first and second dose have better results than both doses of the same vaccine, study finds.  https://t.co/P0emPoWTxP",en,0.0,0.0,4
15,2021-07-05 02:56:30 India Standard Time,siongsiong16,"楊培安 我相信 歌詞  https://t.co/OOqNduyg9Z via @YouTube  World Buddies!  Believe in our respective ALLAH / God / Belief.  The GREATEST definitely would stop the Pandemic of COVID-19 and also its variants Delta,once Believe on HIM and do Goodnesses Always,both CREATIONS n NATURE.  https://t.co/BVZJgO2eZC",en,0.0,1.0,1
16,2021-07-05 02:47:07 India Standard Time,7awooory,14 COVID admissions so far 💔,en,0.0,0.0,1
17,2021-07-05 02:35:49 India Standard Time,balasankuratri,#VACCINATIONRACE  STATE/UT-WISE - VACCINATION RACE  One in every four Indians is vaccinated with at least one dose of COVID-19 vaccine as on 04 July 2021.  CC: @MoHFW_INDIA @narendramodi @ICMRDELHI @PMOIndia @WHO @adarpoonawalla @DrKrishnaElla @SuchitraElla  https://t.co/H6N87O84le,en,0.0,1.0,4
18,2021-07-05 02:28:08 India Standard Time,pankaj766dance,"@narendramodi respected sir,  Apse request hai. Artist log ke kaam band hai, jobless ho chuke hai. Classes tak bamd hai, khul b rahi hai to koi ni aa raha covid ki wajah se. Rent bharna pad raha hai last 2 years se. Sir kya hum artist log mar jaye kya, sir kisi ko b ni dhikta.?",hi,0.0,0.0,0
19,2021-07-05 02:27:28 India Standard Time,iam_wardakazmi,Bas usdin ka intezar hai jab Martial arts seekh kar pakki fighter ban jaon gi.😩 Covid ne kabharha kardiya sara!,hi,1.0,0.0,10
20,2021-07-05 02:14:09 India Standard Time,_rodahidup,Fears over the ‘Lambda’ Covid variant that’s hit UK as ‘unusual’ mutations can ‘dodge vaccines’  https://t.co/yTOFK4JNh5,en,1.0,0.0,0
21,2021-07-05 02:04:15 India Standard Time,shazsham95,"@Iqbalhuszaidey Prepare fizikal secukupnya smntara ada masa, yg paling penting perform masa iv lisan insyaAllah ada rezeki tu. Intake buat masa sekarang smua on hold, sy yg batch mohon 2019 pun tak dapat masuk lagi sebab covid ni. Kena byk bersabar, proses dia ckup panjang. Papepun goodluck ✌🏻",in,1.0,0.0,3
22,2021-07-05 01:41:36 India Standard Time,care4mumbai,@KishoriPednekar I hope more than 20 people are not attending marriage ....  As per Covid guidelines ...  #DeltaVariant,en,0.0,0.0,0
23,2021-07-05 01:22:08 India Standard Time,ahmad9998,@daniawaheed3 Never heard of black vomit. Rest are symptoms of covid. Can be food poisoning as well. Get urself tested immediately,en,0.0,0.0,2
24,2021-07-05 01:21:26 India Standard Time,_rodahidup,COVID-19: Indonesia ramps up oxygen output after dozens die amid scarcity   https://t.co/7SzOVD9Ox0,en,0.0,0.0,0
25,2021-07-05 01:14:59 India Standard Time,sabarish091282,"@carboxymoron @adi408b So many positives !!! Great quarterly results amid covid and fantastic expansion plans with ammonia plant at Tajola and I strongly believe once is out from the ASM IV, this will fly high to reach 800+ - please go through the link    https://t.co/OblAJgkadc",en,1.0,0.0,3
26,2021-07-05 01:13:30 India Standard Time,devyaanthiran,"Susulan pandemik Covid-19 yang belum berakhir, kemeriahan sambutan Hari Lahir Presiden MMSP, Datuk Seri R.S @thanenthiran3 tahun ini tentu sekali agak berbeza tetapi meriah dengan kata² semangat &amp; bersama KELUARGA MAKKAL SAKTI di APLIKASI GOOGLE MEET petang semalam. @NajibRazak",in,0.0,9.0,7
27,2021-07-05 01:11:21 India Standard Time,nirvedplus,Covid 19 era gone? If gone dm me or else tweet .....,en,0.0,0.0,0
28,2021-07-05 01:04:32 India Standard Time,vishnoisays,"Israel, Pfizer Discuss Expiring Covid Vaccines Swap: Haaretz  https://t.co/KV0epx3Hr4",en,0.0,0.0,0
29,2021-07-06 05:28:31 India Standard Time,jayanta13998620,Map reveals US covid hotspots with high delta numbers and low vaccinations  https://t.co/LabVr9Gg32 @drharshvardhan,en,0.0,0.0,0
30,2021-07-06 05:23:57 India Standard Time,jayanta13998620,Morocco’s Sothema to produce China’s Sinopharm Covid-19 vaccine | World | Malay Mail  https://t.co/NBQc66y88c @drharshvardhan,en,0.0,0.0,1
31,2021-07-06 05:10:35 India Standard Time,pmibangka,"Harus isolasi mandiri? Tenang, ikuti saja protokolnya. . Save and share postingan ini ya, siapa tau ada kerabat/keluarga yang sedang membutuhkan informasi ini.  . Jangan lengah, Covid belum musnah! Jangan lelah untuk selalu lakukan 6M. #CegahCovid19 #KitaHadapiBersama  https://t.co/jSjGSBjvat",in,0.0,0.0,0
32,2021-07-06 04:51:33 India Standard Time,krishanmohankr6,Preparations Undertaken at War-Footing to Fight COVID  via NaMo App  https://t.co/a8wLlrpiS9,en,0.0,0.0,0
33,2021-07-06 04:50:47 India Standard Time,krishanmohankr6,Rise in Testing Infrastructure to Battle COVID-19  via NaMo App  https://t.co/pIRE6vQvjq,en,0.0,0.0,0
34,2021-07-06 04:50:42 India Standard Time,krishanmohankr6,Strengthening Healthcare Infra during COVID-19  via NaMo App  https://t.co/45BqZJK3KR,en,0.0,0.0,0
35,2021-07-06 04:47:52 India Standard Time,krishanmohankr6,Indian Railways Speed Up Fight Against COVID-19   via NaMo App  https://t.co/oBBRVfOidZ,en,0.0,0.0,0
36,2021-07-06 04:47:36 India Standard Time,krishanmohankr6,PM-CARES Fund Helps Nation in Fight against COVID-19  via NaMo App  https://t.co/kEjLXirMFK,en,0.0,0.0,0
37,2021-07-06 04:45:19 India Standard Time,miyuniaa,"Budak2 fizik um pun grad under minimal supervision tnpa covid, lecturer semua busy buat research masing2 🥱 masuk kelas dgn tak masuk kelas sama je (kecuali bbrp subjek)",in,0.0,0.0,0
38,2021-07-06 04:43:58 India Standard Time,lokman_mohamad,"Right approach by UK . Life must go on . No pain no gain . In Malaysia , we must allow inter state and open our social &amp; economy now .  BBC News - Covid: Most rules set to end in England, says PM  https://t.co/0vGCZcbeSf",en,0.0,0.0,0
39,2021-07-06 04:41:48 India Standard Time,putrau,"@detikcom Inilah kerja as you go..sebelum ada lonjakan, ngg kepikiran tuh gimana kalo terjadi lonjakan..sok ngebanyol covid terkendali!",in,0.0,0.0,0
40,2021-07-06 04:40:18 India Standard Time,zaimhq,I used to be a world traveller. Sekarang passport pun dah tak ingat dok letak kat mana. Dah mati dah pun kot. Penangan Covid dan Stroke. Double Jeopardy.  https://t.co/aeJODw9uQb,in,0.0,0.0,0
41,2021-07-06 04:30:59 India Standard Time,mekotweet,"More than 60 people died in a hospital in Indonesia this weekend after oxygen supplies nearly ran out, as the country battles a severe wave of Covid-19 that authorities say is driven by the more infectious Delta variant.  https://t.co/m5ow5EImFy",en,0.0,0.0,0
42,2021-07-06 04:09:21 India Standard Time,mekotweet,816 tested positive for Covid-19 so far today. Results of PCR tests delayed &amp; are lesser due to strike action by certain trade unions of the health sector...  - Army Commander-  https://t.co/MApDlJp2UH,en,0.0,0.0,0
43,2021-07-06 04:01:20 India Standard Time,mekotweet,"32 Covid-19 related deaths for 04 July confirmed by Director General of Health Services, increasing total number of deaths in Sri Lanka to 3,268 - Gov't Info Dept #COVID19SL #COVID19 #coronavirus #fatalities  https://t.co/stfTNThxPY",en,0.0,0.0,0
44,2021-07-06 03:46:58 India Standard Time,mekotweet,"Russia's Orthodox Church admonishes people for refusing to get vaccinated against COVID-19, calling it ""a sin for which they will have to atone throughout their lives"" - Reuters",en,0.0,0.0,0
45,2021-07-06 03:45:48 India Standard Time,dzakimrd,lucunya pemeritah malah endorse ivermectin jg obat covid :(,in,0.0,0.0,0
46,2021-07-06 03:31:41 India Standard Time,yourfeverdreams,١٤٤٢/١١/٢٥ | 05/07/2021 مركز لقاحات COVID-19 - المعهد الوطني.  -يوم جديد فالتطوع مع الاصدقاء السعيدين، اول يوم أجرب فيه الـFull duty evening ورجولي حالياً تبكي من الالم واتوقع وقفة الشيخ عبدالله توضح لكم كيف كان دوام اليوم 😂😂، نختم اليوم بصلة الرحم في وايت🧡.  https://t.co/n6hWCHbBtO,ar,3.0,0.0,14
47,2021-07-06 03:31:21 India Standard Time,jayanta13998620,@mayankgandhi04 I think type 2 is deadlier than Covid-19 or any other disease for Asians in the existing time,en,0.0,1.0,3
48,2021-07-06 03:22:35 India Standard Time,drdatta_aiims,🚩JUST IN:  A Brilliant Article on Post COVID Symptoms published today in the Annals of Internal Medicine highlights the need for out patient monitoring of all COVID patients!   https://t.co/kNuXwwp9CA  Thank you @EricTopol for bringing this to my notice!  Sharing the Abstract!  https://t.co/OaUpdJE7mU,en,1.0,9.0,30
49,2021-07-08 05:25:15 India Standard Time,danialikhwxn,Mati macam tu jer la rakyat Malaysia ni. Covid tengah tinggi and babi gila kuasa. Politaik. Naya hidup.,in,0.0,1.0,2
50,2021-07-08 05:23:35 India Standard Time,dinieyusof,B*d*h apa tengah2 covid buat menda2 b*d*h covid tak hbs2 sibuk dgn politik sakit hati!!!!!! Grrrrrrrrr,in,0.0,0.0,0
51,2021-07-08 05:22:29 India Standard Time,ebsirivimon,อยากได้วัคซีน Novavax เป็นวัคซีนทางเลือกก็ได้ ถ้ามีเอกชนนำเข้ามาได้ ก็พร้อมจ่ายจริงเลยอันนี้   แต่อ่านข่าวมา ข้อมูล ณ วันที่ 1 มิถุนายน 2564 ไม่ได้ระบุถึงวัคซีน Novavax ไว้ และเนื่องจากไม่ได้เข้าร่วมโครงการ COVAX ไทยจึงน่าจะไม่ได้รับวัคซีนนี้   จบ  #Covid #Covid_19 #Novavax,th,0.0,4.0,0
52,2021-07-08 05:22:12 India Standard Time,bangkokmatching,วิธีกักตัวเองให้คนในบ้านปลอดภัย และ คำแนะนำ กรณีพบผู้ติดเชื้อ covid 19 ในบริษัท ที่ทำงาน และคอนโด  https://t.co/3vPXV0yQQR,th,0.0,3.0,2
53,2021-07-08 05:20:30 India Standard Time,suchisudarshan,"Startling findings by @aiims_newdelhi! Children grapple with anxiety and depression in COVID era. This is not how childhoods should be. Proud that @stc_india team is working hard to restore small joys of childhood. In these times, let's #ThinkOfTheChildren  https://t.co/oE0uwSfnPp",en,0.0,0.0,3
54,2021-07-08 05:11:33 India Standard Time,shashanajiha,"Sebelum tidur menyumpah kt menteri kerajaan, bgun tidur pn menyumpah jgak... Btw semoga menteri2 bodoh ni kena covid varian lambda!!!!",in,0.0,0.0,1
55,2021-07-08 05:11:20 India Standard Time,ryzhamdan,COVID 19 expose how broken the political and social systems in every country..,en,0.0,2.0,3
56,2021-07-08 05:09:14 India Standard Time,kekwasibunga,Malaysia ni kalah perang dgn covid bukan sbb salah strategi bukan sbb salah rakyat tapi sbb politik . Menteri2 sibuk politik demi duit,in,1.0,1.0,0
57,2021-07-08 05:07:21 India Standard Time,warga_kb,"Macamana kes covid-19 nak turun kalau majlis tempatan, kerajaan negeri dan ahli parlimen PH tidak mahu berkerjasama dgn kerajaan pusat? #fulllockdown  #dhilpremium @ Kota Bharu, Kelantan Darul Naim  https://t.co/aVlxRHUhpL",in,0.0,0.0,0
58,2021-07-08 05:03:39 India Standard Time,pcgadgetcom,"Finally good job umno,seems geng2 umno dlm kerajaan skrg gila jawatan lah ya,lepas tuh mmg tak nak handle covid betul..#KerajaanTumbang",in,0.0,0.0,2
59,2021-07-08 05:01:39 India Standard Time,aintaj,"Kalau bab politik, habis meeting pukul 1pagi pun tak apa. Kalau bab Covid, minggu depan bulan depan baru nak kaji, nak meeting.",in,0.0,3.0,4
60,2021-07-08 04:51:26 India Standard Time,sutansee,Akademisi dan pengusaha nilai PPKM Darurat sudah tepat  https://t.co/kbTSSxFfmn  PPKM Atasi Covid,in,0.0,0.0,0
61,2021-07-08 04:51:21 India Standard Time,sutansee,"5 Jenis Bantuan PPKM yang Diberikan Pemerintah Kepada Masyarakat, Simak Penjelasan Berikut  https://t.co/tWWEzDO9tI  PPKM Atasi Covid",in,0.0,0.0,0
62,2021-07-08 04:51:15 India Standard Time,sutansee,"Berencana Ajukan Banding atas Vonis, Pengamat: Rizieq Harusnya Salahkan Diri Sendiri.  https://t.co/myNPxoIg8F  PPKM Atasi Covid",in,0.0,0.0,0
63,2021-07-08 04:51:10 India Standard Time,sutansee,"Luhut Tegas, Mafia Obat Bakal Disikat Nggak Dikasih Ampun  https://t.co/lfap298kpK  PPKM Atasi Covid",in,0.0,0.0,0
64,2021-07-08 04:51:04 India Standard Time,sutansee,"Polri Sebut Dugaan Penyelewengan Dana Otsus Papua Rp1,8 Triliun  https://t.co/QGuUjQOMlX  PPKM Atasi Covid",in,0.0,0.0,0
65,2021-07-08 04:50:37 India Standard Time,sutansee,Komisi I Dukung TNI-Polri Tambah Pasukan Berantas KKB di Papua  https://t.co/l72e7CTCw2   PPKM Atasi Covid,in,0.0,1.0,0
66,2021-07-08 04:50:26 India Standard Time,sutansee,Pakar Hukum Nilai Pergantian Sekda Papua Tindakan Maladministrasi  https://t.co/v27ZYOeZGN  PPKM Atasi Covid,in,0.0,0.0,0
67,2021-07-08 04:50:21 India Standard Time,sutansee,KST Pelanggar HAM Pemicu Kerusuhan di Papua  https://t.co/b8foJtcMcg  PPKM Atasi Covid,in,0.0,0.0,0
68,2021-07-08 04:50:15 India Standard Time,sutansee,"Jelang 100 Hari, Tokoh Masyarakat Dukung dan Sambut PON XX Papua  https://t.co/PYAnNGERj5  PPKM Atasi Covid",in,0.0,0.0,0
69,2021-07-09 05:27:13 India Standard Time,pvenuma,@sureshpprabhu @JM_Scindia Sir I really doesn't understand why is the BJP not utilising the services of experts like suresh prabhu... In this hr of crisis people who r meteculous sincere n hardworking are required to lead from the front n take is all from the looming economic n health crisis due to covid.,en,0.0,0.0,0
70,2021-07-09 05:23:22 India Standard Time,subashmanisingh,"Listening to ""Are we surely heading for  Third  wave Of COVID? Whats needs to be done to Prevent Third wave"" by Dr. Pratim Sengupta.   https://t.co/tY05x6Qnar",en,0.0,0.0,0
71,2021-07-09 05:22:58 India Standard Time,film0983799924,สอนนวด 1 ชั่วโมง 250 บาทก็เหมือนกับนวดฟรีเพราะว่าไปนวดที่ร้านคุณลูกค้าก็ 250 หรือว่า 300 อยู่ดีแต่มานวดกับผมได้ประสบการณ์และได้วิธี นวดหลายรูปแบบ ไม่มีกั๊กวิชาครับ รับถังผู้ชายผู้หญิงเกย์สาวสองสำหรับคนที่สนใจเรียนนวดครับยินดีให้บริการครับช่วง covid ลองหาวิชา,th,0.0,3.0,9
72,2021-07-09 05:22:55 India Standard Time,sutansee,Pengamat Dorong TWK Seperti di KPK Dilakukan Merata di Seluruh Instansi  https://t.co/eR64RMRxVW  PPKM Basmi Covid,in,0.0,0.0,0
73,2021-07-09 05:22:47 India Standard Time,sutansee,"Soal TWK Pegawai, Komisioner KPK Dinilai Sudah Jalankan Aturan Sesuai UU  https://t.co/ByfAP7UQtU   PPKM Basmi Covid",in,0.0,0.0,0
