,Unnamed: 0,tweet,language,hastags,attherate,urls,tokenized_Tweet,filteredToken,clean_tweet,emojis
0,0,@anileshmahajan @tsrawatbjp @TIRATHSRAWAT @BJP4India It is showing complete mess in power hierarchy of BJP which is seemingly rattled by inappropriate handling of covid 2nd wave .,en,[],"['@anileshmahajan', '@tsrawatbjp', '@TIRATHSRAWAT', '@BJP4India']",[],"['anileshmahajan', 'tsrawatbjp', 'TIRATHSRAWAT', 'BJP4India', 'It', 'is', 'showing', 'complete', 'mess', 'in', 'power', 'hierarchy', 'of', 'BJP', 'which', 'is', 'seemingly', 'rattled', 'by', 'inappropriate', 'handling', 'of', 'covid', '2nd', 'wave']","['anileshmahajan', 'BJP', 'rattled', 'inappropriate', 'complete', 'tsrawatbjp', 'handling', 'wave', 'It', 'showing', 'seemingly', '2nd', 'BJP4India', 'TIRATHSRAWAT', 'covid', 'power', 'hierarchy', 'mess']",14 COVID admissions so far ,[]
1,1,Uggah: Sarawak still free of Covid-19 Delta variant    https://t.co/BtjONCXGgI,en,[],[],['https://t.co/BtjONCXGgI'],"['Uggah', 'Sarawak', 'still', 'free', 'of', 'Covid-19', 'Delta', 'variant', 'https', 't.co/BtjONCXGgI']","['https', 'Sarawak', 'Covid-19', 'still', 'free', 'variant', 'Delta', 't.co/BtjONCXGgI', 'Uggah']",Uggah: Sarawak still free of Covid19 Delta variant ,[]
2,2,@RomainSandro Following Covid 19 guidelines.,en,[],['@RomainSandro'],[],"['RomainSandro', 'Following', 'Covid', '19', 'guidelines']","['Following', 'Covid', '19', 'RomainSandro', 'guidelines']", Following Covid 19 guidelines,[]
3,3,"My parents, senior citizens and vaccinated are on the way to Port Blair from Delhi Airport to meet my brother who is in critical cond in GB Pant Hospital, Port Blair, are being denied to take the flight due to absence of Covid report. Please help @PMOIndia @AiFlywith @airindiain",en,[],"['@PMOIndia', '@AiFlywith', '@airindiain']",[],"['My', 'parents', 'senior', 'citizens', 'and', 'vaccinated', 'are', 'on', 'the', 'way', 'to', 'Port', 'Blair', 'from', 'Delhi', 'Airport', 'to', 'meet', 'my', 'brother', 'who', 'is', 'in', 'critical', 'cond', 'in', 'GB', 'Pant', 'Hospital', 'Port', 'Blair', 'are', 'being', 'denied', 'to', 'take', 'the', 'flight', 'due', 'to', 'absence', 'of', 'Covid', 'report', 'Please', 'help', 'PMOIndia', 'AiFlywith', 'airindiain']","['PMOIndia', 'Blair', 'brother', 'parents', 'way', 'flight', 'Airport', 'senior', 'denied', 'Please', 'take', 'help', 'report', 'Hospital', 'Port', 'Pant', 'citizens', 'GB', 'Delhi', 'critical', 'Covid', 'meet', 'absence', 'vaccinated', 'due', 'My', 'cond', 'airindiain', 'AiFlywith']",My parents senior citizens and vaccinated are on the way to Port Blair from Delhi Airport to meet my brother who is in critical cond in GB Pant Hospital Port Blair are being denied to take the flight due to absence of Covid report Please help ,[]
4,4,"Fast-spreading Delta Variant, Vaccination Rates, Reintroduction of Indoor Masks: COVID-19 Global Weekly Highlights  https://t.co/Aia0dGOybP via @medscape",en,[],['@medscape'],['https://t.co/Aia0dGOybP'],"['Fast-spreading', 'Delta', 'Variant', 'Vaccination', 'Rates', 'Reintroduction', 'of', 'Indoor', 'Masks', 'COVID-19', 'Global', 'Weekly', 'Highlights', 'https', 't.co/Aia0dGOybP', 'via', 'medscape']","['https', 'Variant', 'Weekly', 'Vaccination', 'Fast-spreading', 'via', 'Global', 'Delta', 'Masks', 'Indoor', 'Rates', 'Highlights', 'medscape', 'COVID-19', 'Reintroduction', 't.co/Aia0dGOybP']",Fastspreading Delta Variant Vaccination Rates Reintroduction of Indoor Masks: COVID19 Global Weekly Highlights  via ,[]
5,5,"COVID Vaccines: Mixing different vaccines for first and second dose have better results than both doses of the same vaccine, study finds.  https://t.co/P0emPoWTxP",en,[],[],['https://t.co/P0emPoWTxP'],"['COVID', 'Vaccines', 'Mixing', 'different', 'vaccines', 'for', 'first', 'and', 'second', 'dose', 'have', 'better', 'results', 'than', 'both', 'doses', 'of', 'the', 'same', 'vaccine', 'study', 'finds', 'https', 't.co/P0emPoWTxP']","['https', 'second', 'doses', 'vaccines', 'study', 't.co/P0emPoWTxP', 'dose', 'results', 'first', 'finds', 'different', 'COVID', 'Mixing', 'better', 'vaccine', 'Vaccines']",COVID Vaccines: Mixing different vaccines for first and second dose have better results than both doses of the same vaccine study finds ,[]
6,6,"楊培安 我相信 歌詞  https://t.co/OOqNduyg9Z via @YouTube  World Buddies!  Believe in our respective ALLAH / God / Belief.  The GREATEST definitely would stop the Pandemic of COVID-19 and also its variants Delta,once Believe on HIM and do Goodnesses Always,both CREATIONS n NATURE.  https://t.co/BVZJgO2eZC",en,[],['@YouTube'],"['https://t.co/OOqNduyg9Z', 'https://t.co/BVZJgO2eZC']","['楊培安', '我相信', '歌詞', 'https', 't.co/OOqNduyg9Z', 'via', 'YouTube', 'World', 'Buddies', 'Believe', 'in', 'our', 'respective', 'ALLAH', 'God', 'Belief', 'The', 'GREATEST', 'definitely', 'would', 'stop', 'the', 'Pandemic', 'of', 'COVID-19', 'and', 'also', 'its', 'variants', 'Delta', 'once', 'Believe', 'on', 'HIM', 'and', 'do', 'Goodnesses', 'Always', 'both', 'CREATIONS', 'n', 'NATURE', 'https', 't.co/BVZJgO2eZC']","['Always', 'CREATIONS', 'ALLAH', 'YouTube', 'n', 'Buddies', 'HIM', 'Belief', 'via', 'stop', 't.co/BVZJgO2eZC', 'Goodnesses', 'NATURE', 'GREATEST', '歌詞', 'variants', 'would', '我相信', 'COVID-19', 'also', 'respective', 'Pandemic', 'https', '楊培安', 'World', 't.co/OOqNduyg9Z', 'The', 'definitely', 'Delta', 'Believe', 'God']",楊培安 我相信 歌詞  via World Buddies Believe in our respective ALLAH / God / Belief The GREATEST definitely would stop the Pandemic of COVID19 and also its variants Deltaonce Believe on HIM and do Goodnesses Alwaysboth CREATIONS n NATURE ,[]
7,7,14 COVID admissions so far 💔,en,[],[],[],"['14', 'COVID', 'admissions', 'so', 'far', '💔']","['admissions', '14', 'far', '💔', 'COVID']",14 COVID admissions so far ,['💔']
8,8,#VACCINATIONRACE  STATE/UT-WISE - VACCINATION RACE  One in every four Indians is vaccinated with at least one dose of COVID-19 vaccine as on 04 July 2021.  CC: @MoHFW_INDIA @narendramodi @ICMRDELHI @PMOIndia @WHO @adarpoonawalla @DrKrishnaElla @SuchitraElla  https://t.co/H6N87O84le,en,['#VACCINATIONRACE'],"['@MoHFW_INDIA', '@narendramodi', '@ICMRDELHI', '@PMOIndia', '@WHO', '@adarpoonawalla', '@DrKrishnaElla', '@SuchitraElla']",['https://t.co/H6N87O84le'],"['VACCINATIONRACE', 'STATE/UT-WISE', 'VACCINATION', 'RACE', 'One', 'in', 'every', 'four', 'Indians', 'is', 'vaccinated', 'with', 'at', 'least', 'one', 'dose', 'of', 'COVID-19', 'vaccine', 'as', 'on', '04', 'July', '2021', 'CC', 'MoHFW_INDIA', 'narendramodi', 'ICMRDELHI', 'PMOIndia', 'WHO', 'adarpoonawalla', 'DrKrishnaElla', 'SuchitraElla', 'https', 't.co/H6N87O84le']","['PMOIndia', 'VACCINATION', '04', 'CC', 'four', 'ICMRDELHI', 'DrKrishnaElla', 'WHO', 'one', 'Indians', 'least', 'adarpoonawalla', '2021', 'STATE/UT-WISE', 't.co/H6N87O84le', 'dose', 'July', 'VACCINATIONRACE', 'COVID-19', 'RACE', 'vaccinated', 'https', 'MoHFW_INDIA', 'every', 'SuchitraElla', 'narendramodi', 'One', 'vaccine']", STATE/UTWISE  VACCINATION RACE One in every four Indians is vaccinated with at least one dose of COVID19 vaccine as on 04 July 2021 CC: ,[]
9,9,Fears over the ‘Lambda’ Covid variant that’s hit UK as ‘unusual’ mutations can ‘dodge vaccines’  https://t.co/yTOFK4JNh5,en,[],[],['https://t.co/yTOFK4JNh5'],"['Fears', 'over', 'the', '‘', 'Lambda', '’', 'Covid', 'variant', 'that', '’', 's', 'hit', 'UK', 'as', '‘', 'unusual', '’', 'mutations', 'can', '‘', 'dodge', 'vaccines', '’', 'https', 't.co/yTOFK4JNh5']","['dodge', 'https', 'vaccines', 'hit', '‘', 'Fears', 'variant', 't.co/yTOFK4JNh5', '’', 'Lambda', 'Covid', 'mutations', 'unusual', 'UK']",Fears over the ‘Lambda’ Covid variant that’s hit UK as ‘unusual’ mutations can ‘dodge vaccines’ ,[]
