Username,Userhandle,Time,comments,retweets,likes,Tweet
Supratim Chakraborty,@SupratimChakr,2021-07-04T06:54:20.000Z,11,61,66,"After so many Jumlas and acute mismanagement of Covid-19 situation, this was bound to happen 

#BJPLootingIndia #bjpliesindiacries #ModiMadeDisaster #ModiBabuPetrolBekabu #BJPFailedIndia #ResignModi"
Techno Crushur,@TCrushur,2021-07-04T02:38:29.000Z,,,2,Safety is most important during covid-19
MD ZAHIR,@MDZAHIR72889357,2021-07-10T23:29:50.000Z,,,,Covid 19 warriors
Prasanna Bachhar,@PrasannaBachha4,2021-07-01T03:59:00.000Z,,,,Happy Doctor Day All Doctor Fighting With The Covid 19 Virus.
Raj Saha ,@rajsahaofficial,2021-07-28T13:13:49.000Z,,,,"Kolkata get's it's normal life slowly 
#kolkata #citylife #covid_19 #usemask #getfit #getoutside #lifestyle #vacation #kolkatadiaries"
Dr. Shipra Kumari PT,@Drshipraphysio,2021-07-16T23:08:03.000Z,,,3,"Were you infected from Covid 19?
Share your post covid complications with our specialist

Physiotherapy has greater role to play in bouncing you back in life post covid.
Call Now
8777694040
#covid #COVID19 #postcovid19 #complications #jointpain #backpain #neckpain #spondylitis"
Global Skoda,@globalskoda,2021-07-02T07:35:55.000Z,,,,"Your safety is our priority. We have ensured that our dealership facilities, assure safety, health and utmost peace of mind every time you pay us a visit.

#COVID_19 #StaySafe
#globalskoda #skoda #globalskodakolkata"
bnb@Kolkata,@bnbmumbai1,2021-07-22T04:04:14.000Z,,,1,Why Chinese are shy of investigation on origin of Covid-19?
Subhendu Mondal,@subhendu_2016,2021-07-01T15:44:06.000Z,1,,,Our  Baranagar Municipality Administrator Mrs. Aparna Moulick goes from house to house talking to the common people who have won the covid 19 war. Inquired about people's health after post covid situation . She always works in the interest of the people.
Megha Kejriwal,@Megha_journo,2021-07-14T16:17:54.000Z,,,1,"#BreakingNews| To contain the spread of #COVID-19, Darjeeling and Jalpaiguri District Administration issues tourist protocols.
 
#WestBengal"
"Sreerupa Mitra Chaudhury Nirbhoy Didi, Legislator",@sreerupa_mitra,2021-07-07T17:48:14.000Z,,2,13,"Hon'ble 
@mansukhmandviya
 ji, on behalf of people of my constituency, I extend heartiest congratulations to you for a fantastic elevation of responsibilities. Under your vibrant leadership, I assume, our health sector will get tremendous boost and succeed in combating #Covid_19"
Cricket Ki Kahani,@CricketKK_,2021-07-15T09:07:52.000Z,,1,7,"● A BCCI source has confirmed that India’s wicketkeeper-batsman Rishabh Pant has tested positive for COVID-19 and is in home isolation for the past eight days. 

#CricketWithCKK | #RishabhPant"
Vinay Kumar Dokania,@VinayDokania,2021-07-19T14:59:42.000Z,,,,"Replying to 
@RahulGandhi"
@Ramen Chowdhury ,@RamenChowdhur11,2021-07-19T08:25:51.000Z,,1,,"Over 40 crore people have become Baahubali in the fight against Covid-19 by taking the vaccine: 
@PM"
ANGOM RAMCHANDRA SINGH,@AngomRamchandra,2021-07-06T14:31:37.000Z,,,1,"I took the Second Jab of Covishield today (6th July, 2021).

Let's pray & hope that Covid 19 Virus will be eradicated from this World in the near future."
ramen aditya,@AdityaRamen,2021-07-25T06:18:25.000Z,,,,"Virus of 2020--Covid 19, a threat to the lives of million people across the world.
Invented by Wuhan,China.
Virus of 2021-- Pegasus Spyware, a threat to the fundamental rights of a large number of people across the world and mostly for Indians.
Invented by NSO group, Israel."
ramen aditya,@AdityaRamen,2021-07-24T03:18:43.000Z,,,,"Bharat Biotech on Friday said it terminated the MOU entered with Precisa Medicamentos & Envixia Pharmaceuticals LL.C for its COVID-19 vaccine Covaxin for the Brazilian market.
The supply of vaccine landed in controversy and attracted investigation by authorities in that country."
ramen aditya,@AdityaRamen,2021-07-18T14:42:04.000Z,,,,"Indian Medical Association asked Kerala govt to withdraw its decision to ease COVID-19 restrictions ahead of Bakri-Eid, terming it ""unwarranted and inappropriate"" at a time of a medical emergency.
It would knock the doors of the Supreme Court if Kerala govt denies to withdraw."
Cricket Ki Kahani,@CricketKK_,2021-07-10T12:17:48.000Z,,,2,"The Sri Lanka  India series has been officially postponed due to positive COVID-19 cases in the Sri Lankan camp .

Here’s the revised schedule 

#CricketWithCKK | #SLvIND"
Ujjwal Roy,@ujjwalroy06,2021-07-24T14:50:46.000Z,1,,4,"Today Got My first jab of Russia's Sputnik V COVID-19 vaccine at Woodlands Hospital Kolkata !  

@DrRupaliBasu

#Sputnik 
#woodlandshospitalkolkata"
Turfa,@Turfa23272667,2021-07-14T16:53:13.000Z,,,,"Taken at around 10 PM this evening. This comes under the jurisdiction of Rabindranagar Police station, Maheshtala Municipality. So much for social distancing during #Covid_19, right? Go Corona Go. Literally. #Coronaindia

@MamataOfficial
 
@kmc_kolkata
 
@KolkataPolice
 
@CMOfficeWB"
Debapriya Ghosh Goswami,@RUDRAKSHADS,2021-07-01T08:29:17.000Z,1,,1,"Done with both the doses of Covid 19 vaccine.

Those who haven't got their vaccines yet please get it for yourself, your loved ones and the world...

#Vaccinated"
Megha Kejriwal,@Megha_journo,2021-07-17T16:17:13.000Z,,,,"#GoodNews| Kolkata reports zero COVID-19 deaths in last 24-hour period for the first time since March 2021 on Saturday. 
#Kolkata #westbengal"
अशोक पासवान,@AshokPa72976701,2021-07-04T04:05:17.000Z,,,,"Replying to 
@_SureshOm"
Shamik Bhattacharyya,@ShamikB15515296,2021-07-25T14:26:30.000Z,,,,What the nose tells of COVID-19 prognosis: https://thehindu.com/sci-tech/health/what-the-nose-tells-of-covid-19-prognosis/article35515602.ece…
The Era,@TheEraVlog,2021-07-25T08:53:54.000Z,,,,"India reports 39,742 new COVID-19 cases in last 24 hours -govt"
Amit Mukherjee,@AmitMukherji15,2021-07-29T15:44:48.000Z,,1,2,"Eventually the 
@BJP4India
 union government and their news channels brought out the Islamization of the #Covid_19 ! They were silent at the Kumbh Mela! Targeting #KeralaGovt ? Thank you 
@IndiaToday
 
@CMOKerala
 
@sbjayesh"
Dr.Suman K Prusty,@sumankumarprust,2021-07-19T12:22:19.000Z,,,,"WASHINGTON, July 18 -2021  - U.S. Surgeon General Vivek Murthy stood by federal guidance that those fully vaccinated against COVID-19 no longer needed to wear masks, while blaming social media companies for fueling vaccine misinformation.

 #healthcare #covid #health"
Rajesh Saha,@RajeshS32370756,2021-07-02T02:25:31.000Z,1,1,1,3 te sit thake 38% koto boro achievement jano ??? R covid-19 jonnow 41% lok vote dayniee dilee 50% par hoto ..
Asim Maiti,@AsimMaiti15,2021-07-09T07:56:17.000Z,,,,pm Modi congratulations for taking initiatives in RAPID  vaccination against COVID 19 for RAPID Vaccnation for the helpless people of the Nation in stake and protecting the Nation from the catastrophic explains of NOVEL CORONA  VIRUS. Dr Asim Maiti from Kolkata .No LOCKDOWN pl.
Amitava Das,@iamamitavabhi,2021-07-22T00:45:36.000Z,1,,,"Hi 
@UberINSupport
 
@Uber_India
 i use 10M21V promo code for COVID-19 Vaccination but did work the promo code and i have been changed of Rs 96.63 for Trip I have attached screenshot for your reference also i am contact via uber app in help section but still no response your team"
Vishal,@vishalpatwaria,2021-07-03T04:57:41.000Z,,,,"Is that being a middle class person with a pvt. Job is a crime?
Y we are not allowed to make a pass on railwy to reach the office with ease ?
Is that our work is nt contributing in India's growth  in this difficlt Covid-19 situation ?
#piyushgoyal #railway #COVID19India #COVID19"
Nayan Basu,@NayanBasuu,2021-07-18T06:07:25.000Z,,,4,Zero deaths due to COVID-19 in Kolkata in the last 24 hours — hope this becomes the 'new normal' in the days to come. 
The Era,@TheEraVlog,2021-07-26T06:05:05.000Z,,,,"""COVID-19 in India"" #coronavirus"
Rajesh Saha,@RajeshS32370756,2021-07-07T10:29:16.000Z,,,,FROM 3 SIT'S TO 77 SIT'S ACHIEVEMENT IS 1500% ABOVE && 41% PEOPLE'S COULDN'T GAVE VOTE'S FOR COVID-19 OTHERWISE #BJP 50% PAAAR .
Tirthadeep K,@TirthadeepK,2021-07-13T08:41:59.000Z,,,,"Job openings for permanent staffers to be adversely affected due to 2nd wave of COVID-19: Survey - ET https://m.economictimes.com/jobs/job-openings-for-permanent-staffers-to-be-adversely-affected-due-to-2nd-wave-of-covid-19-survey/articleshow/84171272.cms?utm_source=twitter_pwa&utm_medium=social&utm_campaign=socialsharebuttons… via 
@economictimes"
Dr.Suman K Prusty,@sumankumarprust,2021-07-30T05:54:38.000Z,,,1,"Israel authorized the use of a booster shot of Pfizer’s Covid-19 vaccine for people aged 60 and over, after early data in the country suggested vaccine protection against severe illness has waned."
ishtiyaque ahmed,@ishtiapil,2021-07-12T19:48:06.000Z,,,1,"West Bengal reports 885 COVID-19 cases, 11 fatalities. Infection tally rises to 15,13,014, death toll 17,927. The state now has 14,531 active cases of the disease."
Susanta Das,@Susanta52294337,2021-07-01T02:50:02.000Z,,,,"Replying to 
@rashtrapatibhvn"
Susanta Das,@Susanta52294337,2021-07-01T02:49:56.000Z,,,,"Replying to 
@rashtrapatibhvn"
ANIL  LALWANI,@AnilLalwani69,2021-07-17T12:15:31.000Z,,,,"Give Rs 1 crore to each Covid 19 died in Delhi , First from Party Funds , Ask your funders to fund your this gesture."
Indranil Majumdar,@majumdarindra,2021-07-14T05:53:51.000Z,,,,Some valid points raised as to the origin of Covid-19.
