,Unnamed: 0,created_at,username,tweet,language,replies_count,retweets_count,likes_count
0,0,2021-06-03 03:35:55 India Standard Time,albosaily1958,Did anyone notice a change in their psychological and physical condition after he took the coronavirus vaccine?,en,0.0,0.0,1
2,2,2021-06-03 01:38:30 India Standard Time,stickwithchick,"Say goodbye to the “Indian,” “South African” and ""British"" Coronavirus variants.  According to the World Health Organization, they’re the Delta, Beta and Alpha variants now.   https://t.co/nkQo4IdGqO",en,0.0,0.0,1
3,3,2021-06-03 00:59:28 India Standard Time,ssforgdel,"Dear all, Keep Donate Keep Retweet   https://t.co/TRRT59Sd8K  #milaap #verified #campaign #COVID19 #coronavirus #hunger #food #help #COVIDEmergencyIndia #Covid19IndiaHelp #HelpingHand #BlackFungus",en,0.0,2.0,1
4,4,2021-06-03 00:54:37 India Standard Time,msknowledgehub1,#jobseekers #jobvsmlm #MLM #directselling #networking #networkmarketing #rojgar #ModiHaiTohMumkinHai #coronavirus #COVID19 #AffiliateMarketing #entrepreneur  #leadership #lockdown  Which is best for your future and Dreams? Job - Rt 🐦           Direct Selling- Like ❤️  https://t.co/fcj7letDwE,en,0.0,0.0,2
5,5,2021-06-03 00:38:41 India Standard Time,usmanitoheed,@UsmaniToheed  This is the same mosque which used to be full of worshipers and visitors  Pray that the corona virus ends from the roots  Allah masjid khol dai inshallah❤️ ये वही मस्जिद है जो कभी इबादत करने वालों और सैलानियों से भरी रहती थी #jamamasjid  #India  #DelhiFightsCorona  https://t.co/KHGP0eLUT0,en,0.0,0.0,1
8,8,2021-06-02 23:28:26 India Standard Time,kiteprojectdot,Glimpses of 2nd Day of Training session on #COVID SOPs for #KPTourism sector and other safety steps against coronavirus to ensure SAFE TOURISM at Millennium Naran (Mansehra) arranged by @KITEProjectDoT. (01.06.21)  #KITEDoT #KITE #ResponsibleTourism  @dostacykp @kafzal01  https://t.co/ERPBPwglA4,en,0.0,8.0,13
10,10,2021-06-02 22:31:04 India Standard Time,sipgrab,"Coronavirus Update: New COVID-19 cases, deaths and hospitalizations keep falling, as vaccinations keep increasing  https://t.co/zeYu9uF9e1 #Nifty #Sipgrab #UnitingPeopleWithThePossibilities",en,0.0,0.0,0
12,12,2021-06-02 22:18:51 India Standard Time,jitmack,Such a very bad situation many people dead 💀 continuously by #coronavirus and who are alive they feel fear from it. Ehe. I check corona reports I completely worrying about humanity and world #badnews #coronavirus @htTweets,en,0.0,0.0,0
13,13,2021-06-02 22:08:06 India Standard Time,raabiasaleem,How’s the coronavirus situation in pakistan? Have the daily cases gone down?,en,1.0,0.0,0
14,14,2021-06-02 21:47:33 India Standard Time,kanpururban,"What you want, is not always what you need.  You want to go to the newly opened @StarbucksIndia for a nice, sophisticated coffee  BUT  You need to sip hot water at home. Stay Strong, Stay Safe, Kanpur. #coronavirus #COVID19India #StayStrongIndia #kanpurFightsCorona",en,0.0,0.0,0
16,16,2021-06-02 21:39:40 India Standard Time,deepakgautam007,@TIME Magzine best part to spread news as China not behind for corona virus .   Pathetic magzine,en,0.0,0.0,0
18,18,2021-06-02 21:21:44 India Standard Time,vietnewsgateway,China’s Guangdong tightens #coronavirus measures as cases persist  https://t.co/fq2ZTOcryG,en,0.0,2.0,4
19,19,2021-06-02 21:16:18 India Standard Time,bardoliguide,Today's Corona News Statistics of Surat and Bardoli ..  #bardoli #bardolinagar #surat #suratcity #covid_19 #sardarnagribardoli #CoronaVirus #COVID19 #stayhomestaysafe #coronaupdates #coronapositive #bardoliguide  https://t.co/ZIQ3lWcMx4,en,0.0,0.0,2
20,20,2021-06-02 21:14:55 India Standard Time,sdtalks_,I think Coronavirus is the best example of Secularism! 😂 Do you agree?,en,1.0,0.0,2
21,21,2021-06-02 20:31:31 India Standard Time,bhaveshkumar44,Israel health officials say they have found a probable link between Pfizer and BioNTech's coronavirus vaccine and dozens of cases of heart inflammation in young men after the second dose  https://t.co/VkjwFsR0bg,en,0.0,0.0,0
22,22,2021-06-02 20:18:47 India Standard Time,srilankatweet,Today #SriLanka recorded total 3306 new coronavirus cases. Stay Safe and continue follow health guidelines. #COVID #COVID19LK #LKA #SriLankan #COVID19SL    https://t.co/ZMU7uhSzRx,en,2.0,19.0,52
24,24,2021-06-02 20:13:01 India Standard Time,amukulkrishna,@drapr007 Red Alert on Terrorist china CORONA virus n also on porkistan also😡,en,0.0,0.0,0
25,25,2021-06-02 20:12:31 India Standard Time,dhaliwalsatnam3,Hello everyone @VFSGlobal @CanadainIndia and everyone have a responsibility to safe people from this deadly @coronavirus. So everyone please be patience for some time and soon the @VFSGlobal will be open in @india.,en,0.0,0.0,1
26,26,2021-06-02 19:58:19 India Standard Time,aadityarana,79 tested #COVID19 positive in last 24 hours in Gautam Buddha Nagar. Total figure is 1514 in UP. #CoronaPandemic #CORONAUPDATE #CoronaUpdatesInIndia #coronavirus  https://t.co/mtmnMBVdpo,en,0.0,2.0,2
27,27,2021-06-02 19:58:06 India Standard Time,jnuabhishek,"""Fauci admits Wuhan lab received 'modest' funds from US amid calls for probe into Covid origins"". via @WIONews #WuhanLabLeak #coronavirus  https://t.co/3jbWfQH2uu",en,0.0,2.0,1
28,28,2021-06-02 19:55:55 India Standard Time,yamakinkarudu,"Those woo doesn't want to marry  at all :   if u r I'll,  or met with an accident or suffering from corona virus etc etc.. If there's no one to look after u,  it means HELL.  U must ve someone to take care of u, especially when u r I'll, bedridden n bcme old.  So please marry",en,1.0,0.0,1
29,29,2021-06-02 19:55:48 India Standard Time,inderbanswani,"Flipkart They have no intention of parting  Rs 4044/-, my refund from Spicejet. I am attacked by flipkart financial Coronavirus. Compared to attack by biological Coronavirus, the loss due to flipkart financial Coronavirus is small. Thanks for this small loss.",en,1.0,0.0,0
30,30,2021-06-02 19:42:06 India Standard Time,jaydeepdeka6,Due to corona virus how can we able to do board exams? Please cancel the board exams . Save the students🙏 #CancelAssamBoardExams #CancelStateBoardExams #NoCancellationNoVote #CancelExamsSaveLives  #CancelAllBoardExams  @sajin_aktar  @himantabiswa  @AdvMamtaSharma,en,0.0,1.0,1
31,31,2021-06-02 19:34:23 India Standard Time,ysundaskhan,People asking each other after getting vaccinated 😁   #COVIDVaccination #COVID19 #COVID19Vic #CoronaVaccine #coronavirus  https://t.co/w2532Bzxle,en,1.0,2.0,8
32,32,2021-06-02 19:21:34 India Standard Time,alongimna,"Congratulations @jacob_zhimomi ; A fighter against #coronavirus #Covid19 : looking forward to seeing you &amp; Thank you for the #Motivation ,@JPNadda @BJP4Nagaland @blsanthosh @AjayJamwalNE @MChubaAo @MmhonlumoKikon @NalinSKohli #TogetherWeCan",en,2.0,8.0,56
35,35,2021-06-02 18:44:20 India Standard Time,sipgrab,Coronavirus disaster leaves deep scars on India's economy  https://t.co/m1ii1w3hDF #Nifty #Sipgrab #UnitingPeopleWithThePossibilities,en,0.0,0.0,0
36,36,2021-06-02 18:37:06 India Standard Time,srilankatweet,So far today 2568 coronavirus cases report in Sri Lanka. #LKA #SriLanka #COVID19SL #COVID19LK,en,1.0,6.0,72
38,38,2021-06-02 18:15:06 India Standard Time,vietnewsgateway,"Over 4,000 children stay at #coronavirus quarantine facilities without parents in #Vietnam  https://t.co/rVRMrGtAZ2",en,0.0,3.0,7
40,40,2021-06-06 03:13:24 India Standard Time,3eeb1d83ceb7490,"Yogi government has failed to control corona virus in Uttar Pradesh so Yogi government is covering up failer by ""Destroyed two Mosque and killed two Innocent Muslims"" and torchering to Muslim community so that Hindu will be happy and vote in Uttar Pradesh Elections.",en,0.0,0.0,1
41,41,2021-06-06 02:00:21 India Standard Time,vaibhavgtoi,"@sagarprasadBAMS @MuhsOnline @timesofindia @TOI_Nagpur @RanjitVDeshmukh @mswaofficial @ProshuncTOI @samant_uday @TOIsarfaraz @Student_yd @masu4justice @drishtisharma02 @SunilWarrier1 @SGattewar_NGP @Rahulbhangde @RajThackeray HC has advised all examinees to undergo RTPCR test before appearing in exams. I think, it will substantially reduce the risk of contracting #coronavirus. #muhsonlinexam #muhspostponeexams #muhspromote #COVIDSecondWaveInIndia #muhsonlinexams #CoronaKoHaranaHai @CovidTrackingIn",en,0.0,0.0,1
43,43,2021-06-05 23:51:11 India Standard Time,octavio10500447,"I don't know what to call them,buddies, brothers,or gang but it was too hard to meet them without hugs, i could only shack hands or boxers salut, i wanted to hug but didn't and it was an akward situation for me especially that I #love them 💔 fuck #covid #coronavirus  ask #china  https://t.co/A7UDyo1i9J",en,1.0,0.0,1
44,44,2021-06-05 23:13:31 India Standard Time,jnuabhishek,"Excellent, it will ramp up our fight against #coronavirus",en,0.0,1.0,0
45,45,2021-06-05 23:09:03 India Standard Time,adityaranoliya,444 Days - in the city | Documentary on Mumbai City | The city of dream which never sleep &amp; coronavirus  #adityaranoliya #admakeindia #444days  Watch the link below   https://t.co/nlYR7wvgem  @444DaysInTheCity  https://t.co/XYH3IIEe9O,en,0.0,0.0,1
46,46,2021-06-05 22:44:43 India Standard Time,modigmpservices,"Corona virus is given self defense system by God just like human beings . Mutation is one such defense system given to virus. We must not take such ""micro"" organism as if that now wave is over. God lbows it may be in the process of becoming still deadly. Follow rigidly corona SOP",en,0.0,0.0,0
47,47,2021-06-05 21:32:29 India Standard Time,mayank_bholu,Twitter is concern about user's privacy the  same way China is Concern about Corona Virus spread across the world.  #TwitterBanInIndia,en,0.0,0.0,0
48,48,2021-06-05 21:31:53 India Standard Time,jehlamtimes,"JK reports 1448new positive cases,266576 recovered so far  #JAMMU: The Government on Saturday informed that1448 new positive cases of novel Corona virus (COVID-19),453 from Jammu division and 995 from Kashmir division, have been reported today.  https://t.co/KeGDA3K5eh",en,0.0,1.0,1
49,49,2021-06-05 21:26:20 India Standard Time,station_vu2ikk,@TimesNow @AmbJohnBolton Obvious Revelations OutBreak Coronavirus From Wuhan Lab China🇨🇳Consequences Catastrophe Millions of Fatalities Around DGlobe 🌍Y D World Scientists R Unable ToExplore Antibodies Antigens ofViral  Pathogens RNA ofVirus Whichis Mutating inDifferent Variants Causing Heavy Fatalities,en,0.0,0.0,0
51,51,2021-06-05 20:05:22 India Standard Time,ganpatr70176774,Coronavirus: Staying safe and informed on Twitter  https://t.co/mMOswBXU3w,en,0.0,0.0,0
52,52,2021-06-05 19:40:24 India Standard Time,servoster,A testimonial from Usha garu (Head of operations at Pureprana. Pureprana helped her when she is effected with coronavirus.   Thank you for giving your valuable feedback to us.   #pureprana #covid_19 #pureair #sterilizer #testimonial  https://t.co/9tNPOJMWtB,en,0.0,0.0,0
53,53,2021-06-05 19:38:48 India Standard Time,dksaharan,2nd dose of #Covaxin for full protection against #Covid_19. ✌️  Both vaccines are safe and effective against all variants of #coronavirus. All should get themselves jabbed &amp; keep their family safe against the pandemic. 👍👍  https://t.co/4zRFmze5hI,en,4.0,5.0,33
54,54,2021-06-05 19:27:37 India Standard Time,mulund_info,Mulund Growth    ↔️@ 0.11% Mumbai Average ↔️@ 0.13%  T-Ward Covid Growth rate till 4th June’2021 - 0.11%  #mulund  #COVID19  #coronavirus  #CoronaVirusUpdate #COVID19India #coronavirus #Mumbai  https://t.co/80ckmXDaWR,en,0.0,0.0,1
55,55,2021-06-05 19:08:41 India Standard Time,aadityarana,43 tested #COVID19 positive in last 24 hours in Gautam Buddha Nagar. Total figure is 1092 in UP. Total active cases reduced to 610. Unlock may happen by Monday. #CoronaPandemic #CORONAUPDATE #CoronaUpdatesInIndia #coronavirus  https://t.co/72DnoY0h9J,en,0.0,1.0,4
56,56,2021-06-05 19:07:13 India Standard Time,kupwaratimes,COVID19 Update  &gt;&gt;&gt;    Jammu and Kashmir reports 1448 fresh cases of Coronavirus and 25 deaths in last 24 hours.  https://t.co/GCKdt4b5t9,en,0.0,3.0,7
58,58,2021-06-05 18:26:49 India Standard Time,ayusmitachatte1,Explained By A Doctor: Is It Safe To Get Pregnant During #coronavirus ?   https://t.co/G2USRvEvKF via @shethepeople,en,0.0,0.0,0
59,59,2021-06-05 18:20:23 India Standard Time,srilankatweet,"Total number of Coronavirus patients in Sri Lanka exceeds 200,000 mark as 2280 new cases reported today and the 3rd wave the New Year Avurudu Cluster has also exceeded 100,000 patients.  https://t.co/9ejOPYlvJq #LKA #SriLanka #COVIDSL #COVID19LK #Avurudu",en,0.0,4.0,30
60,60,2021-06-05 18:02:18 India Standard Time,alongimna,Appreciated @Neiphiu_Rio @pangnyu @HealthNagaland an Ambulance to fight against #coronavirus Thank you. #TogetherWeCan #Nagaland will be #Covid free . @MChubaAo @NalinSKohli,en,0.0,3.0,27
61,61,2021-06-05 18:01:11 India Standard Time,nrevanna1,"anti nationals accounts, banning the nationalist accounts, about removing blue tick, &amp; impossible screen shot attached about corona virus wuhan link status banned that organization after they said we will release fauci emails regarding corona virus link with wuhan lab. 2/4",en,1.0,0.0,0
62,62,2021-06-05 17:59:19 India Standard Time,immakwanaa,"If PM modi keep her photo on covid vaccine certificate, so should be keep her photo on death certificate as well.   If you want the benefits from vaccine drive, so take the responsibility for the deaths as well.  @narendramodi #CoronaSecondWave #CoronaVaccination  #coronavirus  https://t.co/RmU7fp2fgE",en,0.0,0.0,0
63,63,2021-06-05 17:58:28 India Standard Time,alongimna,Appreciated @USAID_NISHTHA  #Dr. Pavitra Mohan for magnanimous gesture to fight against #coronavirus #TogetherWeCan win the battle against #covid19 : Thank you @pangnyu for your Assertiveness. @HealthNagaland @narendramodi @YanthungoPatton @jacob_zhimomi @MChubaAo @MmhonlumoKikon,en,0.0,0.0,23
64,64,2021-06-05 17:54:16 India Standard Time,direct_dil_se_,"@cospin9 @palkisu Exactly.  You yourself Cleared the doubt.  The virus which infected many Americans in July 2019 was of ""Vaping Flu"", which is similar to the CORONA virus but ""not"" #coronavirus.  Does it not mean that the corona ""originated"" in the #WuhanLab. 🙏",en,0.0,0.0,0
65,65,2021-06-05 17:45:06 India Standard Time,averma1393,"The Corona virus vaccine will help to protect you,your family and communities from the disease.... please Get yourself vaccinated as per our turn...  https://t.co/AX11nvLG6N",en,0.0,0.0,0
66,66,2021-06-05 17:44:25 India Standard Time,wejointogether_,"To protect children's #health , #nutrition , #education , #development , #survival , and #future #potential , we need to take bold #climateaction NOW.  #WorldEnvironmentDay #EnvironmentDay #COVID19 #coronavirus  https://t.co/8AXKSHtz6e",en,1.0,1.0,7
70,70,2021-06-05 16:00:50 India Standard Time,vjakhu,@timesofindia You mean COVID “Vaccine” Jab right! Unless someone is injecting another with a coronavirus!  https://t.co/PAA3iIeNk6,en,0.0,0.0,0
71,71,2021-06-05 15:40:37 India Standard Time,raja50301097,UNLESS CORONAVIRUS ATTACK THE RULERS  I THINK THEY WILL TRY TO EARN AND GIVE ALL KIND OF REPLY TO ANYONE AND MAKE US A FOOL SOME BJP MEMBERS ARE TOTALLY TO BE BLAMED,en,0.0,0.0,0
72,72,2021-06-05 15:36:43 India Standard Time,raja50301097,KINDLY NOTE IAM FROM  CHENNAI I CAN SEE PEOPLE  NOT FOLLOW THE RULES OF CORONAVIRUS  NOW ONLY  POLICE GIVEN FULL POWER,en,1.0,0.0,0
73,73,2021-06-05 15:36:15 India Standard Time,bbmpchdteam,Accolades for the CHD Team @mygovindia @narendramodi @BSYBJP @karnataka_team @BbmpZone @rrnagarbbmp @BBMPSouthZone @BBMPCOMM @BbmpEast @BBMPMahadevpura @bheem_rajesh @GirishMattenna2   #covid_19 #covid #covidsupport #frontlineworkers #chd #citizenhelpdesk #coronavirus  https://t.co/JIiX0EURqp,en,0.0,2.0,1
74,74,2021-06-05 15:36:05 India Standard Time,bbmpchdteam,Accolades for the CHD Team @mygovindia @narendramodi @BSYBJP @karnataka_team @BbmpZone @rrnagarbbmp @BBMPSouthZone @BBMPCOMM @BbmpEast @BBMPMahadevpura @bheem_rajesh @GirishMattenna2   #covid_19 #covid #covidsupport #frontlineworkers #chd #citizenhelpdesk #coronavirus  https://t.co/JHeUhgUUsy,en,0.0,4.0,2
75,75,2021-06-05 15:35:44 India Standard Time,bbmpchdteam,Accolades for the CHD Team @mygovindia @narendramodi @BSYBJP @karnataka_team @BbmpZone @rrnagarbbmp @BBMPSouthZone @BBMPCOMM @BbmpEast @BBMPMahadevpura @bheem_rajesh @GirishMattenna2   #covid_19 #covid #covidsupport #frontlineworkers #chd #citizenhelpdesk #coronavirus  https://t.co/7Q7Tk9RrFD,en,0.0,3.0,3
76,76,2021-06-05 15:35:25 India Standard Time,bbmpchdteam,Accolades for the CHD Team @mygovindia @narendramodi @BSYBJP @karnataka_team @BbmpZone @rrnagarbbmp @BBMPSouthZone @BBMPCOMM @BbmpEast @BBMPMahadevpura @bheem_rajesh @GirishMattenna2   #covid_19 #covid #covidsupport #frontlineworkers #chd #citizenhelpdesk #coronavirus  https://t.co/LTSJ9ZHE4v,en,0.0,4.0,4
79,79,2021-06-05 15:13:13 India Standard Time,harishlingala23,"For homeless, food is a bigger worry than corona virus. We  RamCharan Yuvashakthi Srikakulam team donating food and essentials to poor.  DAY 10 - FOOD DONATION  - RAMCHARAN YUVASHAKTHI SRIKAKULAM  https://t.co/VQBeTozVrZ",en,0.0,17.0,28
80,80,2021-06-05 15:04:14 India Standard Time,raja50301097,SIR  KINDLY  HOLD LET'S SEE HOW THE THIRD WAVE CHINA CORONAVIRUS IS  THEN I CAN TELL YOU IF THIRD WAVE IS  VERY BAD  THEN THAT'S THE END OF MODIJI AND INDIA  TWITTER SIR  THESE FARMER RALLY CAN YOU SAY HOW FOR IT THATS  THE  UNDERESTAND OF THE LAW  TWO YEARS  WHO IS PAYING,en,0.0,0.0,0
81,81,2021-06-05 14:54:34 India Standard Time,raja50301097,TWITTER ACCOUNT  SIR  YOU  KNOW THE CITY PEOPLE  BUT PUBLIC IN VILLAGE AREA  WILL BE KILLED BY GOONS THAT'S THE REASON THE GOVERNMENT HAS TO BE LIKE THIS  KINDLY NOTE  NOT ONLY  CHINA CORONAVIRUS  INDIA HAS TO FACE BUT WAR WITH CHINA  SO YOUR COOPERATION AT THIS TIME WILL BE LIKE,en,0.0,0.0,0
82,82,2021-06-05 14:47:39 India Standard Time,manishthakre30,@SandeepPoundrik Well said Sir.Respecting mother earth🌎 &amp; it's conservation 2b top priority for peaceful human existence. Already novel #coronavirus has created a havoc globally &amp; we humans r responsible for unleashing it - by damaging her biodiversity.#WorldEnvironmentDay 🌱🍁🌲🏞️🐬🦚🦒🦓🐼🌻🙏,en,0.0,0.0,0
84,84,2021-06-05 14:26:05 India Standard Time,jamesbond00009,"#India witnesses lowest #COVID19 tally of 1,20,529 new cases with 3,380 death in last 24 hours | LATEST on #Coronavirus:  https://t.co/fNwa16t4lS  Who is responsible for this situation?",en,0.0,0.0,0
85,85,2021-06-05 14:13:00 India Standard Time,raja50301097,IF TWO YEARS  CHINA  CORONAVIRUS  WAS IN INDIA  WAS IN INDIA NOT A SINGLE PERSON SAY CORONAVIRUS  HANDLING OF  MODIJI WAS BAD,en,0.0,0.0,0
86,86,2021-06-05 14:05:07 India Standard Time,raja50301097,OFCOURSE  PUBLIC DID NOT FOLLOW THE RULES OF CHINA CORONAVIRUS THAT  ALSO WAS A BIG  PROBLEM FOR THE  INCREASED CORONAVIRUS IN INDIA NO ONE  FOR FOWLLOWED  THE RULES  BUT CORONAVIRUS ATTACK  GOVERNMENT IS BAD  AS IF GOD HAS NOT GIVEN BRAINS FOR TWO YEARS  AND  THOSE WHO DON'T PM,en,0.0,0.0,0
87,87,2021-06-05 14:01:40 India Standard Time,teamrc_sklm,"For homeless, food is a bigger worry than corona virus. We  RamCharan Yuvashakthi Srikakulam team donating food and essentials to poor. On the name of our idol @AlwaysRamCharan DAY 10 - FOOD DONATION @RcYuvashkthiSkm @RcYuvaShakthi @upasanakonidela @sivacherry9 @KChiruTweets  https://t.co/BYJyqhnVIR",en,1.0,75.0,96
88,88,2021-06-05 13:58:32 India Standard Time,teamrc_sklm,"For homeless, food is a bigger worry than corona virus. We  RamCharan Yuvashakthi Srikakulam team donating food and essentials to poor. On the name of our idol @AlwaysRamCharan DAY 10 - FOOD DONATION @RcYuvashkthiSkm @RcYuvaShakthi @upasanakonidela @sivacherry9 @KChiruTweets  https://t.co/XUTvM1qTDu",en,0.0,78.0,106
89,89,2021-06-05 13:56:46 India Standard Time,raja50301097,IS THE THIRD WAVE  OF CHINA CORONAVIRUS  COMING  ONLY WAY PRODUCE  LOTS OF VACCINE  OTHERWISE WE. MAY NOT HAVE BEDS THIS WAS THE MISTAKE MODIJI DID BY UNDER ESTIMATE THE SECOND CHINA CORONAVIRUS  PLUS  ELECTION IN FIVE STATES IS ANOTHER  BIG  MISTAKE WHICH LED TO THE LOSS OF LIVE,en,0.0,0.0,0
91,91,2021-06-05 13:37:50 India Standard Time,blogg_buzz,Lockdown in Delhi extended with some relaxations👍  #lockdown2021 #Delhi #ArvindKejriwal #coronavirus #digitalpardeepp #teamdigitalpardeepp  https://t.co/aqcGcqucCp,en,0.0,2.0,2
95,95,2021-06-05 13:03:50 India Standard Time,arpitacp,"Due to the outbreak of coronavirus people are being locked indoors, it seems the environment and mother earth have benefitted slightly from that for the absence of human activities amid the coronavirus-induced lockdown, nature is getting time to clean itself and reclaim its space  https://t.co/ATngLPVJRx",en,1.0,3.0,38
96,96,2021-06-05 12:29:20 India Standard Time,ayannaseer3,BRAND new preventions from🤦🤭🤭🤭 #coronavirus  #Memes #memes2021 #tweeter #ViralTalk  https://t.co/RkV2C4oQBG,en,0.0,0.0,0
97,97,2021-06-05 12:20:11 India Standard Time,fra_kaz,"#Covid19 is now recognised as an airborne disease that can be transmitted via respiratory fluids. With people being indoors most of the time, ventilation and the indoor #airquality are thus essential to ensure good health &amp; reduce transmission of #coronavirus   #PollutionPandemic",en,2.0,2.0,3
99,99,2021-06-08 05:05:34 India Standard Time,bharathadepu2,Censorship! #research #realresearch #covid #coronavirus,en,0.0,0.0,0
