,Unnamed: 0,tweet,language,hastags,attherate,urls,tokenized_Tweet,filteredToken,clean_tweet,emojis
0,0,Did anyone notice a change in their psychological and physical condition after he took the coronavirus vaccine?,en,[],[],[],"['Did', 'anyone', 'notice', 'a', 'change', 'in', 'their', 'psychological', 'and', 'physical', 'condition', 'after', 'he', 'took', 'the', 'coronavirus', 'vaccine']","['Did', 'change', 'notice', 'coronavirus', 'condition', 'took', 'vaccine', 'physical', 'psychological', 'anyone']",Did anyone notice a change in their psychological and physical condition after he took the coronavirus vaccine,[]
1,1,"Say goodbye to the “Indian,” “South African” and ""British"" Coronavirus variants.  According to the World Health Organization, they’re the Delta, Beta and Alpha variants now.   https://t.co/nkQo4IdGqO",en,[],[],['https://t.co/nkQo4IdGqO'],"['Say', 'goodbye', 'to', 'the', '“', 'Indian', '”', '“', 'South', 'African', '”', 'and', 'British', 'Coronavirus', 'variants', 'According', 'to', 'the', 'World', 'Health', 'Organization', 'they', '’', 're', 'the', 'Delta', 'Beta', 'and', 'Alpha', 'variants', 'now', 'https', 't.co/nkQo4IdGqO']",,Say goodbye to the “Indian” “South African” and British Coronavirus variants According to the World Health Organization they’re the Delta Beta and Alpha variants now ,[]
2,2,"Dear all, Keep Donate Keep Retweet   https://t.co/TRRT59Sd8K  #milaap #verified #campaign #COVID19 #coronavirus #hunger #food #help #COVIDEmergencyIndia #Covid19IndiaHelp #HelpingHand #BlackFungus",en,"['#milaap', '#verified', '#campaign', '#COVID19', '#coronavirus', '#hunger', '#food', '#help', '#COVIDEmergencyIndia', '#Covid19IndiaHelp', '#HelpingHand', '#BlackFungus']",[],['https://t.co/TRRT59Sd8K'],"['Dear', 'all', 'Keep', 'Donate', 'Keep', 'Retweet', 'https', 't.co/TRRT59Sd8K', 'milaap', 'verified', 'campaign', 'COVID19', 'coronavirus', 'hunger', 'food', 'help', 'COVIDEmergencyIndia', 'Covid19IndiaHelp', 'HelpingHand', 'BlackFungus']",,Dear all Keep Donate Keep Retweet  ,[]
3,3,#jobseekers #jobvsmlm #MLM #directselling #networking #networkmarketing #rojgar #ModiHaiTohMumkinHai #coronavirus #COVID19 #AffiliateMarketing #entrepreneur  #leadership #lockdown  Which is best for your future and Dreams? Job - Rt 🐦           Direct Selling- Like ❤️  https://t.co/fcj7letDwE,en,"['#jobseekers', '#jobvsmlm', '#MLM', '#directselling', '#networking', '#networkmarketing', '#rojgar', '#ModiHaiTohMumkinHai', '#coronavirus', '#COVID19', '#AffiliateMarketing', '#entrepreneur', '#leadership', '#lockdown']",[],['https://t.co/fcj7letDwE'],"['jobseekers', 'jobvsmlm', 'MLM', 'directselling', 'networking', 'networkmarketing', 'rojgar', 'ModiHaiTohMumkinHai', 'coronavirus', 'COVID19', 'AffiliateMarketing', 'entrepreneur', 'leadership', 'lockdown', 'Which', 'is', 'best', 'for', 'your', 'future', 'and', 'Dreams', 'Job', 'Rt', '🐦', 'Direct', 'Selling', 'Like', '❤️', 'https', 't.co/fcj7letDwE']",, Which is best for your future and Dreams Job  Rt 🐦 Direct Selling Like ❤️ ,"['🐦', '❤️']"
4,4,@UsmaniToheed  This is the same mosque which used to be full of worshipers and visitors  Pray that the corona virus ends from the roots  Allah masjid khol dai inshallah❤️ ये वही मस्जिद है जो कभी इबादत करने वालों और सैलानियों से भरी रहती थी #jamamasjid  #India  #DelhiFightsCorona  https://t.co/KHGP0eLUT0,en,"['#jamamasjid', '#India', '#DelhiFightsCorona']",['@UsmaniToheed'],['https://t.co/KHGP0eLUT0'],"['UsmaniToheed', 'This', 'is', 'the', 'same', 'mosque', 'which', 'used', 'to', 'be', 'full', 'of', 'worshipers', 'and', 'visitors', 'Pray', 'that', 'the', 'corona', 'virus', 'ends', 'from', 'the', 'roots', 'Allah', 'masjid', 'khol', 'dai', 'inshallah❤️', 'ये', 'वही', 'मस्जिद', 'है', 'जो', 'कभी', 'इबादत', 'करने', 'वालों', 'और', 'सैलानियों', 'से', 'भरी', 'रहती', 'थी', 'jamamasjid', 'India', 'DelhiFightsCorona', 'https', 't.co/KHGP0eLUT0']",, This is the same mosque which used to be full of worshipers and visitors Pray that the corona virus ends from the roots Allah masjid khol dai inshallah❤️ ये वही मस्जिद है जो कभी इबादत करने वालों और सैलानियों से भरी रहती थी ,['❤️']
5,5,Glimpses of 2nd Day of Training session on #COVID SOPs for #KPTourism sector and other safety steps against coronavirus to ensure SAFE TOURISM at Millennium Naran (Mansehra) arranged by @KITEProjectDoT. (01.06.21)  #KITEDoT #KITE #ResponsibleTourism  @dostacykp @kafzal01  https://t.co/ERPBPwglA4,en,"['#COVID', '#KPTourism', '#KITEDoT', '#KITE', '#ResponsibleTourism']","['@KITEProjectDoT.', '@dostacykp', '@kafzal01']",['https://t.co/ERPBPwglA4'],"['Glimpses', 'of', '2nd', 'Day', 'of', 'Training', 'session', 'on', 'COVID', 'SOPs', 'for', 'KPTourism', 'sector', 'and', 'other', 'safety', 'steps', 'against', 'coronavirus', 'to', 'ensure', 'SAFE', 'TOURISM', 'at', 'Millennium', 'Naran', 'Mansehra', 'arranged', 'by', 'KITEProjectDoT', '01.06.21', 'KITEDoT', 'KITE', 'ResponsibleTourism', 'dostacykp', 'kafzal01', 'https', 't.co/ERPBPwglA4']",,Glimpses of 2nd Day of Training session on SOPs for sector and other safety steps against coronavirus to ensure SAFE TOURISM at Millennium Naran (Mansehra) arranged by (010621) ,[]
6,6,"Coronavirus Update: New COVID-19 cases, deaths and hospitalizations keep falling, as vaccinations keep increasing  https://t.co/zeYu9uF9e1 #Nifty #Sipgrab #UnitingPeopleWithThePossibilities",en,"['#Nifty', '#Sipgrab', '#UnitingPeopleWithThePossibilities']",[],['https://t.co/zeYu9uF9e1'],"['Coronavirus', 'Update', 'New', 'COVID-19', 'cases', 'deaths', 'and', 'hospitalizations', 'keep', 'falling', 'as', 'vaccinations', 'keep', 'increasing', 'https', 't.co/zeYu9uF9e1', 'Nifty', 'Sipgrab', 'UnitingPeopleWithThePossibilities']",,Coronavirus Update: New COVID19 cases deaths and hospitalizations keep falling as vaccinations keep increasing  ,[]
7,7,Such a very bad situation many people dead 💀 continuously by #coronavirus and who are alive they feel fear from it. Ehe. I check corona reports I completely worrying about humanity and world #badnews #coronavirus @htTweets,en,"['#coronavirus', '#badnews', '#coronavirus']",['@htTweets'],[],"['Such', 'a', 'very', 'bad', 'situation', 'many', 'people', 'dead', '💀', 'continuously', 'by', 'coronavirus', 'and', 'who', 'are', 'alive', 'they', 'feel', 'fear', 'from', 'it', 'Ehe', 'I', 'check', 'corona', 'reports', 'I', 'completely', 'worrying', 'about', 'humanity', 'and', 'world', 'badnews', 'coronavirus', 'htTweets']",,Such a very bad situation many people dead 💀 continuously by and who are alive they feel fear from it Ehe I check corona reports I completely worrying about humanity and world ,['💀']
8,8,How’s the coronavirus situation in pakistan? Have the daily cases gone down?,en,[],[],[],"['How', '’', 's', 'the', 'coronavirus', 'situation', 'in', 'pakistan', 'Have', 'the', 'daily', 'cases', 'gone', 'down']",,How’s the coronavirus situation in pakistan Have the daily cases gone down,[]
9,9,"What you want, is not always what you need.  You want to go to the newly opened @StarbucksIndia for a nice, sophisticated coffee  BUT  You need to sip hot water at home. Stay Strong, Stay Safe, Kanpur. #coronavirus #COVID19India #StayStrongIndia #kanpurFightsCorona",en,"['#coronavirus', '#COVID19India', '#StayStrongIndia', '#kanpurFightsCorona']",['@StarbucksIndia'],[],"['What', 'you', 'want', 'is', 'not', 'always', 'what', 'you', 'need', 'You', 'want', 'to', 'go', 'to', 'the', 'newly', 'opened', 'StarbucksIndia', 'for', 'a', 'nice', 'sophisticated', 'coffee', 'BUT', 'You', 'need', 'to', 'sip', 'hot', 'water', 'at', 'home', 'Stay', 'Strong', 'Stay', 'Safe', 'Kanpur', 'coronavirus', 'COVID19India', 'StayStrongIndia', 'kanpurFightsCorona']",,What you want is not always what you need You want to go to the newly opened for a nice sophisticated coffee BUT You need to sip hot water at home Stay Strong Stay Safe Kanpur ,[]
