id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1422708126076194823,1422708126076194823,2021-08-04 05:27:04 India Standard Time,2021-08-04,05:27:04,+0530,862807023246651392,nazuriyamada1,Mohd Nazri Rusli,,"We COOL people always fill your lungs, clear your mind. To breathe, we do not only need air and lungs, we need freedom. #COVID19 #kitajagakita #kementeriankesihatanmalaysi  https://t.co/cv0zzuiiXe",en,[],[],['https://pbs.twimg.com/media/E755ft1VgAUN_DJ.jpg'],0,0,0,"['covid19', 'kitajagakita', 'kementeriankesihatanmalaysi']",[],https://twitter.com/NazuriYamada1/status/1422708126076194823,False,,1,https://pbs.twimg.com/media/E755ft1VgAUN_DJ.jpg,India,,,,,,[],,,,
1422703209252933634,1422703209252933634,2021-08-04 05:07:32 India Standard Time,2021-08-04,05:07:32,+0530,110472594,soso888,🇯🇵九龍城明星 Tony🇹🇭🎌,,"チョンブリ県COVID19 新規感染者1,678人 2021年8月4日06:30  ムアンチョンブリ438人、シラチャ433人、 バンラムン（パタヤ）320人  施設,市場、建設現場、家族間、知り合い間でのクラスター  累積感染者30,807人 15,608人が治癒、15,051人が治療中 死者+10人累積死者148人  https://t.co/odfi8omd7S",ja,[],[],['https://pbs.twimg.com/media/E751BNgVgAUGQpb.jpg'],0,0,2,[],[],https://twitter.com/soso888/status/1422703209252933634,False,,1,https://pbs.twimg.com/media/E751BNgVgAUGQpb.jpg,India,,,,,,[],,,,
1422699928149626883,1422699928149626883,2021-08-04 04:54:30 India Standard Time,2021-08-04,04:54:30,+0530,908062171,salmanlawakmega,Salman Al-Farisi,,Terasa kehangatan MERDEKA dalam puisi artistik. MERDEKAKANLAH DIRI ANDA DARI COVID-19. #salmanjkk #salmanjkktv #salmanalfarisiseniman #pemuisi #dbp #DekadBahasaKebangsaan #BahasaJiwaBangsa  https://t.co/2MJ05X3i0V,in,[],[],['https://pbs.twimg.com/media/E75yC1xVUAQCm4Z.jpg'],0,0,0,"['salmanjkk', 'salmanjkktv', 'salmanalfarisiseniman', 'pemuisi', 'dbp', 'dekadbahasakebangsaan', 'bahasajiwabangsa']",[],https://twitter.com/salmanlawakmega/status/1422699928149626883,False,,1,https://pbs.twimg.com/media/E75yC1xVUAQCm4Z.jpg,India,,,,,,[],,,,
1422693023587110919,1422685214598369287,2021-08-04 04:27:03 India Standard Time,2021-08-04,04:27:03,+0530,521614032,engtbag,EnG.TbaG,,عدم الحضور الى المدرسه وقت التطعيم المحدد وإبلاغ المدرسه والسلطات رسميا بعدم الرغبه بالتطعيم لنفي أي موافقه ضمنيه.  4⃣ #الحرية_الطبية #COVID19 #متضرري_اللقاح #ساحة_الإرادة #لا_للتطعيم_الاجباري  https://t.co/klA6XuRnmI,ar,[],[],[],4,25,55,"['الحرية_الطبية', 'covid19', 'متضرري_اللقاح', 'ساحة_الإرادة', 'لا_للتطعيم_الاجباري']",[],https://twitter.com/EnGTbaG/status/1422693023587110919,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1422692730346655745/pu/img/OvPDpM1tdV2X0F4g.jpg,India,,,,,,[],,,,
1422691509887983619,1422685214598369287,2021-08-04 04:21:02 India Standard Time,2021-08-04,04:21:02,+0530,521614032,engtbag,EnG.TbaG,,لتكون الموافقه صالحه يجب أن يتم: 1-الإبلاغ عنها 2-أن تكون مفهومه 3-أن تكون طواعيه 3⃣ #الحرية_الطبية #COVID19 #متضرري_اللقاح #ساحة_الإرادة #لا_للتطعيم_الاجباري  https://t.co/aWuGvsEGik,ar,[],[],[],0,3,4,"['الحرية_الطبية', 'covid19', 'متضرري_اللقاح', 'ساحة_الإرادة', 'لا_للتطعيم_الاجباري']",[],https://twitter.com/EnGTbaG/status/1422691509887983619,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1422690876522962947/pu/img/UdVLBkmoQLs9XfV4.jpg,India,,,,,,[],,,,
1422688929581465606,1422688927333326848,2021-08-04 04:10:47 India Standard Time,2021-08-04,04:10:47,+0530,1065807011416174594,polsek_badau,POLSEK BADAU,,vaksin Covid-19 diatas..,et,[],[],[],0,0,1,[],[],https://twitter.com/polsek_badau/status/1422688929581465606,False,,0,,India,,,,,,[],,,,
1422688927333326848,1422688927333326848,2021-08-04 04:10:47 India Standard Time,2021-08-04,04:10:47,+0530,1065807011416174594,polsek_badau,POLSEK BADAU,,"#infopolsekbadau #untuknegeriuntukindonesia #indonesiatangguhindonesiatumbuh . . .  Sobat Polri, pengembangan vaksin Covid-19 yang aman dan efektif adalah langkah penting dalam upaya global untuk segera mengakhiri pandemi, untuk itu yuk kita simak fakta-fakta penting seputar  https://t.co/SOHAC64M5C",in,[],[],"['https://pbs.twimg.com/media/E75oBsrVgAAXyRh.jpg', 'https://pbs.twimg.com/media/E75oCNLUYAAMD_L.jpg']",1,0,1,"['infopolsekbadau', 'untuknegeriuntukindonesia', 'indonesiatangguhindonesiatumbuh']",[],https://twitter.com/polsek_badau/status/1422688927333326848,False,,1,https://pbs.twimg.com/media/E75oBsrVgAAXyRh.jpg,India,,,,,,[],,,,
1422688632423411715,1422688632423411715,2021-08-04 04:09:36 India Standard Time,2021-08-04,04:09:36,+0530,1065807011416174594,polsek_badau,POLSEK BADAU,,"#infopolsekbadau #untuknegeriuntukindonesia #indonesiatangguhindonesiatumbuh . . .  Waspada! Covid-19 ada di Sekelilingmu Jangan Kendor Prokesnya!  Guys, tetaplah waspada karena jumlah penularan covid-19 saat ini masih belum menunjukkan angka yang menurun. Selalu patuhi protokol  https://t.co/iJnlCB9A26",in,[],[],['https://pbs.twimg.com/media/E75nxAiVgAE3I7G.jpg'],1,0,1,"['infopolsekbadau', 'untuknegeriuntukindonesia', 'indonesiatangguhindonesiatumbuh']",[],https://twitter.com/polsek_badau/status/1422688632423411715,False,,1,https://pbs.twimg.com/media/E75nxAiVgAE3I7G.jpg,India,,,,,,[],,,,
1422688248061595650,1422688248061595650,2021-08-04 04:08:05 India Standard Time,2021-08-04,04:08:05,+0530,1065807011416174594,polsek_badau,POLSEK BADAU,,"#infopolsekbadau #untuknegeriuntukindonesia #indonesiatangguhindonesiatumbuh . . . Laksanakan vaksinasi ntuk mencegah gejala berat ketika terpapar virus Covid-19, sehingga bila terpapar tubuh kita sudah punya tameng untuk melawan virusnya.  https://t.co/3g671wIe1D",in,[],[],['https://pbs.twimg.com/media/E75na_JVcAUoBlv.jpg'],1,0,1,"['infopolsekbadau', 'untuknegeriuntukindonesia', 'indonesiatangguhindonesiatumbuh']",[],https://twitter.com/polsek_badau/status/1422688248061595650,False,,1,https://pbs.twimg.com/media/E75na_JVcAUoBlv.jpg,India,,,,,,[],,,,
1422688083405729792,1422688083405729792,2021-08-04 04:07:26 India Standard Time,2021-08-04,04:07:26,+0530,1065807011416174594,polsek_badau,POLSEK BADAU,,#infopolsekbadau  #untuknegeriuntukindonesia  #indonesiatangguhindonesiatumbuh . . .  Vaksinasi Covid-19 merupakan “senjata” yang ampuh untuk melawan wabah penyakit akibat virus corona. #VaksinasiTaatProkes5M Baksos Akpol91 Mengabdi  https://t.co/FacwxqIWnZ,in,[],[],['https://pbs.twimg.com/media/E75nRJbVUAUF5GB.jpg'],0,0,1,"['infopolsekbadau', 'untuknegeriuntukindonesia', 'indonesiatangguhindonesiatumbuh', 'vaksinasitaatprokes5m']",[],https://twitter.com/polsek_badau/status/1422688083405729792,False,,1,https://pbs.twimg.com/media/E75nRJbVUAUF5GB.jpg,India,,,,,,[],,,,
