,created_at,username,tweet,language,replies_count,retweets_count,likes_count
0,2021-05-03 05:28:37 India Standard Time,muneebrau,#appeal #helpus #needsupport #herosofpakistan #frontlinesoldiersofhumanity #rashandrive #foodshortage #helpingothers #helpwanted #donation #ngo #orphanage  #donatenow #ramzan #karachi #pakistan #humanity #needhelp #urgentdonationrequired #zakat #COVID19 #coronavirus  https://t.co/msrHHdhN44,und,1.0,0.0,0
1,2021-05-03 03:20:28 India Standard Time,alidurrani88,"The corona virus has a possible 39,000 RNA mutations. The world has only seen 153 so far. Practice social distancing and keep your face masks on. #COVIDisAirborne #Covid_19",en,0.0,0.0,2
2,2021-05-03 03:07:03 India Standard Time,drkaushiksuresh,Second wave of coronavirus infection in India by new variant of double mutant B.1.617  https://t.co/xuMMbohior,en,0.0,0.0,0
3,2021-05-03 02:55:32 India Standard Time,sohailmalik462,BBC News - India coronavirus: New record deaths as virus engulfs India  https://t.co/jYpHJ58kJC #coronavirus,en,0.0,0.0,0
4,2021-05-03 02:43:47 India Standard Time,srishtikumaris6,#Trending #viralpic #AajTak #news #NewsAlert #newfashion #coronavirus #unite2fightcorona  https://t.co/6YAN3a1qN5,und,0.0,0.0,1
5,2021-05-03 02:29:32 India Standard Time,bjp_bihar_,wear a mask and sanitize your hands and maintain social distancing #COVIDSecondWaveInIndia #COVIDEmergency #coronavirus,en,0.0,0.0,1
6,2021-05-03 02:07:33 India Standard Time,sasmitchandan,BBC News - India coronavirus: New record deaths as virus engulfs India  https://t.co/HpTGBrGE3K,en,0.0,0.0,0
7,2021-05-03 01:54:07 India Standard Time,medicineallino1,"Are you okay? No, i just want a Covid free world please  #Covid_19 #coronavirus",en,0.0,0.0,0
8,2021-05-03 01:42:07 India Standard Time,mithisi69571488,Pray for India ......  #CovidHelp #CoronavirusIndia #coronavirus #CoronaVaccine #help #Helpless #IndiaFightsCorona #India #WritingCommunity #Writers #Trending  https://t.co/ibk6JUKw9R,en,0.0,0.0,2
9,2021-05-03 01:28:37 India Standard Time,mithisi69571488,Childrens are gift of god help them for their education not for begging....  #help #PrayForIndia #COVIDSecondWaveInIndia #CoronaPandemic #coronavirus #CHATTISHGARH #SocialMedia #SocialDistancing #SocialWorkTwitter #StayHome #socialwork #bhilai#education  #StaySafe #StayHome  https://t.co/DPQb8UDs3B,en,0.0,0.0,2
10,2021-05-03 01:22:23 India Standard Time,zalmayzia,@palhali Heard eating Mangoes in Summer can reduce risks of contracting Coronavirus 😀,en,1.0,0.0,7
11,2021-05-03 01:18:47 India Standard Time,mithisi69571488,Help them they needs you very badly in this situation...  #help #CovidSOS #PrayForIndia #COVIDSecondWaveInIndia #CovidHelp #coronavirus #CHATTISHGARH #bhilai #bhilaidurg #SocialMedia #SocialDistancing #SocialWorkTwitter #socialworker #socialwork #Feed #  https://t.co/xzMy1V0sVM,en,0.0,0.0,2
