,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,tweet,language,hastags,attherate,urls,tokenized_Tweet,filteredToken,clean_tweet
0,0,0,0,"The corona virus has a possible 39,000 RNA mutations. The world has only seen 153 so far. Practice social distancing and keep your face masks on. #COVIDisAirborne #Covid_19",en,"['#COVIDisAirborne', '#Covid_19']",[],[],"['The', 'corona', 'virus', 'has', 'a', 'possible', '39,000', 'RNA', 'mutations', 'The', 'world', 'has', 'only', 'seen', '153', 'so', 'far', 'Practice', 'social', 'distancing', 'and', 'keep', 'your', 'face', 'masks', 'on', 'COVIDisAirborne', 'Covid_19']","['The', 'world', 'possible', 'RNA', 'social', 'keep', 'mutations', '153', 'Practice', 'Covid_19', '39,000', 'virus', 'distancing', 'far', 'corona', 'seen', 'masks', 'COVIDisAirborne', 'face']",The corona virus has a possible 39000 RNA mutations The world has only seen 153 so far Practice social distancing and keep your face masks on 
1,1,1,1,Second wave of coronavirus infection in India by new variant of double mutant B.1.617  https://t.co/xuMMbohior,en,[],[],['https://t.co/xuMMbohior'],"['Second', 'wave', 'of', 'coronavirus', 'infection', 'in', 'India', 'by', 'new', 'variant', 'of', 'double', 'mutant', 'B.1.617', 'https', 't.co/xuMMbohior']","['wave', 'new', 'coronavirus', 'Second', 'https', 'infection', 'mutant', 'variant', 't.co/xuMMbohior', 'double', 'B.1.617', 'India']",Second wave of coronavirus infection in India by new variant of double mutant B1617 
2,2,2,2,BBC News - India coronavirus: New record deaths as virus engulfs India  https://t.co/jYpHJ58kJC #coronavirus,en,['#coronavirus'],[],['https://t.co/jYpHJ58kJC'],"['BBC', 'News', 'India', 'coronavirus', 'New', 'record', 'deaths', 'as', 'virus', 'engulfs', 'India', 'https', 't.co/jYpHJ58kJC', 'coronavirus']","['deaths', 'record', 'BBC', 'coronavirus', 'https', 'engulfs', 'India', 'News', 't.co/jYpHJ58kJC', 'New', 'virus']",BBC News  India coronavirus: New record deaths as virus engulfs India  
3,3,3,3,wear a mask and sanitize your hands and maintain social distancing #COVIDSecondWaveInIndia #COVIDEmergency #coronavirus,en,"['#COVIDSecondWaveInIndia', '#COVIDEmergency', '#coronavirus']",[],[],"['wear', 'a', 'mask', 'and', 'sanitize', 'your', 'hands', 'and', 'maintain', 'social', 'distancing', 'COVIDSecondWaveInIndia', 'COVIDEmergency', 'coronavirus']","['distancing', 'wear', 'coronavirus', 'hands', 'maintain', 'social', 'COVIDSecondWaveInIndia', 'mask', 'sanitize', 'COVIDEmergency']",wear a mask and sanitize your hands and maintain social distancing 
4,4,4,4,BBC News - India coronavirus: New record deaths as virus engulfs India  https://t.co/HpTGBrGE3K,en,[],[],['https://t.co/HpTGBrGE3K'],"['BBC', 'News', 'India', 'coronavirus', 'New', 'record', 'deaths', 'as', 'virus', 'engulfs', 'India', 'https', 't.co/HpTGBrGE3K']","['deaths', 'record', 'BBC', 'coronavirus', 'https', 'engulfs', 't.co/HpTGBrGE3K', 'India', 'News', 'New', 'virus']",BBC News  India coronavirus: New record deaths as virus engulfs India 
5,5,5,5,"Are you okay? No, i just want a Covid free world please  #Covid_19 #coronavirus",en,"['#Covid_19', '#coronavirus']",[],[],"['Are', 'you', 'okay', 'No', 'i', 'just', 'want', 'a', 'Covid', 'free', 'world', 'please', 'Covid_19', 'coronavirus']","['okay', 'world', 'Covid_19', 'please', 'coronavirus', 'want', 'free', 'Are', 'Covid', 'No']",Are you okay No i just want a Covid free world please 
6,6,6,6,Pray for India ......  #CovidHelp #CoronavirusIndia #coronavirus #CoronaVaccine #help #Helpless #IndiaFightsCorona #India #WritingCommunity #Writers #Trending  https://t.co/ibk6JUKw9R,en,"['#CovidHelp', '#CoronavirusIndia', '#coronavirus', '#CoronaVaccine', '#help', '#Helpless', '#IndiaFightsCorona', '#India', '#WritingCommunity', '#Writers', '#Trending']",[],['https://t.co/ibk6JUKw9R'],"['Pray', 'for', 'India', 'CovidHelp', 'CoronavirusIndia', 'coronavirus', 'CoronaVaccine', 'help', 'Helpless', 'IndiaFightsCorona', 'India', 'WritingCommunity', 'Writers', 'Trending', 'https', 't.co/ibk6JUKw9R']","['CoronavirusIndia', 'WritingCommunity', 't.co/ibk6JUKw9R', 'Helpless', 'coronavirus', 'IndiaFightsCorona', 'https', 'Trending', 'help', 'CoronaVaccine', 'Pray', 'Writers', 'CovidHelp', 'India']",Pray for India  
7,7,7,7,Childrens are gift of god help them for their education not for begging....  #help #PrayForIndia #COVIDSecondWaveInIndia #CoronaPandemic #coronavirus #CHATTISHGARH #SocialMedia #SocialDistancing #SocialWorkTwitter #StayHome #socialwork #bhilai#education  #StaySafe #StayHome  https://t.co/DPQb8UDs3B,en,"['#help', '#PrayForIndia', '#COVIDSecondWaveInIndia', '#CoronaPandemic', '#coronavirus', '#CHATTISHGARH', '#SocialMedia', '#SocialDistancing', '#SocialWorkTwitter', '#StayHome', '#socialwork', '#bhilai#education', '#StaySafe', '#StayHome']",[],['https://t.co/DPQb8UDs3B'],"['Childrens', 'are', 'gift', 'of', 'god', 'help', 'them', 'for', 'their', 'education', 'not', 'for', 'begging', 'help', 'PrayForIndia', 'COVIDSecondWaveInIndia', 'CoronaPandemic', 'coronavirus', 'CHATTISHGARH', 'SocialMedia', 'SocialDistancing', 'SocialWorkTwitter', 'StayHome', 'socialwork', 'bhilai', 'education', 'StaySafe', 'StayHome', 'https', 't.co/DPQb8UDs3B']","['bhilai', 'coronavirus', 'gift', 'PrayForIndia', 'Childrens', 'socialwork', 't.co/DPQb8UDs3B', 'begging', 'education', 'SocialDistancing', 'StayHome', 'SocialMedia', 'CoronaPandemic', 'StaySafe', 'SocialWorkTwitter', 'god', 'https', 'help', 'COVIDSecondWaveInIndia', 'CHATTISHGARH']",Childrens are gift of god help them for their education not for begging 
8,8,8,8,@palhali Heard eating Mangoes in Summer can reduce risks of contracting Coronavirus 😀,en,[],['@palhali'],[],"['palhali', 'Heard', 'eating', 'Mangoes', 'in', 'Summer', 'can', 'reduce', 'risks', 'of', 'contracting', 'Coronavirus', '😀']","['palhali', 'eating', 'contracting', 'Summer', 'Heard', '😀', 'Coronavirus', 'risks', 'Mangoes', 'reduce']", Heard eating Mangoes in Summer can reduce risks of contracting Coronavirus 😀
9,9,9,9,Help them they needs you very badly in this situation...  #help #CovidSOS #PrayForIndia #COVIDSecondWaveInIndia #CovidHelp #coronavirus #CHATTISHGARH #bhilai #bhilaidurg #SocialMedia #SocialDistancing #SocialWorkTwitter #socialworker #socialwork #Feed #  https://t.co/xzMy1V0sVM,en,"['#help', '#CovidSOS', '#PrayForIndia', '#COVIDSecondWaveInIndia', '#CovidHelp', '#coronavirus', '#CHATTISHGARH', '#bhilai', '#bhilaidurg', '#SocialMedia', '#SocialDistancing', '#SocialWorkTwitter', '#socialworker', '#socialwork', '#Feed', '#']",[],['https://t.co/xzMy1V0sVM'],"['Help', 'them', 'they', 'needs', 'you', 'very', 'badly', 'in', 'this', 'situation', 'help', 'CovidSOS', 'PrayForIndia', 'COVIDSecondWaveInIndia', 'CovidHelp', 'coronavirus', 'CHATTISHGARH', 'bhilai', 'bhilaidurg', 'SocialMedia', 'SocialDistancing', 'SocialWorkTwitter', 'socialworker', 'socialwork', 'Feed', 'https', 't.co/xzMy1V0sVM']","['bhilai', 'coronavirus', 'PrayForIndia', 'socialwork', 'Feed', 'bhilaidurg', 'badly', 'Help', 'situation', 'SocialDistancing', 'SocialMedia', 'CovidSOS', 'SocialWorkTwitter', 'needs', 'https', 'help', 'COVIDSecondWaveInIndia', 't.co/xzMy1V0sVM', 'socialworker', 'CHATTISHGARH', 'CovidHelp']",Help them they needs you very badly in this situation # 
10,10,10,10,@ianbremmer @gzeromedia 1 - Modi attended tons of rallies not wearing a mask  2 - The health minister literally participated  in the launch of a fake cure for Coronavirus introduced by a notorious quack:   https://t.co/MomlbF0skG,en,[],"['@ianbremmer', '@gzeromedia']",['https://t.co/MomlbF0skG'],"['ianbremmer', 'gzeromedia', '1', 'Modi', 'attended', 'tons', 'of', 'rallies', 'not', 'wearing', 'a', 'mask', '2', 'The', 'health', 'minister', 'literally', 'participated', 'in', 'the', 'launch', 'of', 'a', 'fake', 'cure', 'for', 'Coronavirus', 'introduced', 'by', 'a', 'notorious', 'quack', 'https', 't.co/MomlbF0skG']","['The', 'attended', 'health', 'Modi', 'participated', 't.co/MomlbF0skG', 'wearing', 'rallies', 'literally', 'launch', 'ianbremmer', 'minister', 'fake', '2', 'Coronavirus', '1', 'gzeromedia', 'notorious', 'quack', 'tons', 'https', 'cure', 'mask', 'introduced']", 1  Modi attended tons of rallies not wearing a mask 2  The health minister literally participated in the launch of a fake cure for Coronavirus introduced by a notorious quack: 
11,11,11,11,The country is not in a state of shock because the healthcare system has collapsed. It is in the state of shock because the #healthcare system has #collapsed for the #Rich too.  #health #medicines #doctors #coronavirus #wellness #nurses #care #Mentalhealth #hospitals,en,"['#healthcare', '#collapsed', '#Rich', '#health', '#medicines', '#doctors', '#coronavirus', '#wellness', '#nurses', '#care', '#Mentalhealth', '#hospitals']",[],[],"['The', 'country', 'is', 'not', 'in', 'a', 'state', 'of', 'shock', 'because', 'the', 'healthcare', 'system', 'has', 'collapsed', 'It', 'is', 'in', 'the', 'state', 'of', 'shock', 'because', 'the', 'healthcare', 'system', 'has', 'collapsed', 'for', 'the', 'Rich', 'too', 'health', 'medicines', 'doctors', 'coronavirus', 'wellness', 'nurses', 'care', 'Mentalhealth', 'hospitals']","['The', 'health', 'healthcare', 'system', 'doctors', 'coronavirus', 'Rich', 'Mentalhealth', 'medicines', 'country', 'shock', 'hospitals', 'care', 'nurses', 'collapsed', 'wellness', 'state', 'It']",The country is not in a state of shock because the healthcare system has collapsed It is in the state of shock because the system has for the too 
12,12,12,12,@Atmos_Air Very healthy report about transmission of corona virus.,en,[],['@Atmos_Air'],[],"['Atmos_Air', 'Very', 'healthy', 'report', 'about', 'transmission', 'of', 'corona', 'virus']","['transmission', 'corona', 'report', 'Very', 'Atmos_Air', 'healthy', 'virus']", Very healthy report about transmission of corona virus
13,13,13,13,11 hrs no #electricity in #Titwala @CMOMaharashtra @ThePrintIndia @OfficeofUT @ndtv @ABPNews @LoksattaLive worse than #coronavirus,en,"['#electricity', '#Titwala', '#coronavirus']","['@CMOMaharashtra', '@ThePrintIndia', '@OfficeofUT', '@ndtv', '@ABPNews', '@LoksattaLive']",[],"['11', 'hrs', 'no', 'electricity', 'in', 'Titwala', 'CMOMaharashtra', 'ThePrintIndia', 'OfficeofUT', 'ndtv', 'ABPNews', 'LoksattaLive', 'worse', 'than', 'coronavirus']","['ndtv', 'CMOMaharashtra', '11', 'Titwala', 'hrs', 'coronavirus', 'ThePrintIndia', 'ABPNews', 'electricity', 'OfficeofUT', 'LoksattaLive', 'worse']",11 hrs no in worse than 
14,14,14,14,"The third wave of coronavirus has rung alarm bells as it is proving to be more lethal and contagious than before. Keeping in view the expansion of coronavirus cases across the country, third-time educational institutions are closed. No one knows when this dilemma will end. #CL  https://t.co/0VHmYc6FcA",en,['#CL'],[],['https://t.co/0VHmYc6FcA'],"['The', 'third', 'wave', 'of', 'coronavirus', 'has', 'rung', 'alarm', 'bells', 'as', 'it', 'is', 'proving', 'to', 'be', 'more', 'lethal', 'and', 'contagious', 'than', 'before', 'Keeping', 'in', 'view', 'the', 'expansion', 'of', 'coronavirus', 'cases', 'across', 'the', 'country', 'third-time', 'educational', 'institutions', 'are', 'closed', 'No', 'one', 'knows', 'when', 'this', 'dilemma', 'will', 'end', 'CL', 'https', 't.co/0VHmYc6FcA']","['The', 'coronavirus', 'across', 'one', 'institutions', 'expansion', 'rung', 'third', 'end', 'educational', 'cases', 'alarm', 'third-time', 'CL', 't.co/0VHmYc6FcA', 'proving', 'country', 'knows', 'dilemma', 'contagious', 'No', 'wave', 'https', 'Keeping', 'lethal', 'closed', 'bells', 'view']",The third wave of coronavirus has rung alarm bells as it is proving to be more lethal and contagious than before Keeping in view the expansion of coronavirus cases across the country thirdtime educational institutions are closed No one knows when this dilemma will end 
15,15,15,15,Officially: for the 1st time “WHO” allows the Sinopharm vaccine against Coronavirus.  https://t.co/b6JPs4MuzA  #vaccination #vaccinated #Sinopharm #who #COVID19 #coronavirus #Bahrain #بحرين #Bahrain,en,"['#vaccination', '#vaccinated', '#Sinopharm', '#who', '#COVID19', '#coronavirus', '#Bahrain', '#بحرين', '#Bahrain']",[],['https://t.co/b6JPs4MuzA'],"['Officially', 'for', 'the', '1st', 'time', '“', 'WHO', '”', 'allows', 'the', 'Sinopharm', 'vaccine', 'against', 'Coronavirus', 'https', 't.co/b6JPs4MuzA', 'vaccination', 'vaccinated', 'Sinopharm', 'who', 'COVID19', 'coronavirus', 'Bahrain', 'بحرين', 'Bahrain']","['“', 'WHO', 'coronavirus', 'vaccinated', 't.co/b6JPs4MuzA', 'بحرين', 'COVID19', 'vaccine', 'https', '1st', 'Bahrain', '”', 'Coronavirus', 'time', 'vaccination', 'allows', 'Sinopharm', 'Officially']",Officially: for the 1st time “WHO” allows the Sinopharm vaccine against Coronavirus  
16,16,16,16,Australia aiming to begin India repatriation flights next week after backlash to travel ban  https:#COVID19India #Australia #India #coronavirus  https://t.co/VuC5nWV3J0,en,"['#Australia', '#India', '#coronavirus']",[],"['https:#COVID19India', 'https://t.co/VuC5nWV3J0']","['Australia', 'aiming', 'to', 'begin', 'India', 'repatriation', 'flights', 'next', 'week', 'after', 'backlash', 'to', 'travel', 'ban', 'https', 'COVID19India', 'Australia', 'India', 'coronavirus', 'https', 't.co/VuC5nWV3J0']","['flights', 't.co/VuC5nWV3J0', 'next', 'repatriation', 'coronavirus', 'aiming', 'https', 'COVID19India', 'India', 'Australia', 'week', 'backlash', 'begin', 'ban', 'travel']",Australia aiming to begin India repatriation flights next week after backlash to travel ban https: 
17,17,17,17,COVID-19 infections and deaths are mounting with alarming speed in India with no end in sight to the crisis. #coronavirus #COVIDEmergencyIndia  https://t.co/9ZBzIjiX7o,en,"['#coronavirus', '#COVIDEmergencyIndia']",[],['https://t.co/9ZBzIjiX7o'],"['COVID-19', 'infections', 'and', 'deaths', 'are', 'mounting', 'with', 'alarming', 'speed', 'in', 'India', 'with', 'no', 'end', 'in', 'sight', 'to', 'the', 'crisis', 'coronavirus', 'COVIDEmergencyIndia', 'https', 't.co/9ZBzIjiX7o']","['alarming', 'infections', 'sight', 'deaths', 'coronavirus', 'mounting', 'COVIDEmergencyIndia', 'COVID-19', 'https', 'end', 'crisis', 'speed', 't.co/9ZBzIjiX7o', 'India']",COVID19 infections and deaths are mounting with alarming speed in India with no end in sight to the crisis 
18,18,18,18,"New cases in India have surpassed 400,000—the highest caseload yet. Even that is sure to be an underestimate #coronavirus #CovidIndia #news  https://t.co/pIZhTf6F5i",en,"['#coronavirus', '#CovidIndia', '#news']",[],['https://t.co/pIZhTf6F5i'],"['New', 'cases', 'in', 'India', 'have', 'surpassed', '400,000—the', 'highest', 'caseload', 'yet', 'Even', 'that', 'is', 'sure', 'to', 'be', 'an', 'underestimate', 'coronavirus', 'CovidIndia', 'news', 'https', 't.co/pIZhTf6F5i']","['news', 'Even', 'coronavirus', 'caseload', 't.co/pIZhTf6F5i', 'surpassed', '400,000—the', 'https', 'underestimate', 'CovidIndia', 'India', 'yet', 'sure', 'highest', 'New', 'cases']",New cases in India have surpassed 400000—the highest caseload yet Even that is sure to be an underestimate 
19,19,19,19,India moves fastest to stock up on Covid-19 vaccines  #CoronaVaccine #coronavirus #Covid_19 #Covid_19Vaccine #COVID  https://t.co/xKSJiuZcr9 via @indiatoday,en,"['#CoronaVaccine', '#coronavirus', '#Covid_19', '#Covid_19Vaccine', '#COVID']",['@indiatoday'],['https://t.co/xKSJiuZcr9'],"['India', 'moves', 'fastest', 'to', 'stock', 'up', 'on', 'Covid-19', 'vaccines', 'CoronaVaccine', 'coronavirus', 'Covid_19', 'Covid_19Vaccine', 'COVID', 'https', 't.co/xKSJiuZcr9', 'via', 'indiatoday']","['t.co/xKSJiuZcr9', 'stock', 'Covid_19', 'moves', 'coronavirus', 'https', 'via', 'Covid-19', 'India', 'Covid_19Vaccine', 'CoronaVaccine', 'fastest', 'indiatoday', 'COVID', 'vaccines']",India moves fastest to stock up on Covid19 vaccines  via 
20,20,20,20,"India reports 3,57,229 new #COVID19 cases, 3,20,289 discharges and 3,449 deaths in the last 24 hours, as per Union Health Ministry   Total cases: 2,02,82,833 Total recoveries: 1,66,13,292 Death toll: 2,22,408 Active cases: 34,47,133  Total vaccination: 15,89,32,921  #coronavirus",en,"['#COVID19', '#coronavirus']",[],[],"['India', 'reports', '3,57,229', 'new', 'COVID19', 'cases', '3,20,289', 'discharges', 'and', '3,449', 'deaths', 'in', 'the', 'last', '24', 'hours', 'as', 'per', 'Union', 'Health', 'Ministry', 'Total', 'cases', '2,02,82,833', 'Total', 'recoveries', '1,66,13,292', 'Death', 'toll', '2,22,408', 'Active', 'cases', '34,47,133', 'Total', 'vaccination', '15,89,32,921', 'coronavirus']","['Death', 'coronavirus', 'Total', '3,20,289', 'toll', '2,22,408', 'hours', 'Ministry', '3,57,229', 'COVID19', '2,02,82,833', 'cases', 'discharges', '24', 'new', 'recoveries', '1,66,13,292', 'Health', 'Union', 'India', 'Active', '34,47,133', '15,89,32,921', 'deaths', 'per', 'reports', 'vaccination', '3,449', 'last']",India reports 357229 new cases 320289 discharges and 3449 deaths in the last 24 hours as per Union Health Ministry Total cases: 20282833 Total recoveries: 16613292 Death toll: 222408 Active cases: 3447133 Total vaccination: 158932921 
21,21,21,21,"""English"" Has been Effected by Corona Virus. 😂😂🤐                    (Rip in Advance)  https://t.co/Sq1LQPU8xP",en,[],[],['https://t.co/Sq1LQPU8xP'],"['English', 'Has', 'been', 'Effected', 'by', 'Corona', 'Virus', '😂😂🤐', 'Rip', 'in', 'Advance', 'https', 't.co/Sq1LQPU8xP']","['t.co/Sq1LQPU8xP', 'Virus', 'Advance', '😂😂🤐', 'English', 'https', 'Corona', 'Effected', 'Rip', 'Has']",English Has been Effected by Corona Virus 😂😂🤐 (Rip in Advance) 
22,22,22,22,May these difficult times gets over soon. #coronavirus  ❤️🤞 #WeWillRiseAgain  #FightAgainstCorona,en,"['#coronavirus', '#WeWillRiseAgain', '#FightAgainstCorona']",[],[],"['May', 'these', 'difficult', 'times', 'gets', 'over', 'soon', 'coronavirus', '❤️🤞', 'WeWillRiseAgain', 'FightAgainstCorona']","['soon', 'FightAgainstCorona', 'coronavirus', '❤️🤞', 'WeWillRiseAgain', 'times', 'May', 'difficult', 'gets']",May these difficult times gets over soon ❤️🤞 
