,Unnamed: 0,tweet,language,hastags,attherate,urls,tokenized_Tweet,filteredToken,clean_tweet
0,0,"The corona virus has a possible 39,000 RNA mutations. The world has only seen 153 so far. Practice social distancing and keep your face masks on. #COVIDisAirborne #Covid_19",en,"['#COVIDisAirborne', '#Covid_19']",[],[],"['The', 'corona', 'virus', 'has', 'a', 'possible', '39,000', 'RNA', 'mutations', 'The', 'world', 'has', 'only', 'seen', '153', 'so', 'far', 'Practice', 'social', 'distancing', 'and', 'keep', 'your', 'face', 'masks', 'on', 'COVIDisAirborne', 'Covid_19']","['world', 'corona', 'far', 'Practice', 'RNA', 'virus', 'face', 'masks', '153', 'possible', 'social', 'COVIDisAirborne', 'distancing', 'seen', 'mutations', '39,000', 'Covid_19', 'The', 'keep']",The corona virus has a possible 39000 RNA mutations The world has only seen 153 so far Practice social distancing and keep your face masks on 
1,1,Second wave of coronavirus infection in India by new variant of double mutant B.1.617  https://t.co/xuMMbohior,en,[],[],['https://t.co/xuMMbohior'],"['Second', 'wave', 'of', 'coronavirus', 'infection', 'in', 'India', 'by', 'new', 'variant', 'of', 'double', 'mutant', 'B.1.617', 'https', 't.co/xuMMbohior']","['mutant', 'new', 'Second', 'wave', 'double', 'coronavirus', 'India', 'https', 'variant', 't.co/xuMMbohior', 'B.1.617', 'infection']",Second wave of coronavirus infection in India by new variant of double mutant B1617 
2,2,BBC News - India coronavirus: New record deaths as virus engulfs India  https://t.co/jYpHJ58kJC #coronavirus,en,['#coronavirus'],[],['https://t.co/jYpHJ58kJC'],"['BBC', 'News', 'India', 'coronavirus', 'New', 'record', 'deaths', 'as', 'virus', 'engulfs', 'India', 'https', 't.co/jYpHJ58kJC', 'coronavirus']","['coronavirus', 'India', 'https', 'deaths', 'engulfs', 't.co/jYpHJ58kJC', 'BBC', 'virus', 'News', 'record', 'New']",BBC News  India coronavirus: New record deaths as virus engulfs India  
3,3,wear a mask and sanitize your hands and maintain social distancing #COVIDSecondWaveInIndia #COVIDEmergency #coronavirus,en,"['#COVIDSecondWaveInIndia', '#COVIDEmergency', '#coronavirus']",[],[],"['wear', 'a', 'mask', 'and', 'sanitize', 'your', 'hands', 'and', 'maintain', 'social', 'distancing', 'COVIDSecondWaveInIndia', 'COVIDEmergency', 'coronavirus']","['COVIDEmergency', 'social', 'distancing', 'wear', 'hands', 'coronavirus', 'sanitize', 'mask', 'maintain', 'COVIDSecondWaveInIndia']",wear a mask and sanitize your hands and maintain social distancing 
4,4,BBC News - India coronavirus: New record deaths as virus engulfs India  https://t.co/HpTGBrGE3K,en,[],[],['https://t.co/HpTGBrGE3K'],"['BBC', 'News', 'India', 'coronavirus', 'New', 'record', 'deaths', 'as', 'virus', 'engulfs', 'India', 'https', 't.co/HpTGBrGE3K']","['coronavirus', 'India', 'https', 'deaths', 'News', 'engulfs', 'BBC', 'virus', 't.co/HpTGBrGE3K', 'record', 'New']",BBC News  India coronavirus: New record deaths as virus engulfs India 
5,5,"Are you okay? No, i just want a Covid free world please  #Covid_19 #coronavirus",en,"['#Covid_19', '#coronavirus']",[],[],"['Are', 'you', 'okay', 'No', 'i', 'just', 'want', 'a', 'Covid', 'free', 'world', 'please', 'Covid_19', 'coronavirus']","['please', 'Covid', 'want', 'free', 'world', 'Covid_19', 'okay', 'coronavirus', 'No', 'Are']",Are you okay No i just want a Covid free world please 
6,6,Pray for India ......  #CovidHelp #CoronavirusIndia #coronavirus #CoronaVaccine #help #Helpless #IndiaFightsCorona #India #WritingCommunity #Writers #Trending  https://t.co/ibk6JUKw9R,en,"['#CovidHelp', '#CoronavirusIndia', '#coronavirus', '#CoronaVaccine', '#help', '#Helpless', '#IndiaFightsCorona', '#India', '#WritingCommunity', '#Writers', '#Trending']",[],['https://t.co/ibk6JUKw9R'],"['Pray', 'for', 'India', 'CovidHelp', 'CoronavirusIndia', 'coronavirus', 'CoronaVaccine', 'help', 'Helpless', 'IndiaFightsCorona', 'India', 'WritingCommunity', 'Writers', 'Trending', 'https', 't.co/ibk6JUKw9R']","['Pray', 'CovidHelp', 'Trending', 'CoronavirusIndia', 'help', 'IndiaFightsCorona', 'coronavirus', 'India', 'https', 'Helpless', 'CoronaVaccine', 'Writers', 't.co/ibk6JUKw9R', 'WritingCommunity']",Pray for India  
7,7,Childrens are gift of god help them for their education not for begging....  #help #PrayForIndia #COVIDSecondWaveInIndia #CoronaPandemic #coronavirus #CHATTISHGARH #SocialMedia #SocialDistancing #SocialWorkTwitter #StayHome #socialwork #bhilai#education  #StaySafe #StayHome  https://t.co/DPQb8UDs3B,en,"['#help', '#PrayForIndia', '#COVIDSecondWaveInIndia', '#CoronaPandemic', '#coronavirus', '#CHATTISHGARH', '#SocialMedia', '#SocialDistancing', '#SocialWorkTwitter', '#StayHome', '#socialwork', '#bhilai#education', '#StaySafe', '#StayHome']",[],['https://t.co/DPQb8UDs3B'],"['Childrens', 'are', 'gift', 'of', 'god', 'help', 'them', 'for', 'their', 'education', 'not', 'for', 'begging', 'help', 'PrayForIndia', 'COVIDSecondWaveInIndia', 'CoronaPandemic', 'coronavirus', 'CHATTISHGARH', 'SocialMedia', 'SocialDistancing', 'SocialWorkTwitter', 'StayHome', 'socialwork', 'bhilai', 'education', 'StaySafe', 'StayHome', 'https', 't.co/DPQb8UDs3B']","['StayHome', 'help', 't.co/DPQb8UDs3B', 'socialwork', 'https', 'CHATTISHGARH', 'StaySafe', 'coronavirus', 'Childrens', 'bhilai', 'begging', 'SocialWorkTwitter', 'PrayForIndia', 'gift', 'COVIDSecondWaveInIndia', 'CoronaPandemic', 'SocialMedia', 'god', 'SocialDistancing', 'education']",Childrens are gift of god help them for their education not for begging 
8,8,@palhali Heard eating Mangoes in Summer can reduce risks of contracting Coronavirus 😀,en,[],['@palhali'],[],"['palhali', 'Heard', 'eating', 'Mangoes', 'in', 'Summer', 'can', 'reduce', 'risks', 'of', 'contracting', 'Coronavirus', '😀']","['contracting', 'palhali', 'Summer', 'reduce', '😀', 'risks', 'eating', 'Mangoes', 'Coronavirus', 'Heard']", Heard eating Mangoes in Summer can reduce risks of contracting Coronavirus 😀
9,9,Help them they needs you very badly in this situation...  #help #CovidSOS #PrayForIndia #COVIDSecondWaveInIndia #CovidHelp #coronavirus #CHATTISHGARH #bhilai #bhilaidurg #SocialMedia #SocialDistancing #SocialWorkTwitter #socialworker #socialwork #Feed #  https://t.co/xzMy1V0sVM,en,"['#help', '#CovidSOS', '#PrayForIndia', '#COVIDSecondWaveInIndia', '#CovidHelp', '#coronavirus', '#CHATTISHGARH', '#bhilai', '#bhilaidurg', '#SocialMedia', '#SocialDistancing', '#SocialWorkTwitter', '#socialworker', '#socialwork', '#Feed', '#']",[],['https://t.co/xzMy1V0sVM'],"['Help', 'them', 'they', 'needs', 'you', 'very', 'badly', 'in', 'this', 'situation', 'help', 'CovidSOS', 'PrayForIndia', 'COVIDSecondWaveInIndia', 'CovidHelp', 'coronavirus', 'CHATTISHGARH', 'bhilai', 'bhilaidurg', 'SocialMedia', 'SocialDistancing', 'SocialWorkTwitter', 'socialworker', 'socialwork', 'Feed', 'https', 't.co/xzMy1V0sVM']","['help', 'socialwork', 'https', 'CHATTISHGARH', 't.co/xzMy1V0sVM', 'CovidSOS', 'coronavirus', 'Feed', 'bhilai', 'needs', 'bhilaidurg', 'SocialWorkTwitter', 'PrayForIndia', 'Help', 'COVIDSecondWaveInIndia', 'CovidHelp', 'socialworker', 'situation', 'SocialMedia', 'SocialDistancing', 'badly']",Help them they needs you very badly in this situation # 
