,id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,1400212107380072451,1400212107380072451,2021-06-03 03:35:55 India Standard Time,2021-06-03,03:35:55,530,475113711,albosaily1958,Mohammed Albosaily,,Did anyone notice a change in their psychological and physical condition after he took the coronavirus vaccine?,en,[],[],[],0,0,1,[],[],https://twitter.com/albosaily1958/status/1400212107380072451,False,,0,,India,,,,,,[],,,,
1,1400192096691265537,1400192096691265537,2021-06-03 02:16:24 India Standard Time,2021-06-03,02:16:24,530,4841808785,khalidahmad91,Khalid Ahmad Albakri,,يوم قالوا بالصيف بيموت بروحه كانوا يقصدون احنا او الفيروس؟  #coronavirus,ar,[],[],[],0,3,8,['coronavirus'],[],https://twitter.com/KhalidAhmad91/status/1400192096691265537,False,,0,,India,,,,,,[],,,,
2,1400182556172111878,1400182556172111878,2021-06-03 01:38:30 India Standard Time,2021-06-03,01:38:30,530,100348291,stickwithchick,Nosheen Saeed,,"Say goodbye to the “Indian,” “South African” and ""British"" Coronavirus variants.  According to the World Health Organization, they’re the Delta, Beta and Alpha variants now.   https://t.co/nkQo4IdGqO",en,[],['https://www.washingtonpost.com/world/2021/06/01/coronavirus-variants-greek-letters/#click=https://t.co/sRaJoNHhDN'],[],0,0,1,[],[],https://twitter.com/stickwithchick/status/1400182556172111878,False,,0,,India,,,,,,[],,,,
3,1400172736001953796,1400172736001953796,2021-06-03 00:59:28 India Standard Time,2021-06-03,00:59:28,530,1267355105579266050,ssforgdel,Sawaab Samaj Foundation,,"Dear all, Keep Donate Keep Retweet   https://t.co/TRRT59Sd8K  #milaap #verified #campaign #COVID19 #coronavirus #hunger #food #help #COVIDEmergencyIndia #Covid19IndiaHelp #HelpingHand #BlackFungus",en,[],['https://milaap.org/fundraisers/support-sawaab-samaj-foundation-10'],[],0,2,1,"['milaap', 'verified', 'campaign', 'covid19', 'coronavirus', 'hunger', 'food', 'help', 'covidemergencyindia', 'covid19indiahelp', 'helpinghand', 'blackfungus']",[],https://twitter.com/ssforgdel/status/1400172736001953796,False,,0,,India,,,,,,[],,,,
4,1400171515392364545,1400171515392364545,2021-06-03 00:54:37 India Standard Time,2021-06-03,00:54:37,530,1249655911678758912,msknowledgehub1,MONU SIR (Ms Knowledge Hub),,#jobseekers #jobvsmlm #MLM #directselling #networking #networkmarketing #rojgar #ModiHaiTohMumkinHai #coronavirus #COVID19 #AffiliateMarketing #entrepreneur  #leadership #lockdown  Which is best for your future and Dreams? Job - Rt 🐦           Direct Selling- Like ❤️  https://t.co/fcj7letDwE,en,[],[],"['https://pbs.twimg.com/media/E25okbqVIAA4I87.png', 'https://pbs.twimg.com/media/E25okoeVEAEvInz.jpg']",0,0,2,"['jobseekers', 'jobvsmlm', 'mlm', 'directselling', 'networking', 'networkmarketing', 'rojgar', 'modihaitohmumkinhai', 'coronavirus', 'covid19', 'affiliatemarketing', 'entrepreneur', 'leadership', 'lockdown']",[],https://twitter.com/MsknowledgeHub1/status/1400171515392364545,False,,1,https://pbs.twimg.com/media/E25okbqVIAA4I87.png,India,,,,,,[],,,,
5,1400167504513695744,1400167504513695744,2021-06-03 00:38:41 India Standard Time,2021-06-03,00:38:41,530,1311562403214106629,usmanitoheed,TOHEED USMANI & UNI KING MAGNETS,,@UsmaniToheed  This is the same mosque which used to be full of worshipers and visitors  Pray that the corona virus ends from the roots  Allah masjid khol dai inshallah❤️ ये वही मस्जिद है जो कभी इबादत करने वालों और सैलानियों से भरी रहती थी #jamamasjid  #India  #DelhiFightsCorona  https://t.co/KHGP0eLUT0,en,[],[],['https://pbs.twimg.com/media/E25k4RpUcAkDci5.jpg'],0,0,1,"['jamamasjid', 'india', 'delhifightscorona']",[],https://twitter.com/UsmaniToheed/status/1400167504513695744,False,,1,https://pbs.twimg.com/media/E25k4RpUcAkDci5.jpg,India,,,,,,[],,,,
6,1400157982244098053,1400157982244098053,2021-06-03 00:00:51 India Standard Time,2021-06-03,00:00:51,530,3194134922,anujadhakras21,Anuja Dhakras,,महाराष्ट्रातल्या कोविड वॅारियर्सना केनया सरकारकडून चहा आणि कॅाफी    #coronavirus #COVID #CovidWarriors    https://t.co/vtp3Iyw9Yq via @ThePrintIndia,mr,"[{'screen_name': 'theprintindia', 'name': 'theprintindia', 'id': '2930935453'}]",['https://theprint.in/diplomacy/coffee-tea-and-a-token-for-covid-heroes-why-kenya-sent-food-aid-to-india/670502/'],[],0,0,7,"['coronavirus', 'covid', 'covidwarriors']",[],https://twitter.com/AnujaDhakras21/status/1400157982244098053,False,,0,,India,,,,,,[],,,,
7,1400152885459968002,1400152885459968002,2021-06-02 23:40:36 India Standard Time,2021-06-02,23:40:36,530,1393950442837610499,finawinw,FinaWin,,#COVID19Vaccination  #coronavirus  #COVID  #vaccination  #ClaimAssistance #FinaWin  #  https://t.co/KiXyNbLqz5,und,[],[],['https://pbs.twimg.com/media/E25XoLQVgAAl9kQ.jpg'],0,2,4,"['covid19vaccination', 'coronavirus', 'covid', 'vaccination', 'claimassistance', 'finawin']",[],https://twitter.com/FinawinW/status/1400152885459968002,False,,1,https://pbs.twimg.com/media/E25XoLQVgAAl9kQ.jpg,India,,,,,,[],,,,
8,1400149825388175360,1400149825388175360,2021-06-02 23:28:26 India Standard Time,2021-06-02,23:28:26,530,1286586062127669250,kiteprojectdot,KITE DoT,,Glimpses of 2nd Day of Training session on #COVID SOPs for #KPTourism sector and other safety steps against coronavirus to ensure SAFE TOURISM at Millennium Naran (Mansehra) arranged by @KITEProjectDoT. (01.06.21)  #KITEDoT #KITE #ResponsibleTourism  @dostacykp @kafzal01  https://t.co/ERPBPwglA4,en,"[{'screen_name': 'kiteprojectdot', 'name': 'kite dot', 'id': '1286586062127669250'}, {'screen_name': 'dostacykp', 'name': 'tourismsportculturearchaeology&youth department kp', 'id': '1282332442674843649'}, {'screen_name': 'kafzal01', 'name': 'kiran afzal', 'id': '892977662519631872'}]",[],"['https://pbs.twimg.com/media/E25UyA8XwAo_XUo.jpg', 'https://pbs.twimg.com/media/E25UzhKWEAgkXaR.jpg', 'https://pbs.twimg.com/media/E25U0wfXMAItehA.jpg', 'https://pbs.twimg.com/media/E25U165XIAEnRAF.jpg']",0,8,13,"['covid', 'kptourism', 'kitedot', 'kite', 'responsibletourism']",[],https://twitter.com/KITEProjectDoT/status/1400149825388175360,False,,1,https://pbs.twimg.com/media/E25UyA8XwAo_XUo.jpg,India,,,,,,[],,,,
9,1400144176272973826,1400144176272973826,2021-06-02 23:05:59 India Standard Time,2021-06-02,23:05:59,530,445221319,sohansingh05,Sohan singh,,"झारखंड में बुधवार को 532 नये कोरोना पॉजिटिव मरीज मिले हैं,1272 लोग कोरोना संक्रमण से ठीक हुए हैं,11 मरीजों की मौत भी हुई है.राज्य में एक्टिव केस अब 8058 हो गये हैं. #coronavirus",hi,[],[],[],1,4,41,['coronavirus'],[],https://twitter.com/sohansingh05/status/1400144176272973826,False,,0,,India,,,,,,[],,,,
10,1400135389277396993,1400135389277396993,2021-06-02 22:31:04 India Standard Time,2021-06-02,22:31:04,530,836549573048848384,sipgrab,SipGrab,"{'type': 'Point', 'coordinates': [12.8898216, 77.65212771]}","Coronavirus Update: New COVID-19 cases, deaths and hospitalizations keep falling, as vaccinations keep increasing  https://t.co/zeYu9uF9e1 #Nifty #Sipgrab #UnitingPeopleWithThePossibilities",en,[],['http://dlvr.it/S0wy7s'],[],0,0,0,"['nifty', 'sipgrab', 'unitingpeoplewiththepossibilities']",[],https://twitter.com/sipgrab/status/1400135389277396993,False,,0,,India,,,,,,[],,,,
11,1400134307524472833,1400085247266459648,2021-06-02 22:26:46 India Standard Time,2021-06-02,22:26:46,530,852054064573673472,amitkumar_jtt,Amit Kumar,,@WeJoinTogether_ #loveit #coronavirus @NavbharatTimes,und,"[{'screen_name': 'navbharattimes', 'name': 'nbt hindi news', 'id': '123171317'}]",[],[],0,0,0,"['loveit', 'coronavirus']",[],https://twitter.com/AmitKumar_JTT/status/1400134307524472833,False,,0,,India,,,,,,"[{'screen_name': 'WeJoinTogether_', 'name': 'Join Together Trust', 'id': '856730118839914496'}]",,,,
12,1400132312902209541,1400132312902209541,2021-06-02 22:18:51 India Standard Time,2021-06-02,22:18:51,530,1209309045867155457,jitmack,mack,,Such a very bad situation many people dead 💀 continuously by #coronavirus and who are alive they feel fear from it. Ehe. I check corona reports I completely worrying about humanity and world #badnews #coronavirus @htTweets,en,"[{'screen_name': 'httweets', 'name': 'hindustan times', 'id': '36327407'}]",[],[],0,0,0,"['coronavirus', 'badnews', 'coronavirus']",[],https://twitter.com/JitMack/status/1400132312902209541,False,https://twitter.com/htTweets/status/1400130085726789637,0,,India,,,,,,[],,,,
13,1400129608347840516,1400129608347840516,2021-06-02 22:08:06 India Standard Time,2021-06-02,22:08:06,530,636971761,raabiasaleem,Rabia,,How’s the coronavirus situation in pakistan? Have the daily cases gone down?,en,[],[],[],1,0,0,[],[],https://twitter.com/RaabiaSaleem/status/1400129608347840516,False,,0,,India,,,,,,[],,,,
